 	il	m'	a	bousculée	</S>
w	0.971154	0.0254632	0.00326207	4.2728e-05	7.77959e-05
a	0.711539	0.261009	0.0248535	3.14956e-05	0.00256728
á	0.127309	0.474777	0.388443	0.00146253	0.00800864
t	0.0160227	0.0894497	0.491788	0.355593	0.0471469
í	0.00221594	0.0120878	0.239657	0.498339	0.2477
s	0.000516569	0.00874687	0.141535	0.808888	0.0403127
i	0.0103134	0.0149312	0.375899	0.593445	0.00541155
i	0.0662598	0.183407	0.29674	0.211041	0.242552
n	0.0908676	0.404964	0.0962438	0.0180251	0.3899
g	0.0527777	0.532338	0.0436978	0.0241567	0.34703
á	0.107252	0.780164	0.0238599	0.00872132	0.080002
</S>	0.0167692	0.0133849	0.0127883	0.00175559	0.955302
