 	les	hommes	ont	fait	une	bonne	chasse	</S>
a	0.579065	0.413927	0.00324902	0.000312314	0.000794842	0.0019518	0.000520088	0.000179802
b	0.0617379	0.865207	0.0330502	0.0143506	0.0038205	0.00716943	0.0125289	0.0021355
a	0.043102	0.932398	0.00187575	0.00836738	0.00121389	0.00838006	0.00332156	0.00134082
a	0.0985784	0.782391	0.0174949	0.0199246	0.0054824	0.0112584	0.0139797	0.0508905
á	0.127984	0.0784244	0.687476	0.0314739	0.0124339	0.00355189	0.000676395	0.0579796
w	0.00577437	0.00950616	0.362053	0.47734	0.0723219	0.0345675	0.00934833	0.0290887
ú	0.0128297	0.0112962	0.175153	0.574156	0.125085	0.0386213	0.0270834	0.035775
r	0.0514586	0.00609164	0.254235	0.439575	0.120017	0.0238641	0.0181777	0.0865798
u	0.0357065	0.00542179	0.129827	0.470979	0.287539	0.0232225	0.00419942	0.0431045
o	0.0717308	0.0292252	0.375023	0.0805045	0.248282	0.0903977	0.015345	0.0894912
k	0.00231647	0.00233883	0.0446582	0.289107	0.185785	0.16914	0.270395	0.0362588
i	0.000200955	0.000683587	0.00122333	0.113041	0.0424517	0.0962972	0.706401	0.0397011
a	0.000361099	0.000401151	0.00484414	0.202187	0.0920636	0.189227	0.363187	0.14773
ω	0.00822088	0.000463529	0.0190478	0.0369518	0.254788	0.281747	0.178933	0.219848
b	0.00421802	0.00096885	0.00761539	0.0218451	0.0737001	0.230135	0.394394	0.267123
v	0.00344612	0.00414984	0.00322067	0.0205674	0.0508968	0.356241	0.527885	0.0335928
έ	0.00758251	0.00396181	0.00395957	0.0526886	0.110905	0.332155	0.449445	0.0393024
</S>	0.00230336	0.000730092	0.00412091	0.0326156	0.0974279	0.152653	0.0512907	0.658859
