 	lorsqu'	on	cuit	les	légumes	la	quantité	diminue	</S>
a	0.716756	0.177621	0.0792349	0.0130697	0.00742447	0.00547094	0.000121214	0.000280159	2.12718e-05
t	0.0846463	0.0981376	0.440641	0.290117	0.0821054	0.00176772	0.000893758	0.00157838	0.000112599
ú	0.0218632	0.0290081	0.19003	0.247862	0.476432	0.0209149	0.00211236	0.00458211	0.00719593
n	0.00709488	0.0247766	0.409022	0.376099	0.147677	0.00794733	0.0152334	0.00303467	0.00911458
g	0.198077	0.0795919	0.186171	0.291564	0.214983	0.0203589	0.000330593	0.00197123	0.00695181
u	0.24039	0.0224622	0.0972756	0.25471	0.300394	0.0472083	0.000884056	0.00636433	0.0303125
w	0.0257046	0.0382367	0.0447639	0.284719	0.341508	0.223098	0.0117879	0.0157697	0.0144126
á	0.025301	0.0480123	0.0320552	0.128951	0.43911	0.265497	0.00188266	0.0130455	0.0461447
á	0.0213287	0.0472345	0.0276717	0.0867236	0.270437	0.319654	0.0342342	0.0229669	0.16975
á	0.00629415	0.0187211	0.0243359	0.0509061	0.113388	0.387856	0.311282	0.0553449	0.0318721
l	0.000376453	0.00181861	0.0100261	0.00870758	0.0106493	0.0264421	0.887484	0.0367074	0.017788
á	0.000237016	0.00173471	0.0191797	0.0194709	0.0239408	0.0552671	0.80849	0.0302661	0.041414
m	0.000543061	0.00150144	0.022054	0.059147	0.0612607	0.086527	0.61029	0.0545353	0.104141
b	0.000775726	0.000499418	0.00342141	0.02939	0.183244	0.239901	0.317157	0.115995	0.109617
í	0.00220233	0.0015382	0.0118267	0.0572616	0.234134	0.342724	0.121414	0.0640616	0.164837
m	0.0208344	0.0215527	0.00949032	0.0281163	0.0433689	0.306907	0.112467	0.326777	0.130487
á	0.00146758	0.000816993	0.00050215	0.00532868	0.0121739	0.0484369	0.2038	0.236851	0.490623
a	0.00956296	0.00764263	0.00550287	0.0180668	0.0282844	0.0508125	0.0589637	0.710152	0.111012
m	0.00029448	0.000795831	0.00116969	0.0028868	0.00306369	0.00403865	0.202218	0.663091	0.122441
á	0.0018728	0.0027625	0.00145267	0.0100589	0.00479516	0.0145556	0.141099	0.500392	0.323011
a	0.00153837	0.00160246	0.00285628	0.00961096	0.0071078	0.00781332	0.0509967	0.75498	0.163494
s	0.000334877	0.000699769	0.00143297	0.00313512	0.00184582	0.00133185	0.0669824	0.800748	0.123489
y	0.00082027	0.00177717	0.0201514	0.0267237	0.00380296	0.00532489	0.0777113	0.730576	0.133112
έ	0.000759104	0.00167288	0.00824424	0.0178722	0.0113925	0.00436047	0.0252387	0.62085	0.30961
n	0.00134978	0.000296737	0.000429867	0.00229029	0.00385663	0.00594512	0.0292465	0.324178	0.632407
y	0.00184424	0.000431454	0.000613387	0.00379043	0.0129689	0.0109729	0.00573062	0.768622	0.195026
ε	0.00136899	0.000639299	0.00186524	0.00721408	0.0348764	0.016813	0.00245412	0.279864	0.654905
</S>	0.00270031	0.00107953	0.00176897	0.00592383	0.015287	0.0154542	0.0064176	0.382912	0.568457
