 	dans	son	comportement	cet	enfant	est	comme	son	père	</S>
s	0.434499	0.491654	0.0282545	0.0142729	0.00337833	0.00452016	0.00410383	0.0191063	3.13269e-05	0.000179562
á	0.296895	0.367842	0.135591	0.0555037	0.0975657	0.0109265	0.00594541	0.0210272	6.3776e-05	0.00864009
b	0.170274	0.599736	0.113218	0.0767764	0.0246502	0.00595634	0.00200831	0.00286326	0.00400453	0.000513165
i	0.0581149	0.757694	0.0904457	0.0153347	0.0438754	0.00385753	0.0243402	0.00271522	0.000670471	0.00295228
í	0.0902657	0.727396	0.0840596	0.016396	0.0424432	0.00562506	0.0234073	0.00136338	4.44704e-05	0.00899914
b	0.335589	0.288782	0.0980854	0.111155	0.0145071	0.0163046	0.0227186	0.0235998	0.000221864	0.0890368
á	0.166085	0.378031	0.0918293	0.116663	0.0518673	0.0336569	0.125751	0.0100515	2.46859e-05	0.0260401
w	0.0893168	0.115894	0.106768	0.242548	0.179056	0.0486915	0.0573536	0.0421763	0.0108243	0.107371
a	0.0819382	0.162371	0.106546	0.117211	0.107007	0.103981	0.103545	0.0790454	0.00213333	0.136223
m	0.0991566	0.11819	0.198055	0.339476	0.110585	0.0360064	0.0235376	0.0257139	0.00206698	0.0472125
w	0.0825166	0.0562621	0.436259	0.19142	0.122422	0.0568192	0.0244869	0.00406092	0.000374414	0.0253786
á	0.0187149	0.0630257	0.19265	0.101803	0.539432	0.0353043	0.04108	0.00238075	0.000153121	0.00545643
n	0.099423	0.0772279	0.0700859	0.144532	0.50785	0.0267667	0.0510705	0.012873	5.09784e-05	0.0101197
a	0.0245414	0.0532012	0.184312	0.24484	0.39353	0.0314028	0.0236078	0.0100152	0.00126244	0.033287
w	0.0286853	0.0390293	0.0700973	0.433485	0.103749	0.156965	0.0330952	0.0967176	0.0139977	0.0241783
ó	0.034886	0.0873043	0.0914739	0.278119	0.145536	0.125405	0.0248314	0.0796942	0.0527099	0.080041
a	0.00725585	0.00857047	0.0238057	0.100451	0.0760279	0.330214	0.100233	0.0973958	0.0746737	0.181374
d	0.0152168	0.00695186	0.0166141	0.0645817	0.0335224	0.456284	0.105885	0.0787456	0.0848421	0.137356
i	0.0241311	0.00454805	0.0196903	0.0318603	0.0387567	0.330277	0.133829	0.0787266	0.00984404	0.328337
m	0.0120544	0.00218139	0.0174515	0.0718954	0.0161307	0.36991	0.277189	0.0502061	0.00363951	0.179342
b	0.00507983	0.00337902	0.0537062	0.0695865	0.035034	0.276043	0.454487	0.0278778	0.00100916	0.0737965
í	0.000563765	0.00121488	0.0416631	0.062229	0.0197256	0.138278	0.703761	0.00299974	0.000478134	0.029087
t	0.00226814	0.00135019	0.00784912	0.0363387	0.0414214	0.187648	0.537028	0.0320704	0.000670229	0.153355
á	0.00598372	0.00659814	0.00504849	0.0301396	0.0511501	0.343493	0.143574	0.0583146	0.193233	0.162466
á	0.00205829	0.00161868	0.00175836	0.00583857	0.0276629	0.103603	0.103088	0.0908525	0.558679	0.10484
</S>	0.0128274	0.00805789	0.0154286	0.0226563	0.0236802	0.0628307	0.187521	0.323182	0.0475724	0.296244
