 	il	apporta	un	beau	cabri	à	ses	beaux-parents	</S>
w	0.938691	0.0256964	0.00213168	0.00396462	0.00641246	0.00721389	0.0120387	0.00331926	0.0005324
a	0.562204	0.0839911	0.0459217	0.129136	0.0280454	0.0077488	0.0118031	0.130459	0.000691344
a	0.0541529	0.841786	0.0712748	0.0127338	0.00222934	0.00624558	0.00601739	0.000572399	0.00498771
b	0.00730276	0.841062	0.0843399	0.0271463	0.00796076	0.00544776	0.00909502	0.00339916	0.0142465
é	0.0202241	0.755336	0.138064	0.0512535	0.0119684	0.00237192	0.00361463	0.00312253	0.0140447
r	0.00295641	0.46902	0.224915	0.119942	0.0086334	0.0116656	0.00652374	0.00258704	0.153758
í	0.00776536	0.243084	0.277024	0.0393249	0.0180487	0.0609925	0.0263579	0.000490102	0.326913
a	0.0131042	0.493533	0.351352	0.0806822	0.0232113	0.0105649	0.00794742	0.00348915	0.0161158
b	0.000265589	0.0163136	0.155473	0.775441	0.026466	0.0116113	0.00398505	0.0063233	0.00412125
v	3.19556e-05	0.00913015	0.0364529	0.904485	0.0396624	0.00277945	0.000783091	0.00558286	0.0010919
ú	3.76432e-05	0.0345956	0.108563	0.699553	0.151445	0.00279354	0.00091389	0.00130016	0.000797873
ε	0.00043792	0.00448732	0.0470665	0.8543	0.0380942	0.0131203	0.00330268	0.0233823	0.0158091
m	0.000564654	0.00230771	0.08951	0.513573	0.0407871	0.212461	0.0505309	0.027733	0.0625327
b	0.00321018	0.000958155	0.0300017	0.0162644	0.553832	0.214233	0.0714597	0.00135617	0.108685
ó	0.000193862	0.000544746	0.021788	0.0131621	0.866384	0.0747352	0.0120233	0.000690105	0.0104785
s	0.000878711	0.0324151	0.116876	0.0696618	0.419576	0.179355	0.0427027	0.0253284	0.113207
i	0.00018901	0.000881002	0.0283546	0.0470707	0.159577	0.520374	0.0569485	0.00482115	0.181784
ω	0.000465005	0.000814578	0.0116932	0.0290684	0.0161929	0.532205	0.183971	0.0853489	0.140241
b	0.000757977	0.00325681	0.0134783	0.122797	0.0358929	0.272552	0.0559034	0.426392	0.0689689
v	0.000142181	0.00224387	0.00773974	0.116222	0.0277194	0.0378251	0.0163617	0.774813	0.0169329
έ	3.5533e-05	0.000405345	0.00406935	0.079952	0.0620677	0.0214051	0.0132721	0.81276	0.00603318
</S>	1.93132e-05	0.000148236	0.001993	0.00495181	0.0201576	0.15508	0.0712642	0.0957824	0.650603
