 	hier	le	temps	était	brumeux	</S>
l	0.623951	0.314365	0.044325	0.00917711	0.0076707	0.000511819
a	0.363025	0.440286	0.0818309	0.0419172	0.0182818	0.0546587
p	0.254639	0.607666	0.0299309	0.0279316	0.0462879	0.0335444
ó	0.445308	0.172757	0.03648	0.0267983	0.0438386	0.274818
a	0.659696	0.196452	0.0459852	0.0365459	0.00651993	0.0548011
b	0.088242	0.393755	0.377469	0.0277363	0.0138216	0.0989765
v	0.0303232	0.211975	0.629348	0.0143034	0.0113747	0.102676
u	0.0552223	0.474041	0.339333	0.0485349	0.040421	0.0424475
s	0.0751781	0.341254	0.462701	0.0438649	0.0432985	0.0337036
á	0.253221	0.453332	0.0824856	0.0183701	0.104105	0.0884867
ó	0.0675999	0.191688	0.549579	0.0736477	0.031674	0.085811
d	0.00441161	0.0208435	0.260112	0.656073	0.0391321	0.0194275
z	0.000238742	0.00243872	0.0235867	0.295024	0.0936919	0.58502
e	0.0026721	0.0108384	0.0877054	0.362532	0.366821	0.169431
l	0.00828769	0.0374904	0.186729	0.197448	0.235997	0.334048
a	0.00853633	0.00995432	0.119514	0.0958108	0.259328	0.506857
p	0.0150514	0.0120408	0.0769203	0.0562621	0.46516	0.374565
f	0.0417711	0.0417466	0.0890266	0.120621	0.311482	0.395353
á	0.0236456	0.0376134	0.0511305	0.0495556	0.500868	0.337187
á	0.00389599	0.00808796	0.0199292	0.0552801	0.203039	0.709768
n	0.00508957	0.0165589	0.0597259	0.033242	0.322319	0.563064
g	0.00166412	0.00962996	0.0168496	0.00142688	0.761372	0.209058
e	0.001732	0.0126737	0.0117821	0.00245053	0.786278	0.185084
</S>	0.000792638	0.00534778	0.017648	0.00481979	0.290821	0.680571
