 	pendant	la	saison	de	grandes	pluies	les	populations	de	boundji	se	nourrissent	d'	oseille	et	de	mangues	</S>
l	0.282794	0.237457	0.196906	0.095038	0.0373506	0.034819	0.0225122	0.024735	0.0380298	0.00380741	0.0170783	0.000907228	0.00189146	0.00184751	0.00101411	0.00316392	0.000117441	0.00053074
e	0.166764	0.404491	0.141091	0.136265	0.0854899	0.0111738	0.00698163	0.00336602	0.00816422	0.0153108	0.0049534	0.00323888	0.00315532	0.000534698	0.00112	0.00483001	0.00278459	0.000284961
b	0.0413006	0.184754	0.168697	0.117783	0.0634834	0.0296268	0.0143909	0.0123207	0.0104945	0.0414938	0.00878682	0.175716	0.0268367	0.0025892	0.0169307	0.00631733	0.0550468	0.023432
a	0.0145726	0.0574065	0.0453726	0.111222	0.0959674	0.113248	0.0816685	0.0884147	0.0138725	0.107268	0.0282922	0.0102418	0.0251507	0.136196	0.0200002	0.00309844	0.0334425	0.0145645
m	0.0630758	0.273313	0.146546	0.157339	0.102893	0.0701037	0.0194671	0.0125518	0.00371872	0.0317053	0.0098459	0.0150318	0.0107971	0.0061485	0.00889163	0.00247711	0.030429	0.0356647
b	0.0420952	0.0243063	0.026268	0.120469	0.180631	0.183107	0.105746	0.0170024	0.0123045	0.0926717	0.0279678	0.0220882	0.0750068	0.00164194	0.0118669	0.00705992	0.02457	0.0251984
á	0.0235961	0.0559427	0.0258889	0.0978355	0.269268	0.202776	0.0691773	0.0165419	0.00530264	0.183685	0.00764331	0.0032441	0.00968051	0.00122763	0.00227521	0.00253018	0.0146864	0.00869872
m	0.0864138	0.0369188	0.073027	0.139778	0.222938	0.156444	0.104479	0.0556477	0.0296015	0.0139246	0.0138976	0.0107123	0.0106977	0.00181124	0.0109414	0.00587913	0.00241848	0.0244703
b	0.0564743	0.00934699	0.00693842	0.13137	0.254941	0.0398703	0.0781185	0.0106927	0.0181898	0.207911	0.0364596	0.0612151	0.0661975	0.00022953	0.00267036	0.00332876	0.0125009	0.00354583
o	0.00826893	0.00868878	0.00834763	0.0601032	0.162092	0.0784286	0.105031	0.026082	0.00728466	0.46743	0.023069	0.00608868	0.0123603	0.000884389	0.00183465	0.000921751	0.0200149	0.00306975
n	0.00391541	0.00802521	0.0135134	0.0147724	0.0310347	0.118706	0.124531	0.0525524	0.00670892	0.585726	0.0183962	0.0119977	0.00316215	0.00118371	0.000980675	0.00033072	0.00164464	0.00281861
d	0.00996941	0.0186444	0.0316398	0.0859745	0.0911095	0.107581	0.0688279	0.0286315	0.0183991	0.475085	0.0146852	0.0205431	0.00836166	0.000236052	0.00254958	0.0020471	0.00593801	0.00977671
z	0.0222651	0.0446423	0.0567794	0.122176	0.226361	0.0916641	0.0892587	0.0350171	0.0192752	0.241299	0.00807821	0.0127458	0.00425923	0.000202521	0.00124374	0.000651421	0.00873353	0.0153478
i	0.0194201	0.0389738	0.0413509	0.140562	0.147179	0.115579	0.101107	0.0540512	0.019742	0.234397	0.00550342	0.00520756	0.00472694	0.000312156	0.00294322	0.001046	0.0175808	0.0503184
b	0.0437462	0.0140408	0.042921	0.0478701	0.0207256	0.0784415	0.142551	0.100598	0.261525	0.0499847	0.125391	0.0324548	0.0166907	0.00443436	0.00687257	0.00361107	0.00090884	0.00723265
á	0.086587	0.0301655	0.0126858	0.0672807	0.0207986	0.0349024	0.103035	0.20325	0.0842832	0.114501	0.108014	0.0470897	0.030322	0.0203671	0.0213186	0.00342911	0.00107534	0.0108955
a	0.0196476	0.0125834	0.0112497	0.0864801	0.0485739	0.0382396	0.116409	0.233242	0.134249	0.06969	0.125779	0.0319855	0.0284759	0.0150935	0.00949785	0.00405995	0.00206645	0.0126784
d	0.00835541	0.00418311	0.00827843	0.0051803	0.00331556	0.0095037	0.0182348	0.0431603	0.135135	0.13251	0.213051	0.297856	0.0666353	0.0249045	0.0101665	0.00548097	0.00456879	0.00947919
z	0.0018701	0.00499936	0.00523599	0.00348036	0.00652613	0.00440452	0.0128645	0.00902041	0.0409642	0.21136	0.0597419	0.561161	0.0252779	0.00227569	0.00508127	0.00179594	0.0092953	0.0346463
á	0.00102521	0.00247049	0.00287744	0.00698773	0.0112654	0.000790114	0.00121947	0.000727244	0.00472815	0.207015	0.0128441	0.724006	0.0165772	5.01389e-05	0.00110833	0.000530368	0.00290008	0.00287726
á	0.0097095	0.00249656	0.00859214	0.0192801	0.00733932	0.0121069	0.0311881	0.0257812	0.106854	0.0614642	0.111952	0.188939	0.232328	0.028677	0.0386899	0.0392266	0.00218079	0.0731949
m	0.0166495	0.00562397	0.0114523	0.0112684	0.0053181	0.00769871	0.0096631	0.00651347	0.0480578	0.0112808	0.0921427	0.165154	0.336944	0.0614749	0.0835698	0.0773307	0.0237943	0.0260634
á	0.0017432	0.0033577	0.00204235	0.00564072	0.00558677	0.00200854	0.00358908	0.00215297	0.0103892	0.0309156	0.0590632	0.467122	0.262121	0.01055	0.0420995	0.021307	0.0399924	0.030319
b	0.00163507	0.00463431	0.00520917	0.00874138	0.00377791	0.00522099	0.00939058	0.0126199	0.0200496	0.0209783	0.0416295	0.199892	0.195933	0.189943	0.107064	0.0437082	0.0959622	0.0336116
v	0.00400331	0.00503765	0.00446945	0.00545507	0.00233624	0.00484754	0.0135433	0.0243462	0.0164233	0.0163469	0.0478805	0.0430857	0.0520568	0.620412	0.0881662	0.0121949	0.0228232	0.016572
i	0.000490597	0.000378292	0.00049581	0.00200725	0.0013489	0.00678621	0.0219218	0.0161178	0.00828764	0.021711	0.0283647	0.0175491	0.0459823	0.708096	0.0581424	0.0135309	0.0336375	0.0151514
á	0.00240319	0.00177178	0.00335508	0.00485093	0.00244741	0.00473118	0.0109764	0.00629162	0.0237274	0.012045	0.0401286	0.0726923	0.196355	0.0905391	0.204458	0.138977	0.0384637	0.145785
l	0.00491855	0.001799	0.00608545	0.00493254	0.00170016	0.00400603	0.00462639	0.00226425	0.0137613	0.00264429	0.0179659	0.0328275	0.0989588	0.0476501	0.353976	0.239594	0.0551746	0.107116
a	0.0081434	0.00371466	0.0072374	0.00348257	0.00163784	0.00442868	0.00475538	0.00529272	0.0145669	0.00413036	0.0106142	0.0296345	0.0302705	0.015425	0.254553	0.141012	0.0785074	0.382593
á	0.00162435	0.00208103	0.00717653	0.00961398	0.00191126	0.00176095	0.00289294	0.00357893	0.00893312	0.00139716	0.00674656	0.0233242	0.060066	0.0211555	0.176495	0.335281	0.227807	0.108155
a	0.00447682	0.00394928	0.00698401	0.00413332	0.00165935	0.00314066	0.00379276	0.00291841	0.00872686	0.00286905	0.00855879	0.0137261	0.00962188	0.033542	0.173074	0.325848	0.293361	0.099618
m	0.00138985	0.00822415	0.0255112	0.00845785	0.00938498	0.0158485	0.011869	0.00869958	0.0152148	0.00499516	0.0199527	0.0506587	0.0198639	0.0249519	0.127652	0.152725	0.40171	0.0928904
b	0.000335404	0.00394922	0.00672512	0.00756126	0.013433	0.00219236	0.00249823	0.000432224	0.0019729	0.00336791	0.00357785	0.0265876	0.0124557	0.00170044	0.0334361	0.244988	0.585669	0.0491179
á	1.8006e-05	5.22112e-05	7.12398e-05	0.000246616	0.000408946	0.000170908	0.000195554	4.37841e-05	4.61139e-05	0.00373965	0.000282788	0.00410655	0.00460813	0.00294793	0.00517861	0.00754922	0.960865	0.00946832
n	0.00013564	0.000211854	0.000285604	0.0017255	0.00287792	0.000891167	0.00178752	0.000305744	0.000796163	0.00535592	0.00388594	0.00604396	0.00867129	0.00328564	0.00948365	0.0650688	0.835516	0.053672
g	0.00251322	0.00662544	0.00822269	0.0180255	0.00756083	0.00932048	0.00766066	0.0060866	0.00560733	0.0162446	0.00481726	0.00726478	0.0387469	0.00786298	0.0798237	0.117595	0.587065	0.0689573
é	0.00110212	0.00197	0.00291125	0.0065671	0.00293893	0.00336693	0.00228501	0.00185021	0.00368222	0.0121961	0.00259252	0.00595594	0.029721	0.00824483	0.0417231	0.0508207	0.739964	0.0821084
</S>	0.0013339	0.000866225	0.00230524	0.00208007	0.000357414	0.00280948	0.00259076	0.00202433	0.00616422	0.00210086	0.0054436	0.00504483	0.0285724	0.0129326	0.172992	0.202826	0.103183	0.446372
