 	cette	marmite	est	devenue	propre	depuis	que	je	l'	ai	bien	lavée	</S>
n	0.469686	0.507648	0.0105498	0.000846051	0.000995726	0.0036427	0.0027268	0.000955562	0.000969984	0.00059104	0.000927663	0.000169286	0.000291338
z	0.161384	0.829288	0.000783175	2.76205e-05	0.0025564	0.000143323	0.000361465	0.00456711	0.000146506	0.000378834	0.000158966	0.000178304	2.61374e-05
ú	0.00290366	0.990266	0.00019629	0.000173308	0.000701264	0.000728274	0.000221269	0.00400077	0.000227011	0.000270168	0.000101346	5.02534e-05	0.00016005
n	0.148425	0.799816	0.0076437	0.000992311	0.00952516	0.00569306	0.00293249	0.00361006	0.00120327	0.00284139	0.000684759	0.0124848	0.00414823
g	0.389911	0.535906	0.0244534	5.16284e-05	0.00295395	0.00703334	0.00174665	0.000429899	0.00121407	0.00235833	0.00132849	0.000969831	0.0316436
u	0.486036	0.331139	0.0520792	0.00557844	0.0111599	0.0542533	0.0109043	0.00170829	0.00695382	0.00384529	0.0025546	0.00582117	0.0279668
y	0.0370633	0.00341965	0.869114	0.0170133	0.0222381	0.00401141	0.0112419	0.00460929	0.00515027	0.00534848	0.00677184	0.000639493	0.013379
é	0.314993	0.0114938	0.41189	0.0667767	0.0788221	0.037109	0.0357984	0.0152697	0.00834361	0.0043657	0.00580688	0.000984018	0.00834743
é	0.202256	0.00121306	0.378674	0.0651747	0.163396	0.0979067	0.0533068	0.0143027	0.0062328	0.00288796	0.0048752	0.00166694	0.00810631
m	0.0114074	0.00107541	0.0592972	0.469103	0.213506	0.0241378	0.0125553	0.041502	0.0303524	0.0487397	0.0408035	0.00406805	0.0434523
i	0.0312618	0.000267316	0.0652619	0.254778	0.0849372	0.265797	0.0553644	0.00603567	0.0712467	0.0828626	0.0596537	0.000504171	0.0220293
w	0.00403468	0.00251081	0.0311031	0.592543	0.151807	0.0855207	0.0153147	0.00360048	0.029178	0.0257262	0.0233997	0.00372839	0.0315332
á	0.000357752	0.000324587	0.00716432	0.562041	0.174373	0.154325	0.0197857	0.00265021	0.0379031	0.0137744	0.00981816	0.000689706	0.0167925
á	0.0015949	6.87426e-05	0.0310901	0.243383	0.0747868	0.422959	0.124445	0.0140931	0.0205143	0.00641624	0.0207772	0.000465555	0.0394059
n	0.00527585	0.000371077	0.0377169	0.0370649	0.124084	0.203044	0.327874	0.149598	0.0704512	0.017024	0.022585	0.000599161	0.00431186
g	0.0052543	0.00136107	0.00879274	0.00142861	0.208232	0.235179	0.149315	0.34789	0.013092	0.0118493	0.00390721	0.00403736	0.00966137
a	0.00314537	0.00480644	0.0143453	0.00174732	0.243842	0.0735674	0.071697	0.534254	0.0240154	0.0195551	0.00203898	0.00212654	0.00485897
t	0.00160887	8.29403e-05	0.0775019	0.00405958	0.199171	0.149279	0.202582	0.0941804	0.106234	0.0435102	0.0244546	0.00933264	0.0880027
s	0.00871641	0.000311377	0.0261359	0.090111	0.113257	0.347479	0.204882	0.0240115	0.0883657	0.00288701	0.00703416	0.014195	0.072614
í	0.000547207	0.000169361	0.00439837	0.0251559	0.198007	0.2466	0.108469	0.0170015	0.115006	0.0125623	0.0203259	0.0796476	0.17211
n	0.00184107	0.000205623	0.0219499	0.0769736	0.240446	0.0957595	0.168399	0.15272	0.0699173	0.027744	0.0255361	0.0290628	0.0894448
a	0.0131379	0.00421724	0.0256942	0.0119813	0.0830652	0.128951	0.155213	0.283032	0.0315202	0.0356616	0.0199855	0.0381997	0.169342
n	0.00104816	3.69663e-05	0.0170639	0.00364159	0.0156255	0.0176665	0.152016	0.249705	0.212742	0.0795967	0.105256	0.0318788	0.113723
g	0.00603374	0.00226529	0.0139262	0.000478355	0.0339816	0.0106282	0.0558851	0.590744	0.0481643	0.0997203	0.0189073	0.0255087	0.0937563
á	0.000367312	0.00178252	0.00555089	0.000340035	0.035535	0.0087358	0.0373071	0.652634	0.0657103	0.121787	0.013204	0.022923	0.0341227
í	0.000547833	4.35847e-05	0.0180053	0.00217728	0.00717012	0.016329	0.0771144	0.06338	0.246527	0.0940245	0.1329	0.0505293	0.291251
s	0.000323516	0.000255683	0.00104599	0.0234994	0.00627274	0.00103849	0.00308891	0.0183845	0.107938	0.17873	0.172606	0.329419	0.157398
o	0.000155543	2.11299e-05	0.000225424	0.00108552	0.00291765	0.000381726	0.0016035	0.0280829	0.0527262	0.220664	0.209946	0.274546	0.207645
