 	il	est	bête	</S>
w	0.920783	0.0725125	0.00558515	0.00111941
a	0.971355	0.0204557	0.00781714	0.000371725
a	0.199642	0.691394	0.023872	0.085092
d	0.0898844	0.716385	0.104359	0.0893713
í	0.0849596	0.528312	0.0435869	0.343142
e	0.0145698	0.149452	0.159205	0.676773
d	0.0077866	0.077845	0.63884	0.275528
í	0.000932334	0.0763443	0.535735	0.386989
b	0.0051634	0.029962	0.146661	0.818214
h	0.0355879	0.0545183	0.475033	0.43486
i	0.0202144	0.0847196	0.301038	0.594028
l	0.00593745	0.0225289	0.135543	0.83599
i	0.00324512	0.0298999	0.48069	0.486165
</S>	0.00379616	0.0338297	0.158235	0.804139
