 	un	assesseur	destructeur	tue	les	gens	</S>
o	0.747184	0.223211	0.0229071	0.00142539	0.00479197	0.000402808	7.77741e-05
b	0.151056	0.827818	0.01497	0.00156977	0.00193091	0.000441352	0.00221439
é	0.022628	0.943962	0.0237824	0.00687519	0.00058532	0.00116503	0.00100242
l	0.0255846	0.803606	0.044636	0.0171898	0.00662443	0.00878819	0.0935715
a	0.484578	0.399956	0.0494117	0.00666239	0.0112697	0.00902648	0.0390958
m	0.458086	0.354145	0.123577	0.0134609	0.0205324	0.00207168	0.0281271
é	0.725258	0.0976904	0.114307	0.0102531	0.0283556	0.00323874	0.0208964
t	0.639845	0.0421811	0.265681	0.0176238	0.0137186	0.0028324	0.0181186
s	0.220551	0.0436483	0.64463	0.067852	0.00981113	0.00317625	0.010331
a	0.0399472	0.0339844	0.661863	0.174314	0.0477462	0.0138291	0.0283162
l	0.0306919	0.0194334	0.793426	0.0757608	0.0199861	0.0168436	0.0438584
a	0.0977763	0.0213647	0.706005	0.0720252	0.0333309	0.0242459	0.0452519
m	0.0972932	0.00704424	0.51369	0.0976159	0.208344	0.0202835	0.0557298
ó	0.245395	0.0206457	0.365038	0.231929	0.0513176	0.017588	0.0680866
o	0.186625	0.0195474	0.307563	0.280638	0.0974853	0.0447002	0.0634415
b	0.0203486	0.0201386	0.0462418	0.539353	0.20864	0.0457008	0.119577
o	0.00296326	0.019482	0.0251919	0.758479	0.0525311	0.04586	0.095493
m	0.00500675	0.00426607	0.0927877	0.671645	0.0398594	0.0166144	0.169821
á	0.059635	0.00216358	0.0149789	0.0506125	0.54081	0.065709	0.266091
b	0.00379552	0.00114042	0.00434045	0.0054945	0.326154	0.401846	0.257229
a	0.000173613	0.000231894	0.00122164	0.00163767	0.00529896	0.991071	0.000364843
r	0.00119301	0.00149828	0.00432056	0.00202104	0.0324679	0.936556	0.0219431
e	0.00185114	0.000793891	0.00424194	0.00219523	0.0977267	0.749253	0.143938
</S>	0.00656814	0.000619553	0.00505073	0.00256716	0.389775	0.0766712	0.518748
