 	mon	jumeau	est	malade	</S>
o	0.910426	0.0640792	0.0202418	0.00340476	0.00184863
b	0.104078	0.865973	0.00923141	0.0178486	0.00286878
i	0.00686607	0.977866	0.00229788	0.0125424	0.000427766
a	0.0217831	0.930169	0.00734301	0.0238134	0.0168912
y	0.717965	0.125834	0.111804	0.00412133	0.0402759
a	0.856807	0.0376617	0.0315019	0.00728088	0.0667483
n	0.962447	0.00476307	0.00910737	0.00175904	0.0219238
g	0.980285	0.00169171	0.00798182	0.00199666	0.00804463
á	0.835461	0.0360782	0.0133211	0.0189884	0.0961515
y	0.153723	0.0512858	0.595905	0.0691611	0.129925
a	0.78007	0.0171552	0.0662307	0.017841	0.118703
k	0.34573	0.0387439	0.394135	0.0735997	0.147791
y	0.0732289	0.662432	0.105236	0.124336	0.034767
é	0.0324978	0.583687	0.201263	0.140716	0.0418368
r	0.0623274	0.102735	0.562889	0.107391	0.164657
a	0.142301	0.15806	0.107322	0.178186	0.414131
a	0.0829176	0.0137822	0.594751	0.160762	0.147787
d	0.00492805	0.0122686	0.569896	0.16618	0.246728
i	0.0122706	0.0036171	0.182264	0.0834157	0.718432
n	0.00993098	0.00561508	0.437138	0.180524	0.366792
d	0.0436574	0.000689682	0.0477296	0.27244	0.635483
z	0.00416763	0.000335225	0.0200236	0.131877	0.843597
ó	0.000679758	0.00101665	0.0114072	0.290044	0.696852
r	0.00481186	0.0161899	0.0543151	0.214444	0.710239
o	0.00376669	0.00659698	0.0494102	0.252073	0.688153
l	0.0072124	0.00124554	0.162901	0.0815309	0.74711
a	0.0115495	0.00573887	0.115313	0.223667	0.643732
b	0.00544295	0.00198741	0.267848	0.111363	0.613359
v	0.0114577	0.0952882	0.468001	0.241916	0.183337
ú	0.0101776	0.0811371	0.21146	0.485421	0.211804
a	0.0050216	0.00786042	0.297776	0.224004	0.465338
</S>	0.00392674	0.000701897	0.122458	0.0501215	0.822792
