 	elle	broie	le	maïs	dans	le	mortier	</S>
w	0.97049	0.00159649	0.00830245	0.00323544	0.00545562	0.010704	9.85684e-05	0.000117356
a	0.983055	0.000679099	0.00823278	0.000325083	0.0039957	0.00333744	0.000355521	1.9415e-05
l	0.284297	0.430227	0.184615	0.0111325	0.0516668	0.0317958	0.00080085	0.0054651
á	0.262404	0.260564	0.246883	0.0272874	0.0595264	0.0101261	0.00031607	0.132894
a	0.420899	0.0916597	0.171264	0.0550897	0.0612059	0.074748	0.00088659	0.124248
t	0.023299	0.891887	0.0696531	0.00857735	0.00251819	0.000393222	0.000690074	0.00298216
ú	0.0122898	0.735304	0.23868	0.00393199	0.00376679	0.000496701	0.000302646	0.00522806
t	0.00190404	0.924076	0.0615315	0.00344977	0.00325116	0.00127745	0.00261731	0.00189275
á	0.0151952	0.780461	0.176477	0.00531099	0.00996947	0.00597242	0.0026237	0.00399076
a	0.0586162	0.182014	0.624014	0.0450944	0.0429607	0.0088401	0.0230811	0.0153799
s	0.00135725	0.00176741	0.0675086	0.772582	0.129715	0.0205647	0.00490065	0.00160475
á	0.000315616	0.00242646	0.0760348	0.626265	0.244333	0.0375962	0.00037238	0.0126559
n	0.000363543	0.00571857	0.0494667	0.5163	0.141965	0.103709	0.0821719	0.100305
g	0.000520667	0.000891133	0.0145358	0.872266	0.0661819	0.0305865	0.00168688	0.0133312
í	0.000351375	0.000856309	0.0130371	0.892837	0.049435	0.0241772	0.00252485	0.0167815
</S>	0.00386413	0.00184918	0.0546578	0.0976988	0.293223	0.259435	0.0894261	0.199846
