 	l'	enfant	est	monté	sur	le	safoutier	</S>
m	0.864692	0.133192	0.00126294	0.000133576	0.000103451	0.000499717	1.05708e-05	0.000106032
w	0.00192281	0.997183	0.000408242	8.18599e-05	0.00010235	2.34796e-05	4.01385e-06	0.000274473
á	0.00264384	0.997186	4.82554e-05	7.73028e-05	2.96211e-05	3.50418e-06	7.1417e-06	4.81372e-06
n	0.716987	0.275296	0.00309644	0.000656596	0.000251788	0.00015803	0.000146535	0.00340846
a	0.26182	0.308709	0.141141	0.0954399	0.0476804	0.0053407	0.00814747	0.131721
á	0.676269	0.0163837	0.220988	0.0372724	0.0124931	0.0209709	0.00479754	0.0108254
m	0.0293239	0.0139688	0.434395	0.404828	0.0729519	0.0193232	0.0184392	0.00676977
i	0.00108637	0.00363572	0.254382	0.56087	0.151292	0.0213526	0.00279148	0.00458939
n	0.000925758	0.0018371	0.0436611	0.770471	0.134861	0.010408	0.0332945	0.00454135
a	0.00249261	0.00377764	0.0249845	0.591189	0.331016	0.011937	0.0215075	0.0130953
n	0.00139855	0.00109384	0.0698154	0.243358	0.39218	0.216903	0.0514554	0.0237957
g	0.0171812	0.00143212	0.0546321	0.161444	0.54755	0.175848	0.00721094	0.0347017
á	0.651931	0.00862401	0.0217511	0.0338024	0.195596	0.0361855	0.00505989	0.0470508
m	0.00330545	0.00100388	0.0165937	0.016488	0.159374	0.737648	0.0453374	0.0202499
ó	0.00726396	0.118268	0.0089328	0.0147319	0.209161	0.296125	0.0505037	0.295014
s	0.011869	0.0090121	0.0165021	0.0142062	0.0601244	0.416935	0.355293	0.116059
á	0.000213115	0.00019637	0.000440634	0.00415025	0.0305237	0.0369617	0.858841	0.0686729
á	0.000556023	1.94537e-05	0.000697005	0.00058677	0.0017193	0.0121485	0.938763	0.0455096
</S>	0.00140632	0.000277601	0.00541636	0.00772304	0.0148866	0.0407561	0.67132	0.258214
