 	cet	homme	est	seul	dans	la	maison	</S>
i	0.552875	0.402974	0.0157614	0.0103196	0.00476539	0.0130105	0.000235286	5.8716e-05
b	0.33133	0.598441	0.0514614	0.0119989	0.00472203	0.000622481	0.000189223	0.00123462
a	0.0247559	0.950026	0.00607721	0.0181897	0.000514712	0.000261369	5.96065e-06	0.000168632
a	0.189765	0.719887	0.0214658	0.0483573	0.00479368	0.00149145	0.000953825	0.013286
d	0.536543	0.209689	0.0835828	0.00713948	0.0158101	0.0033706	0.000350606	0.143514
í	0.122566	0.0261146	0.0519989	0.0117567	0.0402008	0.0519664	0.00540464	0.689992
í	0.113024	0.126329	0.304218	0.0292945	0.0496315	0.0340407	0.0144839	0.328978
d	0.0801616	0.0454285	0.599175	0.0722928	0.10415	0.0161311	0.0223476	0.0603137
i	0.0101198	0.0129502	0.275601	0.0501612	0.318832	0.0931648	0.0163091	0.222861
s	0.0123515	0.0234463	0.230181	0.0720604	0.434283	0.146842	0.00508564	0.0757496
á	0.0132498	0.00226942	0.0364071	0.0610451	0.23114	0.36523	0.0792124	0.211446
n	0.00959984	0.00241395	0.0194064	0.0429564	0.0366378	0.175769	0.689662	0.0235545
d	0.00217123	0.000503586	0.00250941	0.0134633	0.0098608	0.0856831	0.875315	0.0104932
é	0.000486531	5.21426e-05	0.000646035	0.00384246	0.00356465	0.0233782	0.956623	0.0114071
e	0.0102008	0.00210115	0.0315064	0.0503591	0.109668	0.168399	0.439494	0.188273
d	0.0103308	0.00333279	0.0801206	0.0795612	0.337842	0.194899	0.043426	0.250488
í	0.00280891	0.00129402	0.0145345	0.0108152	0.253497	0.155737	0.0164564	0.544857
a	0.00646217	0.00261748	0.0562299	0.0160438	0.199909	0.22614	0.0706874	0.42191
m	0.00341992	0.00720487	0.0468443	0.033377	0.408967	0.0495409	0.191663	0.258984
έ	0.0127144	0.0479455	0.0820402	0.0850468	0.535624	0.111099	0.000812625	0.124718
n	0.00207132	0.00825087	0.0568756	0.130456	0.47678	0.107374	0.00475405	0.213438
έ	0.0028779	0.000935517	0.00504349	0.0267908	0.0817911	0.541714	0.187592	0.153256
</S>	0.00256286	0.000539981	0.0122957	0.00761556	0.109989	0.187542	0.0582665	0.621188
