 	mon	épouse	a	construit	une	cachette	de	poisson	dans	l'	étang	où	elle	trempe	le	manioc	cru	</S>
m	0.595199	0.181618	0.0730343	0.0311326	0.0430093	0.00126504	0.0246707	0.00230978	0.00598438	0.00872346	0.000297389	0.00276918	0.00436209	0.000743756	0.0182331	0.00599087	0.000539027	0.000118702
w	0.00859548	0.971125	0.0116858	0.00377803	0.000769296	9.64684e-05	0.000108857	0.000294844	0.000500067	0.000703106	0.000161288	0.000388943	0.000673859	0.000138711	0.000511646	7.1828e-05	1.86266e-05	0.00037787
á	0.01335	0.970156	0.00377231	0.00722795	0.00127681	0.0013716	0.000251262	0.000490987	0.000160332	0.000193136	8.42196e-05	0.000238584	0.000220192	0.000556236	0.000147564	7.08142e-05	0.000394912	3.71506e-05
s	0.786979	0.204945	0.00198625	0.000324185	0.000256262	0.000185153	0.000105549	0.000102111	0.00025375	0.000518671	4.37463e-05	0.00051173	0.000402241	0.000207961	0.000407574	0.000138669	0.000345302	0.00228722
í	0.442654	0.0781791	0.0775409	0.0412427	0.0175076	0.0122646	0.00715923	0.0194451	0.0200384	0.0478002	0.00942742	0.0304751	0.0415154	0.0112504	0.0105216	0.00170698	0.0136504	0.117621
y	0.442369	0.053786	0.258821	0.0116214	0.0326764	0.00448391	0.0243027	0.00757148	0.0167621	0.0375323	0.00257067	0.0195024	0.0164127	0.00755221	0.0277245	0.0103044	0.00772512	0.0182817
a	0.503589	0.0272807	0.0975819	0.0684206	0.0794854	0.0183995	0.0185422	0.0143216	0.0122785	0.016448	0.0134227	0.0234669	0.0212158	0.0303366	0.0144317	0.00426375	0.0137618	0.0227531
n	0.754198	0.0794233	0.0561405	0.031388	0.019774	0.0118485	0.0046509	0.00405107	0.00203168	0.00347497	0.00303429	0.00620704	0.00447304	0.0069517	0.00256709	0.000891876	0.00265007	0.00624408
g	0.827542	0.0581532	0.0147165	0.0510925	0.00513967	0.00097062	0.000899444	0.000561048	0.00119932	0.00482334	0.00364988	0.0190912	0.00196715	0.00154729	0.000692973	0.000238362	0.00220449	0.0055112
á	0.103293	0.113982	0.121048	0.486364	0.0165428	0.00436562	0.00311979	0.00175068	0.00453991	0.0165402	0.0286004	0.0307535	0.00701511	0.00392703	0.00136983	0.00116356	0.0131682	0.0424563
á	0.0392718	0.0215351	0.636336	0.0966496	0.11093	0.00718802	0.017082	0.00438169	0.0103404	0.0137565	0.00185353	0.00725362	0.00701353	0.00259662	0.00927124	0.00468484	0.0018431	0.00801297
b	0.00186591	0.00184553	0.32253	0.385928	0.0467346	0.0836996	0.0096109	0.014625	0.0264537	0.0107487	0.0427843	0.00725889	0.00338168	0.00728819	0.00361631	0.0090076	0.00204167	0.0205792
ω	0.000425871	0.000416558	0.15614	0.54932	0.0464554	0.037179	0.0423662	0.0192845	0.0414598	0.0120706	0.00835285	0.0078851	0.00877371	0.0206553	0.00766049	0.0242722	0.0020994	0.0151837
n	0.00152015	0.00102971	0.102337	0.662531	0.0594159	0.0219155	0.0351474	0.00274517	0.0191719	0.0117033	0.0241288	0.0134381	0.00469052	0.0110179	0.00263065	0.0153123	0.0033235	0.00794122
g	0.00900365	0.00196573	0.148139	0.46688	0.077722	0.0183794	0.0481847	0.0132859	0.0355552	0.0326992	0.0275673	0.0335754	0.025717	0.0221902	0.0145203	0.00675591	0.00405987	0.0137983
i	0.0145596	0.003484	0.0849728	0.359604	0.164231	0.00882566	0.0586871	0.00592434	0.0205169	0.0515514	0.00936481	0.0600819	0.0439264	0.0288604	0.0354238	0.00601087	0.00829537	0.0356789
i	0.00140181	0.0031081	0.0262137	0.0143889	0.48322	0.0449767	0.192878	0.0180031	0.042687	0.0314596	0.00354024	0.0200905	0.0301068	0.0378401	0.0283666	0.00690678	0.00284164	0.01197
b	0.00125743	0.0028308	0.0103282	0.0286078	0.105837	0.123974	0.110404	0.0840591	0.151283	0.0319516	0.0441956	0.0253466	0.0379564	0.122949	0.0360574	0.0558985	0.00735939	0.0197046
h	0.00177212	0.00206246	0.0138283	0.0257371	0.0210239	0.0283252	0.101601	0.0427272	0.0772082	0.0161609	0.0217991	0.0185151	0.0374006	0.0517056	0.0634891	0.44599	0.0194093	0.0112455
í	0.000602331	0.000352063	0.0236915	0.0774846	0.0392847	0.115391	0.0999485	0.0511627	0.171139	0.0420935	0.00908014	0.0543979	0.0605266	0.0346154	0.0610108	0.100011	0.00516992	0.0540377
i	0.00010559	0.000117628	0.0115285	0.0155767	0.103275	0.0701217	0.179231	0.0598285	0.138234	0.0522479	0.0283355	0.0458921	0.0466276	0.15055	0.0374938	0.0366974	0.00367049	0.020467
s	0.000167668	0.000264034	0.002373	0.00288228	0.0285678	0.00376225	0.117087	0.0346157	0.219454	0.0826285	0.0354047	0.0360117	0.0846276	0.131888	0.0843449	0.106634	0.00469378	0.024593
é	0.000543267	6.88071e-05	0.000490745	0.00297134	0.004356	0.0189351	0.00794964	0.122152	0.048703	0.0177973	0.0723052	0.0694135	0.0472918	0.501106	0.0317637	0.012411	0.00719905	0.0345426
d	2.54174e-05	0.000117844	0.000107364	0.000341012	0.00620048	0.0230756	0.0294651	0.111785	0.0398305	0.0175833	0.0763833	0.0344982	0.0323872	0.515743	0.0469051	0.0442226	0.00545428	0.0158744
u	6.9055e-05	2.75128e-05	7.59637e-05	0.000359478	0.00168289	0.0402618	0.00692387	0.117416	0.0253303	0.00670413	0.0706804	0.024084	0.0212081	0.612963	0.026373	0.020817	0.00545509	0.0195681
b	3.08444e-05	1.37144e-05	6.68433e-05	3.3301e-05	0.00315801	0.0198843	0.0149637	0.0324841	0.0319133	0.0187411	0.016839	0.0531996	0.0517285	0.508777	0.159843	0.0795316	0.0019276	0.00686383
h	9.39179e-05	1.72595e-05	0.000100984	0.000105319	0.00462316	0.00129418	0.0256521	0.00730962	0.0341191	0.0427098	0.0414124	0.121824	0.120803	0.380308	0.101928	0.0752391	0.0185902	0.02387
u	5.77993e-05	6.35619e-06	0.000119748	0.00036226	0.00573708	0.000677579	0.0206876	0.00799447	0.0376474	0.0875676	0.0403925	0.195593	0.124912	0.270424	0.134734	0.0496992	0.00577765	0.0176091
l	1.00603e-05	5.80804e-06	6.09385e-05	4.59444e-05	0.00194993	0.000243413	0.0099454	0.00413222	0.0275656	0.0918924	0.0143151	0.190223	0.157665	0.065804	0.304871	0.102839	0.00673647	0.0216952
u	0.000148797	2.28366e-05	0.000354673	0.000952662	0.00284907	0.000868837	0.00660702	0.0149528	0.0292285	0.0371231	0.125371	0.251331	0.115835	0.161804	0.0791239	0.0484067	0.0653387	0.0596823
y	1.37301e-05	5.77323e-05	6.50056e-05	5.22331e-05	0.00197643	0.000879454	0.0038698	0.00978462	0.0145341	0.0307599	0.0277406	0.228024	0.177986	0.114466	0.236089	0.0680172	0.0238631	0.0618217
á	0.00040118	0.000438213	0.00230824	0.00143113	0.0120113	0.00641413	0.0138917	0.0329645	0.0140893	0.0300681	0.0978197	0.194236	0.113004	0.194887	0.0698463	0.0222679	0.140965	0.052955
w	7.57567e-05	7.11535e-05	0.000234597	0.000209144	0.00376204	0.00214417	0.0052328	0.00747178	0.00575413	0.0346943	0.025108	0.219257	0.101687	0.0664365	0.091327	0.0302073	0.36245	0.0438765
a	0.000299769	7.62826e-05	0.00128203	0.00161674	0.00389094	0.000929167	0.0178525	0.0142277	0.0300377	0.070907	0.0219286	0.134703	0.110712	0.0250726	0.0609842	0.0703955	0.376578	0.058506
y	9.11822e-05	2.84145e-05	0.000106118	9.06652e-05	0.000913655	0.00106804	0.00470099	0.00471389	0.00779662	0.0248713	0.0185121	0.142177	0.112139	0.028717	0.0612365	0.092234	0.282324	0.218279
i	3.21438e-05	5.20655e-05	0.000520741	0.000725803	0.010724	0.0016046	0.0150576	0.011088	0.0161728	0.0289951	0.0590108	0.167374	0.131463	0.138661	0.104072	0.07127	0.196001	0.0471755
k	0.000112851	0.000113113	0.000444042	0.000195733	0.00383026	0.000930678	0.00449407	0.004726	0.00610722	0.0326762	0.0102733	0.163407	0.110802	0.0250637	0.125067	0.0236192	0.218755	0.269382
