 	j'	ai	souffert	pour	décrasser	la	chambre	où	logeait	le	malade	</S>
n	0.571479	0.185005	0.103521	0.0812069	0.0269405	0.0146793	0.00747139	0.00182699	0.000342918	0.00183866	0.00565043	3.85294e-05
g	0.948465	0.0373336	0.00152226	0.00187986	0.000354625	0.00148391	0.00699474	0.000248393	0.000182614	0.000396763	0.0010998	3.8373e-05
á	0.786158	0.172667	0.0157896	0.00591691	0.000514752	0.00106418	0.0168672	0.000246224	0.000222444	0.000113388	0.000428812	1.13705e-05
í	0.0416201	0.29078	0.0831994	0.0860345	0.00943904	0.0265025	0.0165986	0.0522446	0.0277282	0.0788768	0.0242325	0.262744
t	0.0199236	0.464619	0.425781	0.0308601	0.00989844	0.00321931	0.00289317	0.0105145	0.0190152	0.00512268	0.00138018	0.00677269
é	0.000405788	0.0918914	0.675685	0.0618427	0.0799423	0.00684499	0.00251966	0.0150388	0.0364904	0.00430107	0.00909244	0.0159454
i	0.00167606	0.165435	0.690508	0.0780353	0.0406659	0.00771528	0.00184503	0.00242721	0.0031993	0.00339706	0.00266203	0.00243372
k	0.0559812	0.100873	0.087841	0.541182	0.0930691	0.0746618	0.0160621	0.00814651	0.00399829	0.011752	0.000735622	0.00569684
y	7.39657e-05	0.00132014	0.0358863	0.238079	0.667656	0.0273015	0.00629688	0.00513648	0.00853855	0.00126208	0.00467376	0.00377509
έ	6.26061e-05	0.00143803	0.0408813	0.243581	0.675884	0.0123723	0.00298137	0.00332586	0.00587239	0.00137013	0.00270305	0.00952799
r	0.00155529	0.0108672	0.0710112	0.169989	0.377124	0.0543141	0.0223536	0.0241499	0.0425808	0.0293982	0.0375308	0.159125
ω	0.000815457	0.00542478	0.155001	0.365629	0.326566	0.0372671	0.0109812	0.0115209	0.0102937	0.0223393	0.00558986	0.0485712
m	0.000728164	0.00780866	0.0076212	0.507538	0.103148	0.304727	0.0299992	0.0171362	0.00555392	0.00983551	0.000396798	0.00550686
í	0.000968493	0.00044413	0.00332721	0.258228	0.0356105	0.271333	0.166069	0.139267	0.0165813	0.0134181	0.000336886	0.0944166
t	0.000267135	0.00249057	0.00109349	0.119925	0.367121	0.350225	0.0578364	0.0481091	0.0161685	0.0042076	0.00355795	0.0289984
ó	6.29665e-06	0.000110466	0.00154086	0.0178184	0.924118	0.0321167	0.00237995	0.00881437	0.0063434	0.00086973	0.00136297	0.00451896
r	1.20141e-05	0.00066636	0.00253956	0.0585734	0.776582	0.106803	0.00563705	0.023639	0.0118128	0.00268847	0.00442417	0.00662189
a	4.91596e-05	0.000594814	0.0124592	0.0913811	0.703416	0.0705441	0.0122753	0.0101098	0.00489509	0.00439354	0.00568275	0.0841994
l	0.000136953	0.00304258	0.00926013	0.106436	0.162096	0.459155	0.0879252	0.111166	0.0298345	0.00789586	0.00105798	0.0219938
á	0.00355975	0.00189679	0.00854659	0.0169712	0.089091	0.191762	0.162638	0.152377	0.0783548	0.0456958	0.00549922	0.243607
b	0.00404968	0.00649641	0.00211655	0.016197	0.0204739	0.327234	0.316041	0.173212	0.0671314	0.0301848	0.0169105	0.0199527
ω	0.00411264	0.010475	0.00258711	0.0168223	0.182915	0.186412	0.153596	0.175588	0.221492	0.00615912	0.0327163	0.00712499
r	0.000683167	0.00186974	0.00318196	0.0259837	0.136221	0.0398344	0.0753193	0.111062	0.354846	0.00319674	0.243259	0.00454256
ω	0.000481592	0.000195152	0.00472792	0.0831904	0.178663	0.183907	0.121422	0.0655251	0.0584325	0.0415955	0.0694618	0.192398
ω	0.000121595	0.000219222	0.000369721	0.0252411	0.011416	0.371457	0.187292	0.289616	0.0653952	0.0239252	0.00129744	0.0236494
s	0.000484913	0.00367378	0.00385593	0.0174706	0.00549133	0.0849197	0.0776049	0.362199	0.253048	0.150707	0.00372189	0.0368231
á	0.000148167	0.0017529	0.00518801	0.0128248	0.00234672	0.125628	0.175672	0.140507	0.213479	0.138125	0.00170248	0.182627
n	0.000446694	0.00115142	0.000655345	0.00453483	0.00544368	0.249054	0.253803	0.16752	0.0882606	0.118773	0.0239761	0.086381
d	0.00271579	0.000361446	0.000687277	0.00218485	0.000616139	0.0849933	0.7156	0.0825772	0.0689578	0.0177472	0.00245328	0.0211055
é	0.000399369	0.000380839	0.00273027	0.00429802	0.00265244	0.0498471	0.469975	0.123084	0.103146	0.027268	0.0134673	0.202751
e	0.000148268	0.00020878	0.00052208	0.00210823	0.00111959	0.0919485	0.116391	0.212952	0.236497	0.130835	0.0164957	0.190774
y	6.79463e-05	0.000795896	0.00292077	0.00687454	0.00391994	0.0233465	0.012743	0.17003	0.29669	0.306098	0.0286072	0.147907
é	0.000109438	0.00170394	0.00132248	0.0103442	0.00195891	0.102607	0.0538919	0.160926	0.193607	0.369149	0.0111637	0.0932174
