 	je	ne	sais	pas	pourquoi	il	ne	me	parle	plus	</S>
n	0.588733	0.0960019	0.0236543	0.102469	0.070906	0.0451993	0.0474052	0.0214796	0.00297077	0.00102291	0.000157394
g	0.963042	0.00348538	0.00199738	0.00496755	0.00929546	0.00193885	0.00246516	0.012446	7.13804e-05	0.000274597	1.59376e-05
á	0.974303	0.0097044	0.00205981	0.000980434	0.00422071	0.000780051	0.00105039	0.00675472	5.6944e-05	8.51828e-05	4.05049e-06
i	0.269924	0.200151	0.0320692	0.0516595	0.0808919	0.100893	0.0523466	0.0913302	0.00618764	0.0275311	0.0870154
d	0.0415315	0.700892	0.121223	0.00577973	0.007645	0.00688851	0.0102417	0.0166958	0.0395576	0.00681713	0.0427281
i	0.0442331	0.646819	0.174065	0.00808467	0.0158612	0.0120211	0.0193805	0.0279976	0.00821349	0.00236116	0.0409632
o	0.0113863	0.390405	0.377456	0.112973	0.0222875	0.0182903	0.0228888	0.00685422	0.00509369	0.00541502	0.0269503
y	0.00608437	0.251004	0.608781	0.0555622	0.0478232	0.0063753	0.00612744	0.00320413	0.00724877	0.00166366	0.00612526
é	0.00242986	0.0697156	0.817419	0.0162418	0.0296837	0.00301408	0.0119201	0.0261452	0.00499774	0.00117464	0.0172585
b	0.00552081	0.09543	0.487736	0.0903588	0.133784	0.019699	0.0355092	0.0559419	0.00451328	0.00578971	0.0657173
h	0.00544476	0.113041	0.610087	0.118578	0.0845211	0.0101358	0.0303152	0.00978053	0.00751685	0.00181512	0.00876459
á	0.00899511	0.0442628	0.293271	0.0901806	0.111394	0.0268838	0.0462544	0.0282119	0.0138538	0.0606695	0.276023
t	0.00357374	0.0203244	0.0742315	0.280985	0.258507	0.282109	0.0557104	0.0128396	0.00274432	0.00146794	0.00750682
s	0.00111997	0.00412464	0.0180983	0.217573	0.544791	0.0965214	0.0366233	0.00793226	0.0292245	0.0264227	0.0175687
í	0.000492925	0.00254991	0.0443915	0.211034	0.388375	0.0568731	0.143364	0.0225704	0.0769857	0.0379661	0.0153981
n	0.00885401	0.0106696	0.157949	0.112207	0.371023	0.0703666	0.0702139	0.0442529	0.0336541	0.0274676	0.093343
a	0.00414559	0.00549208	0.0288004	0.137235	0.450195	0.0694097	0.0512407	0.0808998	0.0280379	0.0421883	0.102356
y	0.00102415	0.00557395	0.0178009	0.0758555	0.175636	0.286811	0.224828	0.145042	0.0309575	0.00481231	0.0316591
é	0.0146463	0.0257476	0.0507402	0.14162	0.452941	0.181294	0.058074	0.0474648	0.00874677	0.00787001	0.0108555
é	0.00201658	0.00365705	0.0137732	0.0655588	0.162926	0.341539	0.233471	0.112245	0.029871	0.0175366	0.0174051
k	0.0046391	0.0472163	0.0535448	0.0135993	0.0221493	0.0368504	0.163196	0.239793	0.37656	0.0156516	0.0267996
a	0.000120672	0.00655802	0.0134992	0.025259	0.0141962	0.0110963	0.173243	0.0416264	0.614908	0.042922	0.0565706
n	7.78752e-05	0.00177403	0.00483039	0.0300548	0.0279189	0.0202699	0.225233	0.0584005	0.473989	0.0283767	0.129075
í	0.00070926	0.00255232	0.00545862	0.0234206	0.0354262	0.0396593	0.126074	0.156469	0.421712	0.0588224	0.129696
w	0.0022766	0.00252512	0.00438713	0.0293271	0.0432552	0.183669	0.143689	0.321092	0.159748	0.0738155	0.0362151
a	0.00183386	0.004191	0.0179255	0.0469299	0.064073	0.0839553	0.151193	0.203316	0.168854	0.194026	0.0637034
n	0.000797368	0.000603392	0.00194393	0.0124047	0.0188115	0.0573045	0.0841972	0.253714	0.138235	0.289383	0.142606
g	0.0213807	0.00273083	0.0151018	0.00689746	0.0320048	0.0113953	0.0238728	0.686461	0.0412466	0.0822578	0.0766511
á	0.00358515	0.000396513	0.00195782	0.00248928	0.0135656	0.00559988	0.0284334	0.756208	0.026042	0.10447	0.0572527
i	0.000437373	0.00153398	0.0017589	0.0169555	0.0140271	0.0363094	0.0461076	0.0894677	0.101198	0.511954	0.180251
k	0.00101827	0.0131932	0.0185496	0.0104366	0.00684586	0.00605625	0.0212268	0.0414174	0.165174	0.574758	0.141323
a	4.27757e-05	0.00114786	0.00299459	0.009933	0.00366542	0.00304005	0.0514898	0.022991	0.281381	0.560554	0.0627603
á	0.000135162	0.000639528	0.00245916	0.00502527	0.0055166	0.00734416	0.0690795	0.0270108	0.159649	0.381096	0.342045
k	0.000249052	0.00243322	0.00354167	0.00813165	0.0105999	0.0325395	0.0239261	0.0825858	0.0352858	0.258537	0.542171
a	0.000110925	0.00115856	0.00777283	0.0184237	0.00553714	0.00529613	0.0452784	0.0539226	0.0942178	0.598427	0.169855
á	9.56376e-05	0.000290717	0.00249059	0.00396649	0.00564128	0.00973937	0.0364643	0.0541664	0.0688701	0.273583	0.544692
</S>	0.000210119	0.00170691	0.00371243	0.00588539	0.00716241	0.0115887	0.0217434	0.0471918	0.0655254	0.313755	0.521518
