 	la	mère	berce	l'	enfant	</S>
n	0.956368	0.0309544	0.00863854	0.0026796	0.000862842	0.000496229
g	0.220567	0.778154	0.000137149	0.00110731	2.90195e-05	5.79929e-06
ó	0.0418615	0.954869	0.000497633	0.000595748	0.00216286	1.33045e-05
o	0.0099862	0.984167	0.00115577	0.00175988	0.00282648	0.000105012
l	0.519874	0.107749	0.187572	0.128533	0.00419906	0.0520729
á	0.145734	0.094764	0.0895334	0.0646666	0.00619698	0.599105
a	0.513271	0.0031243	0.0489355	0.403992	0.0240321	0.00664516
l	0.00406012	0.0100321	0.907688	0.0175752	0.023541	0.0371035
ε	0.00578524	0.00568923	0.896471	0.0267576	0.0261561	0.0391406
έ	0.00966595	0.000231082	0.690686	0.0209684	0.00830554	0.270143
m	0.00698126	3.68338e-05	0.322389	0.617593	0.00455213	0.0484469
w	0.00433876	3.35711e-05	0.0103071	0.109049	0.781336	0.0949359
á	0.00218087	1.0841e-05	0.0026305	0.00563286	0.985878	0.00366666
n	0.0382862	3.94535e-05	0.0131693	0.198999	0.618939	0.130567
a	0.00987043	0.000293573	0.0161867	0.187454	0.712317	0.0738778
</S>	0.00642151	0.0020181	0.181746	0.511663	0.0219897	0.276161
