 	ma	femme	a	fait	moisir	le	maïs	pour	la	préparation	de	l'	alcool	indigène	</S>
m	0.951421	0.00833994	0.00593866	0.0148857	0.00681047	0.00692311	0.000861561	0.00255975	0.00123662	0.000114529	0.000453257	0.000262622	0.000102004	5.31968e-05	3.73614e-05
w	0.103881	0.878249	0.00535162	0.00500517	0.00466211	0.00033763	0.00131419	0.000450998	0.000138022	6.06483e-05	8.91356e-05	0.000250043	5.95784e-05	4.16608e-05	0.000109743
á	0.14248	0.620635	0.0116558	0.070457	0.147357	0.00148867	0.00386529	0.00117505	0.000316011	0.000148343	4.7948e-05	5.56494e-05	1.94147e-05	0.000261318	3.63941e-05
s	0.835026	0.0734084	0.0181046	0.0221537	0.0149654	0.00380697	0.00272842	0.00561064	0.0070254	0.00121746	0.00251191	0.00438956	0.00155709	0.00267717	0.00481735
í	0.287445	0.0211835	0.0896237	0.161242	0.0199094	0.0379478	0.0563584	0.0662063	0.0319565	0.0193086	0.0264527	0.0381316	0.0150526	0.0233426	0.105839
y	0.271773	0.1018	0.415298	0.072746	0.00291399	0.0231807	0.00914798	0.0182393	0.0134257	0.00216657	0.0132951	0.0128896	0.0148542	0.00353349	0.024736
a	0.210215	0.158348	0.297902	0.10503	0.0256064	0.0379012	0.062809	0.0287639	0.00888365	0.00668141	0.0143049	0.0159601	0.0153384	0.00188353	0.0103731
n	0.729855	0.0215608	0.13046	0.0659924	0.00605112	0.011166	0.00719575	0.00544499	0.00155232	0.000899841	0.00334413	0.0036009	0.00223036	0.000452247	0.0101946
g	0.932745	0.00917935	0.0129883	0.0157001	0.000669609	0.00281118	0.0174406	0.00183308	0.000835853	0.00030535	0.000467089	0.00108882	0.00147923	0.00118704	0.0012692
á	0.179918	0.0981593	0.2377	0.181165	0.0207336	0.00896123	0.137988	0.0127073	0.00683492	0.0175616	0.0102002	0.0208118	0.0104789	0.0275807	0.0291983
á	0.0257848	0.00455063	0.601818	0.229339	0.033703	0.0479599	0.00671569	0.0113953	0.00669797	0.00234184	0.00875201	0.00622726	0.00801328	0.000768407	0.00593272
b	0.00290306	0.00539808	0.169161	0.461775	0.185019	0.0528971	0.0499361	0.0114958	0.00663551	0.00368438	0.00136144	0.00182547	0.00521119	0.0249704	0.0177269
v	0.00194097	0.000789133	0.108818	0.567199	0.215563	0.0428428	0.0125799	0.0151295	0.00939302	0.00509529	0.00253658	0.00282121	0.00255495	0.00446872	0.0082676
u	0.00490295	0.000763845	0.144168	0.513628	0.178233	0.0773642	0.0321955	0.0261725	0.00834293	0.00336432	0.0019975	0.0028376	0.00156997	0.00262329	0.00183692
m	0.0217527	0.00101464	0.0592951	0.187925	0.109264	0.105114	0.143527	0.0748216	0.0428337	0.0237843	0.00791852	0.0136002	0.0127596	0.0805071	0.115882
u	0.00256095	0.000567455	0.0232015	0.0775594	0.252567	0.292605	0.0643997	0.192021	0.0622485	0.00710671	0.00938282	0.0105799	0.00215952	0.000124711	0.00291672
s	0.000799274	0.00101223	0.0131718	0.0559863	0.156971	0.337671	0.265105	0.101681	0.0300473	0.024925	0.00358073	0.00237831	0.00164219	0.00151728	0.00351119
u	0.00156987	0.000557129	0.0126401	0.0416684	0.0354745	0.505824	0.232271	0.111545	0.0181948	0.0032341	0.00534186	0.00685186	0.00931047	0.00139564	0.0141214
a	0.000477058	0.000333397	0.0025468	0.00697089	0.0196829	0.436093	0.320909	0.14205	0.0339643	0.00850819	0.00440536	0.00459024	0.00436922	0.00156893	0.0135313
s	0.000506038	8.46572e-05	0.00256729	0.00918605	0.00597482	0.213739	0.421534	0.207475	0.0820024	0.0349062	0.00707273	0.00286888	0.0036269	0.00500304	0.00345198
á	0.001108	0.000551949	0.00326432	0.00903415	0.00507295	0.113732	0.48207	0.180334	0.0698072	0.0235969	0.0163502	0.0115644	0.0278946	0.0113493	0.0442708
n	0.00449926	0.000271438	0.00401635	0.00661393	0.00479819	0.113652	0.31079	0.251846	0.13997	0.0708469	0.0223549	0.0138769	0.00886385	0.0306515	0.0169489
g	0.00246834	5.87986e-05	0.000426536	0.00120814	0.000186466	0.0240915	0.838795	0.0573367	0.0270304	0.0158621	0.00478021	0.00692194	0.00532781	0.0117927	0.00371346
í	0.00120277	0.000212662	0.000366728	0.000498895	0.000132438	0.0120091	0.870122	0.0450487	0.0222037	0.0330058	0.00433139	0.00366211	0.00222249	0.0028707	0.00211004
m	8.22818e-05	4.10856e-05	0.000717715	0.00124626	0.000747382	0.0858455	0.140261	0.343774	0.230136	0.072939	0.0742237	0.0194251	0.0139688	0.00336554	0.0132278
í	0.000248809	0.000202528	0.00024702	0.00049198	0.00733514	0.0370901	0.0195503	0.287594	0.227066	0.0650803	0.146675	0.0704885	0.0166048	0.00177899	0.119546
l	0.000125746	8.30535e-05	0.000552025	0.000870139	0.00130467	0.0162328	0.0250527	0.0678012	0.168157	0.536958	0.103418	0.0169826	0.0154419	0.0263055	0.020714
á	0.000243992	8.87107e-05	0.00225571	0.00359304	0.00243898	0.0119562	0.0641362	0.0658774	0.0969921	0.32274	0.0897316	0.0470361	0.0468313	0.134606	0.111473
m	0.000301379	2.07175e-05	0.00141241	0.00113257	0.000366402	0.0100026	0.0179384	0.0390304	0.0755166	0.387876	0.140143	0.067438	0.0336269	0.0603804	0.164814
b	9.3186e-05	0.000680334	0.00015844	0.000577249	0.0220151	0.00949618	0.00430418	0.0917717	0.357399	0.136646	0.168649	0.119897	0.030035	0.00335035	0.054927
a	2.94127e-05	0.00012505	0.00011656	0.00118711	0.00996584	0.00449067	0.00523528	0.0747073	0.225193	0.39263	0.114617	0.107971	0.00908582	0.0118575	0.0427888
l	4.64555e-05	5.24919e-05	0.000332877	0.00154951	0.0018257	0.00877843	0.00533014	0.0414245	0.120686	0.26081	0.27742	0.0875724	0.0450521	0.0401298	0.108989
