 	cet	homme	est	encore	jeune	</S>
i	0.487478	0.502278	0.00438334	0.00477729	0.000801446	0.00028166
b	0.0794319	0.915125	0.00424141	0.000562973	0.000422497	0.000216562
a	0.00215788	0.997215	0.000482985	1.51656e-05	0.000115346	1.33461e-05
a	0.0113277	0.980601	0.00529215	0.000553839	0.000384321	0.00184127
d	0.556993	0.147677	0.190565	0.0184801	0.000246614	0.0860388
í	0.195268	0.0177935	0.347337	0.0701175	0.000706002	0.368778
í	0.0647577	0.048417	0.433207	0.297109	0.00260798	0.153901
s	0.0152836	0.00286898	0.383026	0.565769	0.00979653	0.0232555
á	0.00848248	0.00275146	0.29314	0.548985	0.0162764	0.130365
a	0.0230803	0.00712338	0.29585	0.400864	0.0297709	0.243312
p	0.0234724	0.00402819	0.110805	0.326708	0.41355	0.121436
f	0.0102782	0.043748	0.557341	0.0592149	0.0549806	0.274437
é	0.0208511	0.0501712	0.452347	0.0781533	0.0732673	0.32521
é	0.0031667	0.00439338	0.14605	0.117717	0.101357	0.627316
</S>	0.00211697	0.00281603	0.118451	0.159994	0.0133907	0.703231
