 	le	chassseur	a	apporté	le	phacochère	qu'	il	vient	de	tuer	</S>
o	0.946164	0.0453696	0.00174361	0.000948092	0.0017844	0.00223156	0.00123326	0.000313829	4.18792e-05	0.000122099	3.37089e-05	1.38176e-05
b	0.0250769	0.970677	0.00174362	0.000962732	0.000447459	0.000141601	0.000114068	4.96498e-05	0.000140207	8.20197e-05	0.000334683	0.000230415
e	0.0235034	0.973987	0.00021356	0.000364649	0.000462269	0.000768206	8.9758e-05	6.27538e-05	7.71398e-05	4.82148e-05	0.000313531	0.000109318
n	0.0114224	0.971886	0.0011803	0.00130147	0.00250517	0.00261799	0.000658591	0.000485673	0.00246009	0.000617852	0.00145479	0.00340976
g	0.369216	0.528064	0.0126778	0.00399397	0.0109451	0.011786	0.011842	0.00641765	0.00615717	0.00230653	0.00253738	0.0340564
i	0.433312	0.483677	0.0200798	0.00935427	0.0119557	0.00642487	0.00719498	0.00563459	0.00427731	0.00382461	0.000996521	0.013269
á	0.230696	0.0628604	0.455054	0.105588	0.0318519	0.00949444	0.0306229	0.0246815	0.0161609	0.0114806	0.00129919	0.0202103
m	0.0376002	0.0201711	0.479303	0.350467	0.0521522	0.00747541	0.0015112	0.00436433	0.0188637	0.00671648	0.00376034	0.0176148
i	0.0542459	0.00472653	0.23995	0.466446	0.151083	0.0317873	0.00582265	0.0075981	0.013988	0.00806186	0.00257478	0.0137164
y	0.00397881	0.00532224	0.174484	0.645423	0.120754	0.015874	0.00155177	0.0012062	0.0102196	0.00346519	0.00438838	0.0133332
a	0.00417355	0.00215588	0.0753523	0.827542	0.051637	0.00735174	0.00119447	0.00102625	0.0112688	0.00173464	0.00252058	0.0140428
á	0.00267672	0.000762102	0.151148	0.519141	0.197582	0.0224505	0.00193668	0.00212512	0.0241226	0.00367593	0.0049852	0.0693943
l	0.00349087	0.000277377	0.0884256	0.284663	0.378148	0.117667	0.0576726	0.0334863	0.00909725	0.010185	0.00386641	0.0130209
a	0.00181713	0.000282376	0.0553494	0.208887	0.460421	0.13636	0.0400424	0.0250302	0.0136382	0.00880772	0.0066102	0.0427541
b	0.00301079	0.000100175	0.0432	0.0584467	0.275043	0.305718	0.201237	0.0766038	0.0123185	0.00755068	0.00455208	0.0122188
í	0.0174981	0.000985334	0.0138309	0.0427839	0.232851	0.655951	0.0158677	0.0106484	0.00343469	0.000737451	0.00376744	0.00164321
l	0.00264113	0.000436867	0.0199564	0.0434164	0.143236	0.625643	0.0556558	0.0634758	0.0174668	0.00443572	0.00522946	0.0184066
í	0.000378818	0.000205994	0.0229536	0.125002	0.329195	0.190487	0.0404897	0.0338627	0.051994	0.0162004	0.0146596	0.174572
t	0.00161039	7.78995e-05	0.0318196	0.0737785	0.0956933	0.0946444	0.247429	0.288577	0.0567964	0.0682866	0.00708042	0.0342068
s	0.0269437	0.000362411	0.0369563	0.0297301	0.14725	0.0836205	0.146066	0.342174	0.110303	0.0321957	0.0117403	0.0326579
ε	0.000517075	0.00019844	0.00487719	0.023052	0.129191	0.208868	0.103733	0.273807	0.0902137	0.0467039	0.0344401	0.084399
y	0.0011985	0.000163128	0.00923109	0.0197066	0.123065	0.139473	0.237974	0.200339	0.0630581	0.0323464	0.0248828	0.148562
e	0.000881439	2.73762e-05	0.00657351	0.00685865	0.0718228	0.0968635	0.271578	0.193432	0.106168	0.0318237	0.0205237	0.193447
é	0.00676755	9.11919e-05	0.00485805	0.00691835	0.0142672	0.0171619	0.315553	0.335595	0.0851355	0.156879	0.0203151	0.0364581
m	0.00199092	0.000801997	0.0250798	0.0339957	0.0289141	0.012334	0.0439215	0.15689	0.245337	0.351396	0.0718625	0.0274766
i	0.00154545	0.000348405	0.00438777	0.00498108	0.0223189	0.0445019	0.0243686	0.0458348	0.349163	0.133993	0.262227	0.106331
b	7.09505e-05	0.000332097	0.00141829	0.0025086	0.0158305	0.0146825	0.00441546	0.0105914	0.314236	0.139119	0.431765	0.0650307
o	0.00016204	0.0020508	0.00146404	0.00374666	0.0187673	0.0146036	0.00116685	0.00481043	0.169678	0.0486486	0.694211	0.0406907
m	0.000193116	0.000531	0.000515155	0.00219916	0.0150427	0.0401863	0.00173007	0.00443766	0.151254	0.0529069	0.547402	0.183602
á	0.000732704	0.000316546	0.00137585	0.00236716	0.0211112	0.0469249	0.0239262	0.0380363	0.0994434	0.117014	0.506953	0.141799
w	0.0388138	0.000198533	0.00678298	0.00454017	0.0139437	0.0154954	0.09865	0.0769083	0.0602712	0.243987	0.202011	0.238397
a	0.0135719	0.000539779	0.0065978	0.00720236	0.014189	0.0144931	0.0791401	0.201316	0.0917653	0.276568	0.215677	0.078939
</S>	0.002552	3.77401e-05	0.00109623	0.00106624	0.00281572	0.00466303	0.0484595	0.0801167	0.0414189	0.154895	0.356585	0.306294
