 	le	pêcheur	a	tué	un	crocodile	dans	l'	étang	</S>
o	0.960709	0.0108616	0.0223321	0.000378101	0.0032399	0.000210388	0.00132561	0.000930691	3.54139e-06	9.22835e-06
t	0.0302497	0.952164	0.0101437	0.00478275	0.00050802	0.000922706	0.000209486	0.000386353	0.000267096	0.000366267
o	0.00324277	0.991862	0.000149932	0.00141049	6.25962e-05	0.00131194	0.00018726	8.5088e-05	0.00137731	0.000310596
i	0.0043821	0.989539	0.00137672	0.001967	0.000113535	0.000549612	0.000132701	0.00021029	0.000988798	0.000740694
á	0.460757	0.0784399	0.423149	0.0025987	0.0195515	0.00073902	0.00155682	0.00189736	8.91912e-05	0.0112213
b	0.0301406	0.00866551	0.389479	0.320222	0.136847	0.0707519	0.0120896	0.00671623	0.00368255	0.0214054
o	0.0462319	0.00462751	0.227818	0.017624	0.468414	0.0438175	0.0636766	0.0299956	0.00116716	0.0966272
m	0.112736	0.011329	0.212563	0.103851	0.316247	0.135859	0.0535778	0.0151138	0.00908233	0.0296408
i	0.0776732	0.000547746	0.0929146	0.145166	0.276319	0.281912	0.0635172	0.0433703	0.00165545	0.0169246
o	0.0220526	0.000475718	0.0731343	0.0453965	0.4969	0.275456	0.0476147	0.0219759	0.00182455	0.0151702
n	0.0017822	0.00270157	0.0037846	0.0222809	0.161138	0.732313	0.0489246	0.0043289	0.0107622	0.0119846
g	0.0264314	0.0044892	0.00656701	0.00492508	0.057025	0.792596	0.0352239	0.015407	0.0301161	0.0272197
ó	0.00331147	0.00183448	0.0126121	0.00837768	0.0313796	0.815194	0.0137606	0.00889532	0.0946682	0.00996692
m	0.00715873	0.00283025	0.0263555	0.00587338	0.0390235	0.339275	0.0940833	0.0948569	0.361262	0.0292817
í	0.0197218	0.000907219	0.0150761	0.00154128	0.154537	0.207985	0.192842	0.141615	0.0272705	0.238504
s	0.00435184	0.000221523	0.00455103	0.000538364	0.092504	0.0793053	0.337713	0.274156	0.10968	0.0969787
é	0.0017471	0.000497565	0.00147009	0.000669843	0.019206	0.224991	0.268127	0.108567	0.202369	0.172356
t	0.00217199	0.00025525	0.00294383	0.000808488	0.0144176	0.0569307	0.148365	0.115327	0.575052	0.0837276
ó	0.000540286	0.000655325	0.000513036	0.000310682	0.00583363	0.0480751	0.104744	0.0290519	0.758626	0.0516506
n	0.0003112	0.0012301	0.00144119	0.00100463	0.0132032	0.0332929	0.0494965	0.0378155	0.769653	0.0925521
g	0.00174766	0.012285	0.00290768	0.00161842	0.0222604	0.0488378	0.138967	0.11578	0.371906	0.283689
o	0.00115955	0.001298	0.00101867	0.000124963	0.00539145	0.0183776	0.0225339	0.0500359	0.719183	0.180877
</S>	0.00218912	0.00055986	0.00175706	4.02371e-05	0.00791509	0.00849282	0.0622285	0.19581	0.129984	0.591023
