 	mon	beau-	frère	a	mangé	le	blaireau	lui-même	</S>
b	0.242628	0.71711	0.0177154	0.0110763	0.000893793	0.00712129	0.00159503	0.00148559	0.000374811
v	0.156165	0.667378	0.0513359	0.0220529	0.002307	0.00587008	0.00092287	0.0874039	0.00656472
u	0.0183745	0.902717	0.034768	0.0105766	0.015016	0.00791263	0.000604658	0.00739887	0.00263201
ε	0.0161686	0.9195	0.0461817	0.00395025	0.000386599	0.00499713	0.0011543	0.00457384	0.003088
b	0.120981	0.461412	0.160745	0.0706888	0.00182668	0.0505669	0.0173973	0.00686679	0.109517
á	0.308419	0.268533	0.0572054	0.0798097	0.00170631	0.0636472	0.0183465	0.0832714	0.119061
n	0.672247	0.0627056	0.0783498	0.105857	0.0315137	0.0181994	0.00242162	0.0073713	0.0213342
g	0.976654	0.000695538	0.0150423	0.00412742	0.00114739	0.000652416	2.02613e-05	0.000198387	0.00146258
á	0.631621	0.0211728	0.233735	0.0503441	0.0198846	0.00847386	0.000483195	0.00148775	0.0327977
ó	0.0454029	0.0467244	0.185451	0.528637	0.0138906	0.108515	0.0231799	0.0125449	0.0356544
d	0.0122741	0.0165802	0.222971	0.144849	0.31712	0.218142	0.0616863	0.00187639	0.00450113
z	0.00318415	0.000307473	0.126382	0.0261304	0.761632	0.0336996	0.00200085	0.0018747	0.0447888
é	0.0166765	0.000287922	0.0786339	0.0160558	0.877738	0.00665813	0.000451302	0.000169381	0.0033293
e	0.0318242	0.0131732	0.0545006	0.114525	0.24285	0.224214	0.170247	0.0626854	0.0859807
k	0.00684222	0.00413556	0.0175028	0.0406923	0.0241992	0.184286	0.566995	0.0593969	0.0959503
ó	0.000241295	0.0043626	0.00143237	0.00209096	0.00069992	0.0393274	0.919037	0.0267592	0.00604903
l	0.000212404	0.00470719	0.00266791	0.00753288	0.00120663	0.0766928	0.832259	0.0419669	0.0327547
ó	0.000518187	0.00562963	0.00253394	0.0116199	0.00287497	0.121044	0.6013	0.118845	0.135634
b	0.000870909	0.00138587	0.00222175	0.00608216	0.000722623	0.0261383	0.143566	0.662025	0.156988
v	0.0126724	0.029937	0.0046481	0.00548425	0.000481652	0.0275589	0.214072	0.662949	0.0421965
ú	0.00122961	0.00196368	0.00078676	0.00131158	0.000189531	0.0183065	0.0860236	0.868302	0.0218868
a	0.000360803	0.000693228	0.000569309	0.00184614	0.000424803	0.0317999	0.0612748	0.738001	0.16503
m	0.00161661	0.000573981	0.00559954	0.00559908	0.000650916	0.0271449	0.0160536	0.684731	0.25803
έ	0.00180254	0.00660582	0.0921182	0.0153277	0.022528	0.0455101	0.0315617	0.342791	0.441755
n	0.00046619	0.00216675	0.010099	0.00477788	0.00141659	0.0122586	0.0132167	0.727766	0.227832
έ	0.00955101	0.000427726	0.0056001	0.00382298	0.00169101	0.00627049	0.000339824	0.596734	0.375563
</S>	0.00407549	0.0001838	0.00339325	0.00832243	0.000656638	0.00712371	0.00115792	0.32384	0.651247
