 	il	y	a	belle	lurette	qu'	on	s'	est	vu	toi	et	moi	</S>
b	0.132182	0.310387	0.16885	0.120598	0.0823675	0.0955012	0.0176322	0.0123374	0.0110797	0.00764434	0.00825715	0.0302298	0.00193199	0.00100187
í	0.089326	0.142627	0.0477388	0.0617364	0.380064	0.0789811	0.0106626	0.0139556	0.0301161	0.0162804	0.0383695	0.082126	0.00492769	0.003089
s	0.0197491	0.0844467	0.0398269	0.123512	0.221179	0.115811	0.059342	0.0313886	0.0416485	0.0715476	0.0406311	0.0781515	0.0233295	0.049436
í	0.0246719	0.057929	0.0692641	0.147154	0.0346643	0.0855176	0.0355186	0.0604246	0.0466566	0.0154817	0.0492583	0.106172	0.144035	0.123252
l	0.0239046	0.0767737	0.170647	0.118689	0.0673778	0.135408	0.0696052	0.0415944	0.0283709	0.0102636	0.019275	0.037626	0.0356206	0.164844
a	0.015809	0.012845	0.0433548	0.0120173	0.00157721	0.0466909	0.0291359	0.0639788	0.0243225	0.0158568	0.0663375	0.044463	0.04961	0.574002
n	0.0356899	0.0233512	0.0393439	0.0609774	0.0148797	0.153699	0.0322796	0.0581655	0.0422422	0.034196	0.0533497	0.0339384	0.15733	0.260557
ω	0.0111142	0.0200934	0.0355019	0.0698892	0.00723186	0.053866	0.0216009	0.0259183	0.0188222	0.0109017	0.23332	0.0367123	0.373484	0.0815436
l	0.0106546	0.0670297	0.0974834	0.215866	0.0480208	0.128781	0.0343621	0.0960827	0.06407	0.0484376	0.0511627	0.0279251	0.0525213	0.0576022
é	0.0333194	0.0328805	0.0604573	0.0245409	0.00373184	0.204162	0.192688	0.063421	0.0420147	0.011329	0.0102479	0.00732934	0.00453504	0.309342
m	0.0276191	0.019603	0.0667304	0.0671391	0.0382257	0.17265	0.182704	0.133538	0.106124	0.0677622	0.00674383	0.0127932	0.0179883	0.0803791
i	0.0170831	0.0059949	0.0514746	0.109782	0.0737574	0.298783	0.136853	0.175881	0.0878939	0.00810216	0.00133902	0.00304568	0.00338812	0.0266229
k	0.00503753	0.00619447	0.0464916	0.0197782	0.0042595	0.114862	0.332803	0.188139	0.148572	0.0170711	0.00527322	0.0173518	0.0140415	0.0801254
á	0.00676288	0.0355755	0.0326145	0.0105953	0.00688523	0.0766909	0.294971	0.0628419	0.0830697	0.0842534	0.00489866	0.0202543	0.013519	0.267067
n	0.00528574	0.0104067	0.0344503	0.0267648	0.0477224	0.0507101	0.22886	0.0973912	0.13311	0.208875	0.012149	0.0239763	0.0149741	0.105325
a	0.00385956	0.00430632	0.00541134	0.00507649	0.000514556	0.0481198	0.0461752	0.076251	0.126574	0.371143	0.0642618	0.0649367	0.076546	0.106825
a	0.00163524	0.00299667	0.00804061	0.00849281	0.000805998	0.0312049	0.056114	0.124079	0.148333	0.199203	0.116075	0.186042	0.0398772	0.0771016
</S>	0.00141002	0.00448752	0.0167142	0.00497184	0.000148219	0.018334	0.0593374	0.13027	0.12129	0.0458763	0.0939507	0.228758	0.106824	0.167628
