 	ondongo	ment	à	mon	sujet	</S>
o	0.958294	0.016161	0.0185279	0.00652362	0.000448459	4.51888e-05
n	0.831923	0.125706	0.0192925	0.0082074	0.0114021	0.00346833
d	0.951276	0.0101206	0.00789845	0.0125822	0.00367994	0.0144424
o	0.977866	0.0142189	0.00102667	0.00191735	0.000962641	0.00400857
n	0.982352	0.00894275	0.00146604	0.00388681	0.00128526	0.002067
g	0.422025	0.176048	0.0320676	0.00533753	0.0285648	0.335958
o	0.852947	0.106649	0.0101803	0.00920086	0.00495407	0.0160687
b	0.0560689	0.565858	0.272413	0.02442	0.0100716	0.0711683
ó	0.172826	0.435465	0.178213	0.0299655	0.0765783	0.106953
l	0.0574211	0.43206	0.255055	0.063153	0.110469	0.081842
á	0.0132828	0.143906	0.160769	0.089006	0.064865	0.528172
a	0.0269773	0.163408	0.390609	0.262536	0.0657385	0.0907316
p	0.0528929	0.347075	0.498979	0.00341823	0.0324499	0.0651853
ώ	0.0062002	0.491865	0.344525	0.00267632	0.074984	0.0797493
r	0.00426013	0.366436	0.327244	0.00406177	0.262207	0.0357917
ώ	0.0035342	0.333601	0.279864	0.0340648	0.167498	0.181438
ώ	0.000837796	0.0304254	0.498401	0.281886	0.138073	0.0503761
n	0.00751031	0.00832838	0.315106	0.380519	0.223657	0.0648799
g	0.00324619	0.000663849	0.0188256	0.931355	0.0170617	0.0288479
á	0.0105924	0.00292913	0.0545506	0.774747	0.111684	0.0454971
p	0.000904249	0.00889925	0.203984	0.23605	0.271043	0.279119
ώ	0.0028533	0.00307999	0.0277477	0.0466047	0.834589	0.085125
ώ	0.000102745	0.00319475	0.0275769	0.011651	0.903501	0.0539735
</S>	0.00123356	0.00422096	0.077416	0.232583	0.270036	0.414511
