 	j'	irai	à	brazaville	après	demain	</S>
n	0.9737	0.00455571	0.0104578	0.00487132	0.00507559	0.00127236	6.68759e-05
g	0.9388	0.000280945	0.0051887	0.0425692	0.00775414	0.00538191	2.47367e-05
á	0.904174	0.00909981	0.00823042	0.0571011	0.0100079	0.0112982	8.85443e-05
l	0.27155	0.213693	0.133179	0.0736865	0.115976	0.0654347	0.126481
í	0.379283	0.113357	0.0671572	0.0669636	0.097298	0.116694	0.159248
i	0.0641949	0.0446466	0.194816	0.0926035	0.217081	0.073973	0.312685
d	0.00123321	0.979748	0.00859612	0.000451964	0.000177224	0.00127272	0.0085211
z	0.00208759	0.986426	0.00948625	0.000225816	1.5697e-05	0.000797152	0.000961224
w	0.00938806	0.986108	0.00333104	8.73979e-05	4.71341e-05	0.00070274	0.000335292
á	0.00341899	0.334514	0.382335	0.0881848	0.0151493	0.0133399	0.163058
n	0.00252947	0.0655065	0.425726	0.38698	0.0637834	0.0237771	0.0316974
g	0.00526683	0.00168458	0.207472	0.676562	0.0710334	0.0225752	0.0154063
y	0.0315247	0.00423052	0.152954	0.714083	0.0658378	0.0267996	0.00457068
ε	0.00098576	0.0294851	0.470929	0.373266	0.0280449	0.0381754	0.059114
l	0.00191127	0.00487084	0.356579	0.129549	0.172677	0.0713416	0.26307
έ	0.00064035	0.00579171	0.303833	0.323714	0.107269	0.00870662	0.250045
y	0.00111359	0.00465235	0.217801	0.421764	0.255435	0.0132008	0.0860335
á	0.00351964	0.00596035	0.175412	0.317251	0.371362	0.0417738	0.0847216
n	0.00872066	0.00202111	0.0556551	0.177346	0.558456	0.160159	0.0376414
á	0.00728936	9.74212e-05	0.0160497	0.479602	0.398064	0.0898976	0.00899965
</S>	0.00138337	0.000560035	0.029133	0.044021	0.581261	0.0997609	0.24388
