 	cette	femme	fait	des	manières	pour	me	vendre	des	arachides	</S>
o	0.830719	0.0568752	0.00986328	0.00563953	0.0265972	0.0312812	0.00938762	0.0252486	0.00405395	0.000171397	0.000163498
y	0.220028	0.736762	0.00711985	0.0039849	0.00234777	0.000966688	0.00673116	0.0106186	0.00143788	0.00353287	0.00647067
ú	0.964914	0.023411	0.000500255	0.0010545	0.00561291	0.000611956	0.00035872	0.00232929	9.95815e-05	0.00107716	3.07442e-05
r	0.936607	0.0200373	0.000561565	0.00206384	0.0214381	0.00300512	0.0043838	0.00281848	0.000853687	0.00738009	0.000850913
u	0.851354	0.0305687	0.0214294	0.0154855	0.0255097	0.0122427	0.0126872	0.00893572	0.00322342	0.00541411	0.0131492
w	0.305303	0.112797	0.313935	0.0786042	0.0345074	0.0409594	0.0205073	0.0157487	0.0189093	0.00043187	0.0582965
ó	0.29041	0.00825697	0.17621	0.105864	0.068989	0.0503146	0.0586957	0.0223942	0.0571751	0.0189099	0.14278
a	0.0306995	0.00858933	0.399235	0.252816	0.11894	0.0406022	0.0276103	0.0143279	0.0336576	0.00319765	0.0703242
d	0.0138495	0.00329442	0.473033	0.326276	0.0451352	0.0261906	0.00978636	0.0329925	0.0200149	0.00113825	0.048289
í	0.0221379	0.00390524	0.232958	0.483083	0.0839652	0.0276855	0.0280955	0.0332072	0.0237311	0.000783134	0.0604487
l	0.0334656	0.00150531	0.122099	0.318503	0.289058	0.117486	0.0195017	0.0386601	0.0203001	0.00190998	0.0375107
a	0.00198555	0.00065569	0.102049	0.23789	0.207966	0.127325	0.057472	0.027661	0.0595394	0.00416437	0.173291
p	0.00491819	0.00137788	0.0440994	0.143714	0.377564	0.22934	0.0697379	0.0398829	0.0239557	0.0225581	0.0428516
é	0.00321943	0.000965181	0.106035	0.240385	0.295299	0.118112	0.0186206	0.16424	0.00762624	0.0108592	0.0346386
r	0.00125844	0.000103755	0.134751	0.174916	0.206152	0.192428	0.0371318	0.116232	0.0347883	0.00355336	0.0986868
á	0.00349393	3.88643e-05	0.0982058	0.146273	0.354357	0.164152	0.0214384	0.0582025	0.0182937	0.00324862	0.132296
m	0.00638185	0.000379604	0.0368885	0.0481895	0.163478	0.47313	0.179033	0.0436648	0.0196592	0.00137136	0.0278246
í	0.00501041	0.00428678	0.0136295	0.0194503	0.0779978	0.400568	0.156387	0.0253142	0.154146	0.0102227	0.132987
k	0.00282604	0.000280772	0.00350098	0.00929532	0.0300589	0.137392	0.209134	0.475002	0.0403573	0.0764037	0.0157496
i	0.000257953	1.66295e-05	0.00316247	0.00931359	0.0328503	0.0599539	0.0135231	0.821639	0.0150476	0.0183884	0.0258466
r	0.000401753	3.14521e-05	0.00494355	0.0067577	0.0140072	0.0490021	0.0236698	0.827517	0.0234063	0.00724846	0.0430151
a	0.000891414	2.54458e-05	0.0124887	0.0183292	0.0362331	0.0715951	0.10667	0.451209	0.0597747	0.026893	0.21589
l	0.00484938	8.70734e-05	0.0149787	0.00946472	0.0188175	0.0998162	0.137898	0.382562	0.113637	0.0153662	0.202523
á	0.00535206	5.23501e-05	0.00927712	0.0224485	0.0332511	0.0578057	0.148052	0.163353	0.196917	0.0779035	0.285587
n	0.00898334	0.000402599	0.00981298	0.012204	0.0172836	0.0450737	0.236102	0.0564494	0.197436	0.381291	0.0349618
g	0.00450375	0.000217888	0.000341302	0.00136714	0.00332345	0.0059137	0.544352	0.00759766	0.0184243	0.406046	0.00791348
á	0.00206397	0.000966642	0.000212528	0.000333817	0.000691866	0.00107188	0.127241	0.00710449	0.00923676	0.835012	0.0160643
n	0.00027549	1.8919e-05	0.00220494	0.00317749	0.00478286	0.0187292	0.0660589	0.0703292	0.391063	0.248027	0.195334
d	0.00201534	0.000103755	0.00730603	0.0129024	0.0105081	0.0108345	0.152631	0.0279998	0.227177	0.27922	0.269301
z	0.000375339	9.31352e-05	0.000385951	0.00101303	0.00182762	0.00128949	0.0395082	0.00834538	0.059507	0.603361	0.284294
o	4.15412e-05	1.26121e-05	0.000143602	0.00062169	0.001976	0.000835614	0.00935462	0.00461917	0.0322562	0.780425	0.169713
ó	0.00255642	0.000390704	0.00545551	0.0259502	0.0788391	0.0354119	0.04277	0.0946978	0.0393281	0.191122	0.483478
</S>	0.000622116	7.24403e-05	0.00472796	0.00420151	0.00948269	0.0262185	0.0382482	0.0425777	0.0833239	0.0193263	0.771199
