 	ils	ont	abandonné	leur	village	</S>
b	0.957089	0.00780104	0.000616498	0.0105284	0.0236323	0.000332868
á	0.905534	0.0156664	0.00256257	0.0758563	0.000133396	0.000247495
a	0.988971	0.00299845	0.000555245	0.00720304	0.000147353	0.000124483
á	0.0997939	0.721806	0.0787302	0.0235907	0.001	0.0750789
m	0.0293894	0.45789	0.426278	0.0171369	0.0132487	0.0560566
i	0.00779525	0.30532	0.581303	0.0298531	0.00332955	0.0723994
k	0.00210161	0.145091	0.804665	0.00265936	0.0161426	0.0293411
ú	0.000396023	0.069276	0.899834	0.00448899	0.00170915	0.0242961
l	0.0035719	0.0153862	0.919906	0.0108658	0.00657463	0.0436951
á	0.00768499	0.0569949	0.682684	0.0809716	0.00222433	0.16944
p	0.0286743	0.125413	0.0678389	0.600764	0.141764	0.0355462
o	0.00135757	0.000346566	0.00199907	0.00157214	0.990826	0.00389877
o	0.000333309	0.000242909	0.00542068	0.00119733	0.984773	0.0080327
y	0.000257019	0.0230671	0.0623376	0.317941	0.0129169	0.583481
á	0.000568548	0.0388303	0.115867	0.321424	0.0729619	0.450348
b	0.0163325	0.0262281	0.0178385	0.738138	0.10633	0.0951328
á	0.284377	0.0092041	0.00771286	0.670684	0.0106118	0.0174094
a	0.0264064	0.00853343	0.0051715	0.89865	0.0217476	0.0394911
</S>	0.000330286	0.0428613	0.0583163	0.0436114	0.0106986	0.844182
