 	on	m'	a	informé	qu'	ils	ont	abattu	un	hippopotame	à	otsegne	</S>
a	0.769754	0.140888	0.0202929	0.0130028	0.0181184	0.0132598	0.0146215	0.00254153	0.00469141	0.000125619	0.00197982	0.000197488	0.000527055
s	0.0304821	0.0105118	0.0634305	0.859498	0.00402201	0.00199075	0.00320542	0.00167957	0.00180437	0.00991637	0.00323232	0.00968432	0.000542236
e	0.00482799	0.0044172	0.0346486	0.937516	0.005477	0.00162551	0.00120932	0.00245521	0.00072086	0.00266328	0.000609737	0.00231646	0.00151266
r	0.0116808	0.00245559	0.0682478	0.785471	0.00651195	0.00189923	0.00125968	0.00229931	0.00496933	0.0287182	0.00481352	0.0208614	0.060812
i	0.117372	0.0786695	0.301244	0.177156	0.134887	0.010241	0.0113936	0.0040232	0.0215054	0.00625131	0.010472	0.0182909	0.108494
l	0.195658	0.170706	0.467063	0.0108227	0.0497894	0.00662039	0.0186006	0.00632137	0.01669	0.00383577	0.0153568	0.000665337	0.0378708
a	0.111345	0.113118	0.162833	0.0197648	0.0568941	0.00775875	0.0442698	0.017987	0.0646711	0.00569473	0.0802	0.0156363	0.299828
n	0.211052	0.331583	0.212776	0.0257719	0.0731593	0.035947	0.0300317	0.00359949	0.0256616	0.00090275	0.0153747	0.00910221	0.0250387
g	0.0215408	0.683528	0.064911	0.176524	0.0254468	0.00387989	0.00162336	0.000230913	0.00268199	0.000116707	0.00329322	0.0125332	0.00369
á	0.0227801	0.304184	0.146517	0.352913	0.0854262	0.0256518	0.00469774	0.00135326	0.00624139	0.0012354	0.00732281	0.0303993	0.0112776
w	0.0205271	0.0448343	0.199534	0.0293952	0.32609	0.0262004	0.112169	0.0666552	0.0651043	0.00662024	0.047267	0.00606518	0.0495386
á	0.0352854	0.10528	0.276278	0.00942929	0.0934306	0.0178625	0.0775241	0.147579	0.0572294	0.00813366	0.0519674	0.0208921	0.0991088
r	0.0501815	0.233031	0.140512	0.00964786	0.156771	0.115415	0.0914768	0.067715	0.0240544	0.00396625	0.0176178	0.0056482	0.0839639
e	0.0228912	0.200099	0.129588	0.380132	0.152943	0.0400007	0.0211745	0.00303596	0.00798535	0.000785285	0.00740555	0.00668364	0.0272761
b	0.00825588	0.0272396	0.304398	0.0128979	0.319559	0.0245272	0.145726	0.0447449	0.0435084	0.0100009	0.0261378	0.00381931	0.029186
á	0.221023	0.0670019	0.103779	0.0114145	0.163234	0.146486	0.100982	0.106913	0.016579	0.00464731	0.0139799	0.00235235	0.0416074
a	0.0162734	0.0387292	0.0557002	0.00587765	0.0917871	0.305273	0.292279	0.12088	0.031564	0.00405377	0.0117242	0.00245834	0.0234002
á	0.00197963	0.00496529	0.0999441	0.0519899	0.0492145	0.021585	0.178148	0.303084	0.0388145	0.14709	0.022173	0.00167161	0.0793405
b	0.00140579	0.000897378	0.0226782	0.0248055	0.0164964	0.0149787	0.0845766	0.163571	0.0371359	0.518493	0.0202981	0.00723583	0.0874279
o	0.00171024	0.00104041	0.0201	0.0737152	0.0119203	0.0146313	0.0545084	0.514486	0.0323212	0.236412	0.0154916	0.000986786	0.0226772
m	0.00104525	0.000490504	0.0152071	0.0663741	0.0118133	0.00571801	0.0477526	0.448979	0.0976036	0.206737	0.0361025	0.00247881	0.0596981
i	0.00130668	0.000753458	0.0072251	0.0043651	0.115555	0.028206	0.0759061	0.206476	0.355205	0.0309039	0.0972878	0.00649562	0.0703143
n	0.00135481	0.00608667	0.0108136	0.00195783	0.066144	0.400999	0.172767	0.107661	0.146545	0.037465	0.0233395	0.00206921	0.0227975
g	0.0093815	0.0539946	0.0110119	0.0130683	0.371656	0.337157	0.0958192	0.00466842	0.0487465	0.000676804	0.0128468	0.0156392	0.0253336
