 	cette	veuve	a	mis	de	la	cendre	sur	son	visage	</S>
o	0.638184	0.336577	0.010291	0.00461971	0.00218083	0.00247786	0.00502219	0.000317204	0.000297252	2.39094e-05	9.01531e-06
y	0.16501	0.819375	0.00591147	0.00326169	0.000790906	0.0010682	0.00132924	0.000535173	0.000559533	0.000750193	0.00140901
ú	0.526781	0.33133	0.0192269	0.0439606	0.0280865	0.0145478	0.0139644	0.00410001	0.00140369	0.0119113	0.00468764
r	0.633392	0.173829	0.0147036	0.0207855	0.0393441	0.0388531	0.0254577	0.011739	0.00385283	0.0240327	0.0140105
u	0.418785	0.221711	0.0748006	0.0353935	0.0722962	0.0790148	0.03481	0.0213954	0.0123502	0.0137838	0.0156591
y	0.418446	0.29601	0.0910187	0.024834	0.028337	0.0203907	0.00718051	0.0326749	0.0307727	0.00605088	0.0442846
o	0.2121	0.309989	0.118559	0.0168751	0.039687	0.0298255	0.0100084	0.0663744	0.0371126	0.0615747	0.0978939
k	0.56303	0.176724	0.175251	0.00556476	0.0133168	0.0120461	0.00221549	0.0167232	0.0112568	0.00719152	0.0166808
w	0.14994	0.718386	0.0423641	0.0390829	0.00968586	0.00412709	0.0159731	0.00631574	0.00417505	0.00074558	0.00920484
é	0.10709	0.496919	0.0973302	0.0679774	0.047266	0.0376691	0.0562214	0.0329338	0.0219625	0.00633012	0.0283002
é	0.0659223	0.365581	0.258381	0.043564	0.0200115	0.0134865	0.0360753	0.0393174	0.0265987	0.0157764	0.115286
l	0.0212343	0.0490329	0.520581	0.219048	0.0792634	0.0312354	0.00748644	0.0196743	0.0200655	0.00243983	0.0299387
é	0.0264163	0.019868	0.280917	0.144643	0.0487438	0.0234404	0.00675777	0.0550154	0.0404389	0.0158694	0.33789
w	0.0947439	0.0298904	0.444488	0.147401	0.0928212	0.0490528	0.0108687	0.026488	0.0209912	0.0232442	0.0600099
ó	0.0206261	0.0428447	0.260057	0.244139	0.167109	0.0863501	0.0149452	0.0545695	0.0465771	0.00404757	0.0587352
á	0.021765	0.0154218	0.398129	0.274921	0.113115	0.0746253	0.00796176	0.0334214	0.0204224	0.00380231	0.0364156
m	0.00211035	0.00446235	0.0287053	0.404058	0.291778	0.156172	0.0562792	0.0130314	0.0110522	0.00477915	0.027572
i	0.00431867	0.00642383	0.0733264	0.198291	0.421166	0.165697	0.0682019	0.0282031	0.0105911	0.0010684	0.0227126
k	0.00364971	0.00641162	0.00987686	0.45181	0.268469	0.0892783	0.143581	0.00739071	0.00370188	0.00167957	0.0141509
y	0.000181914	0.00322016	0.00268881	0.511527	0.188777	0.0899111	0.177051	0.00666257	0.00287611	0.000476958	0.0166284
ε	0.0134144	0.0213094	0.0174181	0.30844	0.248908	0.152875	0.192482	0.0207305	0.00678431	0.00207494	0.0155634
m	0.0092621	0.00260764	0.0216258	0.0699701	0.202888	0.406732	0.195396	0.0329839	0.0237544	0.00314379	0.0316367
b	0.00492954	0.00241551	0.0228957	0.0202723	0.145072	0.204674	0.139485	0.161021	0.105308	0.0101218	0.183806
έ	0.0594835	0.00380829	0.0284212	0.024296	0.0998684	0.18796	0.406035	0.069629	0.0577167	0.00385131	0.0589304
o	0.0110434	0.00245901	0.0149827	0.0188769	0.0715452	0.230447	0.31665	0.192325	0.0766212	0.0079546	0.0570949
b	0.00743386	0.00648027	0.00484796	0.0162622	0.0403644	0.0888351	0.524399	0.2198	0.0411568	0.0305658	0.0198551
v	0.00148485	0.0117515	0.00605407	0.0132267	0.0213998	0.0475218	0.82739	0.0414087	0.0153499	0.00261333	0.0117989
u	0.000350653	0.00124166	0.00112189	0.0129739	0.022007	0.0229746	0.890294	0.0310246	0.0139358	0.000561996	0.0035135
l	0.0408903	0.0018592	0.00839961	0.0285862	0.0531049	0.199442	0.474467	0.106702	0.0452787	0.00364357	0.0376262
ú	0.00292611	0.000277991	0.0014258	0.00571204	0.0569739	0.184724	0.179825	0.268227	0.134607	0.0596989	0.105602
s	0.00108308	0.000172986	0.00222229	0.00263923	0.0172219	0.0581684	0.0336938	0.512201	0.226106	0.020874	0.125618
é	0.00381637	0.00032973	0.00107884	0.00116348	0.0135329	0.0370652	0.0333402	0.204702	0.116213	0.390287	0.198471
l	0.00809069	0.000664591	0.00375827	0.00127442	0.00418585	0.0131955	0.0153898	0.253835	0.126114	0.466461	0.107031
é	0.00214498	0.000854696	0.00246674	0.00225348	0.00413046	0.00468585	0.00686683	0.121194	0.0666328	0.592234	0.196536
n	0.000473451	0.000110742	0.00124436	0.000652772	0.00291098	0.00771113	0.0109059	0.215573	0.0910408	0.428212	0.241165
g	0.000229188	9.13678e-05	0.000407555	0.000209125	0.000666691	0.0010014	0.00102095	0.0303209	0.0283564	0.886216	0.0514808
é	0.000381238	0.000322186	0.00087705	0.000292808	0.000583124	0.00138523	0.003324	0.0364465	0.0185528	0.812932	0.124903
</S>	9.18341e-05	0.000171989	0.00050826	0.000308799	0.00290453	0.00783328	0.0162684	0.144746	0.0547222	0.381621	0.390824
