 	le	feu	fait	bouillir	l'	eau	</S>
m	0.828477	0.144772	0.0166923	0.00235779	0.00739204	0.000178413	0.000129649
í	0.00946469	0.98186	0.00713611	0.000486602	0.000250293	0.000197081	0.000605503
á	0.501889	0.313394	0.131691	0.0391519	0.00158442	0.00863868	0.00365121
m	0.186646	0.401889	0.323706	0.0155547	0.0119816	0.00686737	0.0533554
í	0.033312	0.860296	0.0527672	0.00159092	0.0052285	0.0417673	0.00503795
i	0.0812961	0.534468	0.220594	0.047146	0.0114754	0.0229666	0.0820532
f	0.0118382	0.0772191	0.28773	0.590523	0.00641612	0.00208303	0.0241908
u	0.0111473	0.00102196	0.0305829	0.952088	0.00086732	0.000375623	0.00391686
r	0.0765667	0.00522545	0.0514332	0.840589	0.00159503	0.000301275	0.0242894
ú	0.377474	0.00820595	0.0731576	0.483727	0.0293221	0.00100774	0.027105
s	0.113439	0.0237774	0.166757	0.19104	0.476845	0.00481308	0.0233287
á	0.175609	0.0076586	0.112134	0.273424	0.34792	0.0269815	0.056274
m	0.0528324	0.0268371	0.0166846	0.0246769	0.358123	0.512389	0.00845713
á	0.00153697	0.00871354	0.00474336	0.000323871	0.0154327	0.953579	0.0156707
a	0.00866069	0.0113454	0.00636255	0.00171364	0.0594852	0.885059	0.0273739
</S>	0.00360074	0.00464219	0.0285447	0.0390832	0.180583	0.174993	0.568554
