 	là	où	tombe	un	régime	de	noix	de	palme	il	y	a	affaissement	du	sol	</S>
e	0.322953	0.301338	0.126726	0.0828537	0.0221382	0.121393	0.00612155	0.00480933	0.00161159	0.00079833	0.00313602	0.00319146	7.34989e-05	0.00204713	0.000399178	0.000408891
t	0.151256	0.0904341	0.237452	0.139722	0.324996	0.00450604	0.00124695	0.000941306	0.0018057	0.00049552	0.00320845	0.00279354	0.0131474	0.01248	0.00954886	0.0059664
o	0.0367386	0.00506024	0.0777513	0.0403211	0.81816	0.00888472	0.000813663	0.00158736	0.00293354	0.000684235	0.00112979	0.000409802	0.000953268	0.00104499	0.00189676	0.00163013
n	0.106652	0.019674	0.203748	0.0467621	0.560813	0.0227465	0.00235001	0.00230389	0.00468665	0.000962726	0.0022625	0.0010992	0.00942781	0.00330727	0.00660217	0.0066019
g	0.237366	0.0383771	0.188952	0.0336159	0.409914	0.00811373	0.00295712	0.00541952	0.00790551	0.00399989	0.0022098	0.00112501	0.0046545	0.00814585	0.0123232	0.0349216
o	0.254527	0.236976	0.136523	0.0263295	0.271424	0.0231519	0.00246751	0.00519013	0.00344631	0.00289904	0.000773011	0.000595218	0.000440423	0.00323099	0.0212	0.0108248
y	0.0609104	0.105001	0.256112	0.284296	0.0563587	0.0925942	0.0296793	0.0384824	0.0218878	0.0125043	0.00750911	0.006062	0.00136096	0.00304871	0.000378875	0.0238143
á	0.224148	0.245656	0.142453	0.124739	0.0493509	0.150303	0.00260587	0.017277	0.00705552	0.0084437	0.00311675	0.00644191	0.00156103	0.00413906	0.00237842	0.0103312
m	0.126641	0.145332	0.207723	0.116916	0.17237	0.0865378	0.00530217	0.0409402	0.0218671	0.0203608	0.0103739	0.00649071	0.0021181	0.0150903	0.0118924	0.0100442
b	0.0265905	0.141513	0.22835	0.0369616	0.140442	0.0735621	0.273884	0.0610792	0.00803304	0.00428482	0.000152491	0.000206057	0.00030987	0.000251984	0.000102437	0.00427721
í	0.00959293	0.0158206	0.0435038	0.0106687	0.123836	0.036768	0.698151	0.0381282	0.0152075	0.00303311	0.000340644	0.000190178	0.000555955	0.000613919	0.00118748	0.00240245
a	0.0588956	0.0706779	0.0683992	0.0141244	0.0587861	0.0376737	0.655435	0.0233661	0.00641311	0.00266996	0.000480262	0.000199942	0.000211239	0.000219541	0.000211258	0.00223667
w	0.0131286	0.0166653	0.0384695	0.0786065	0.0139376	0.291291	0.189989	0.207083	0.0826322	0.0286022	0.0196793	0.0109138	0.00159487	0.00235358	0.000366919	0.00468638
á	0.0246802	0.0173844	0.0579748	0.0704525	0.0165791	0.106404	0.0167717	0.26516	0.162889	0.141814	0.0239523	0.0196817	0.00280171	0.0177455	0.00843665	0.047273
á	0.0132903	0.0249575	0.0191166	0.0339188	0.0160196	0.0884767	0.172709	0.261791	0.11775	0.106436	0.0403292	0.00761568	0.00263525	0.0112426	0.00758359	0.0761289
é	0.00280594	0.00196382	0.0101017	0.0136163	0.00468511	0.0140535	0.087207	0.22562	0.305369	0.0868944	0.123827	0.0534093	0.0405127	0.00834373	0.00130221	0.0202873
b	0.00552165	0.00381984	0.0057871	0.00873377	0.00283132	0.00329695	0.0478517	0.0811983	0.217406	0.0839338	0.28381	0.133167	0.0963404	0.0112354	0.0015531	0.0135139
v	0.00210535	0.000669627	0.00305092	0.00640099	0.00301501	0.00184691	0.0345101	0.0670286	0.279374	0.0638834	0.251803	0.162774	0.0930129	0.0190744	0.00203632	0.0094138
e	0.000872041	0.000383367	0.00341576	0.00463446	0.000596808	0.00151407	0.0295964	0.0660468	0.22118	0.103381	0.302641	0.177965	0.0377444	0.0314654	0.00288489	0.0156784
y	0.00113485	0.00203257	0.00253888	0.00578225	0.00269172	0.0136384	0.0754666	0.134959	0.156591	0.178757	0.166079	0.129263	0.0571186	0.0193783	0.00528429	0.0492848
é	0.00600962	0.00681401	0.0148215	0.0123935	0.0229654	0.0337989	0.00865037	0.153312	0.30552	0.190819	0.10187	0.0347237	0.0464429	0.021395	0.0215521	0.0189121
e	0.000830243	0.00171246	0.00331713	0.00486605	0.00709716	0.0167342	0.025342	0.115765	0.177711	0.251282	0.191906	0.0753439	0.0413547	0.0307854	0.023224	0.03273
y	0.000669971	0.000566341	0.00133278	0.00254484	0.00308856	0.000804406	0.010132	0.00944584	0.0391779	0.0252389	0.0964679	0.171104	0.588728	0.0261568	0.00868761	0.0158545
í	0.000198992	0.000168071	0.000734835	0.000535123	0.00368848	0.000324926	8.9067e-05	0.00276898	0.0125443	0.00749019	0.03943	0.0639902	0.803525	0.0433745	0.0102301	0.010907
á	0.000189461	0.000170852	0.000962531	0.000676823	0.00124828	0.00143402	0.00108876	0.00836226	0.0217409	0.0197649	0.0659233	0.0507816	0.695445	0.0543489	0.0136564	0.0642057
e	0.000170363	0.000446014	0.00103741	0.00267786	0.000431533	0.00310692	0.00246488	0.0113725	0.00981508	0.0717482	0.0671632	0.329622	0.18924	0.169862	0.0446509	0.0961912
b	0.0017603	0.000614181	0.000790493	0.00105189	0.0007218	0.000186564	0.00158683	0.0013063	0.00472604	0.00155897	0.00857715	0.0580391	0.552026	0.216664	0.100857	0.0495337
o	0.00421625	0.00263955	0.00434071	0.00925158	0.000624531	0.00216215	0.011296	0.00654073	0.0152917	0.00681635	0.0542438	0.328916	0.257874	0.175283	0.0533899	0.0671129
l	0.00114386	0.000375935	0.00175493	0.0011857	0.0028717	0.00112121	0.00206818	0.001853	0.00557505	0.00417503	0.025333	0.0279771	0.451079	0.134208	0.0858821	0.253396
o	0.000203248	4.75771e-05	0.00019777	0.000634892	0.0055674	0.000466951	0.000674814	0.00275213	0.00860676	0.00554054	0.0173698	0.0688923	0.310386	0.253196	0.208198	0.117267
o	0.000331168	0.000411468	0.000410298	0.000950862	0.00140084	0.00457741	0.00124841	0.00412437	0.00675955	0.00284161	0.00557254	0.0325156	0.101728	0.314323	0.133935	0.38887
</S>	0.00108274	0.000716423	0.00153432	0.0038959	0.00130524	0.00274387	0.00320554	0.00576596	0.00985292	0.00226231	0.00658603	0.0522378	0.130362	0.312722	0.046201	0.419527
