 	a	côté	du	village	il	y	a	une	grande	bananeraie	</S>
b	0.619378	0.169694	0.142055	0.0308358	0.00686217	0.00544087	0.00531499	0.00439978	0.0149879	0.000691381	0.00033956
ε	0.385523	0.453234	0.120772	0.0054979	0.00828038	0.00169965	0.0063088	0.00348793	0.0140491	0.000183294	0.000963539
έ	0.0843959	0.740367	0.101056	0.0042446	0.0132254	0.00885764	0.0119476	0.0189511	0.00541305	6.77204e-05	0.0114746
b	0.189684	0.187591	0.365565	0.0189274	0.0777121	0.03357	0.0220758	0.0108847	0.0181204	0.00017638	0.075693
ε	0.224161	0.618345	0.099578	0.00051473	0.0107196	0.0160235	0.00597714	0.00623109	0.00263663	2.2605e-05	0.0157902
έ	0.201042	0.484879	0.126236	0.00775941	0.0142661	0.0077715	0.00629499	0.00795733	0.00512976	0.000143428	0.138521
l	0.190605	0.272496	0.179777	0.11689	0.0468786	0.0327719	0.0254295	0.024944	0.0183524	0.00313134	0.0887244
a	0.323549	0.230497	0.116169	0.0699415	0.042729	0.0232039	0.0279214	0.0424393	0.0203339	0.00436363	0.0988525
p	0.13762	0.180008	0.212507	0.215402	0.0711018	0.0199077	0.0113926	0.0118505	0.0121359	0.010161	0.117914
o	0.0111749	0.0376781	0.0126476	0.891671	0.0164804	0.0139741	0.00186132	0.00656252	0.000278773	0.000996476	0.0066752
o	0.0197924	0.050961	0.0849602	0.67043	0.0614767	0.0495836	0.0161163	0.0276013	0.00212642	0.00153102	0.0154208
é	0.00578465	0.0102462	0.034734	0.0020876	0.160189	0.264598	0.252305	0.152551	0.0633598	0.00322878	0.0509161
d	0.00941135	0.00762261	0.0362346	0.00134387	0.095549	0.134741	0.278625	0.175866	0.170695	0.0221084	0.0678035
í	0.00125178	0.000334461	0.00289423	0.000103826	0.0163993	0.0120451	0.145453	0.140906	0.129085	0.00415548	0.547373
l	0.00344371	0.00178845	0.0152613	0.00250314	0.0344162	0.0848147	0.18043	0.165636	0.139339	0.0582179	0.314149
a	0.00352346	0.00538434	0.0104156	0.00167901	0.0295261	0.0427013	0.113623	0.164534	0.13914	0.0882957	0.401178
n	0.00424537	0.00253231	0.00964536	0.00129586	0.0190575	0.0180434	0.0392893	0.085613	0.109665	0.581342	0.129271
g	0.000267183	0.00027136	0.000255941	1.86196e-05	0.000482206	0.000801188	0.00321899	0.017288	0.0163912	0.946122	0.0148834
o	6.18718e-05	7.61543e-05	0.000414014	6.69933e-05	0.00164515	0.00101349	0.00331621	0.0070664	0.0121921	0.969474	0.00467397
n	7.61552e-06	2.70429e-05	4.51631e-05	3.37535e-05	0.000250556	0.000437335	0.00120906	0.00927806	0.0022754	0.968796	0.0176405
d	0.000153304	0.000177634	0.000590973	0.000233404	0.00272559	0.00173531	0.00786643	0.0388672	0.0539905	0.601262	0.292397
a	0.000148386	0.000182571	0.000338649	0.000474839	0.00190256	0.0017362	0.00413391	0.0230361	0.019496	0.805355	0.143196
y	0.00132719	0.00379769	0.00519114	0.00198008	0.0401915	0.0520367	0.086809	0.149915	0.150947	0.200847	0.306957
á	0.00718758	0.0128886	0.0299778	0.000217191	0.0233334	0.0229148	0.0752736	0.0805313	0.374823	0.0472935	0.325559
a	0.0153694	0.0336753	0.100784	0.000975036	0.0129571	0.0280611	0.0729002	0.0810239	0.342544	0.0726245	0.239086
k	0.0348892	0.0476921	0.029027	0.00113984	0.010885	0.010773	0.0732966	0.0912047	0.13855	0.193255	0.369288
ω	0.00972884	0.0237146	0.0177855	0.00909692	0.0233852	0.0592155	0.0717329	0.447369	0.0308341	0.0300245	0.277112
</S>	0.000679394	0.00458433	0.00232823	0.00243718	0.0147783	0.0784992	0.0660591	0.298592	0.0266229	0.0509933	0.454426
