 	mon	cadet	est	jaloux	de	moi	parce	que	notre	père	m'	a	donné	de	l'	argent	et	lui	en	a	refusé	</S>
o	0.743514	0.140541	0.0164471	0.0112147	0.0325572	0.00317097	0.0122727	0.00985849	0.00647941	0.00705041	0.00332152	0.0017468	0.000465537	0.0016608	0.00361549	0.00148825	0.00184742	0.00114997	0.000705316	0.000563094	0.000213057	0.000117678
d	0.00955147	0.985224	0.00114574	0.000782751	8.47782e-05	0.00026153	0.000187426	8.50958e-05	0.00015765	7.25178e-05	0.000335951	0.000178277	0.00020489	9.35112e-05	9.20243e-05	0.000116103	4.00937e-05	3.48583e-05	3.17816e-05	2.52043e-05	0.0011309	0.000163358
i	0.0969857	0.848772	0.0137157	0.0139895	0.00203318	0.0011622	0.00264607	0.00154501	0.00119745	0.000540419	0.000807515	0.00135862	0.00333915	0.00191684	0.000531782	0.000344032	0.000513353	0.000518334	0.000722683	0.000228715	0.00119445	0.00593711
m	0.160567	0.687392	0.0322076	0.0182524	0.00643682	0.00367312	0.00386776	0.00234345	0.0048913	0.000326618	0.00257722	0.00281973	0.00409203	0.00519516	0.00265101	0.00184089	0.00125773	0.00105711	0.0037832	0.00179462	0.00482692	0.0481464
í	0.147938	0.643011	0.0333542	0.0109419	0.0220191	0.00397217	0.0155329	0.0181393	0.00671707	0.0043766	0.00135973	0.00343979	0.00149914	0.00593155	0.00996971	0.0160001	0.00936193	0.013736	0.0146994	0.00179085	0.000882923	0.0153268
b	0.310688	0.239245	0.158296	0.0167967	0.0180915	0.00580529	0.00984585	0.0103182	0.0080004	0.00853805	0.0180561	0.0284657	0.0118501	0.0127537	0.00736835	0.00229005	0.00742226	0.013357	0.0221196	0.0395548	0.00257117	0.0485654
ó	0.243471	0.0417705	0.147252	0.0307029	0.0593586	0.0300293	0.0510095	0.0267735	0.015304	0.00606611	0.0306532	0.0294686	0.0273495	0.036213	0.0281543	0.0529605	0.0183823	0.0259388	0.0369083	0.0171969	0.00599505	0.0390415
l	0.427147	0.0914652	0.151976	0.0303352	0.0285885	0.0159249	0.0182421	0.0136773	0.00946354	0.00848015	0.0184197	0.018455	0.0148365	0.0190618	0.0155377	0.0131034	0.0104057	0.0149074	0.0213322	0.0335358	0.00404792	0.0210566
á	0.129172	0.0401768	0.109638	0.0405645	0.0213634	0.0239938	0.0269028	0.0238672	0.0106875	0.0119471	0.0355425	0.0352709	0.045011	0.0402298	0.019219	0.0134702	0.0191138	0.0213043	0.0233615	0.0161906	0.0195156	0.273459
a	0.274279	0.221125	0.245508	0.0516882	0.018407	0.0157671	0.014219	0.0122257	0.00886649	0.00546242	0.0147187	0.015123	0.00856683	0.0117154	0.00972096	0.0101208	0.00795117	0.00787054	0.00998385	0.00850802	0.00470393	0.0234683
w	0.00888866	0.178634	0.568229	0.176288	0.00284873	0.00193267	0.00157675	0.00165538	0.000607013	0.00059027	0.00207584	0.0045287	0.0205858	0.00334834	0.000716057	0.000617338	0.000966584	0.00203425	0.00342661	0.00348719	0.00520107	0.0117615
á	0.00197772	0.0491591	0.341125	0.424733	0.0120212	0.0065605	0.00971602	0.00975986	0.0030406	0.0015086	0.00313837	0.00780573	0.0299132	0.010867	0.00394193	0.00603334	0.00379386	0.0061451	0.00906418	0.00428705	0.0182928	0.0371161
n	0.0259443	0.00941757	0.144231	0.238698	0.0362676	0.0326541	0.0391286	0.0223415	0.024893	0.0264856	0.0350782	0.0306058	0.0595534	0.0299626	0.0188632	0.0112457	0.01111	0.024931	0.0362782	0.0292862	0.0272252	0.0857992
