 	le	manioc	préparé	par	de	petits	enfants	provoque	des	nausées	</S>
i	0.536606	0.43201	0.0132003	0.00306746	0.00469238	0.007496	0.000939206	0.000829746	0.00113433	5.12306e-06	2.0127e-05
k	0.0361243	0.952652	0.00581205	0.00242608	0.000943523	0.000168417	0.000122789	0.000758157	0.000342103	0.000213566	0.000437034
ώ	0.00155775	0.996045	0.0001437	0.000933404	0.000981461	1.57577e-05	7.46285e-05	8.38594e-05	7.93171e-05	9.19507e-06	7.56667e-05
ώ	0.0337383	0.931496	0.0176097	0.00304713	0.00550813	0.00357489	0.00343288	0.000320588	0.000332622	3.55029e-05	0.000904135
b	0.583647	0.0342146	0.298265	0.0312347	0.0190478	0.00481139	0.000923578	0.0133251	0.00224746	4.11772e-05	0.0122417
í	0.126897	0.0397196	0.154939	0.135322	0.159992	0.0213176	0.0238449	0.02805	0.00798581	0.00102143	0.30091
í	0.0488566	0.00530444	0.208398	0.0929601	0.0890805	0.228677	0.230696	0.016159	0.00829337	0.00366178	0.0679136
l	0.0086125	0.00379282	0.455832	0.165897	0.117888	0.0124023	0.0249253	0.172534	0.0118266	0.000671951	0.0256172
á	0.00473342	0.0015268	0.221398	0.239365	0.154917	0.0113205	0.0158191	0.190391	0.0346495	0.00343613	0.122444
m	0.00823079	0.000826565	0.165442	0.270917	0.280336	0.0599298	0.0286612	0.102305	0.0331328	0.00645523	0.043765
b	0.00404306	0.000210123	0.0419116	0.313821	0.295732	0.203509	0.0269965	0.0408528	0.0126372	0.0456222	0.0146647
á	0.0120534	0.000241731	0.031658	0.461269	0.17938	0.115513	0.0814928	0.0177335	0.0147644	0.0395101	0.0463835
a	0.00293879	0.000265331	0.0199643	0.0329611	0.0618093	0.547742	0.297066	0.00977878	0.00704989	0.00511399	0.0153101
n	0.00335865	0.00581091	0.0200764	0.138297	0.265286	0.0509976	0.101407	0.288491	0.0804253	0.0285013	0.0173487
d	0.00658849	0.000571667	0.0377153	0.113371	0.21458	0.292049	0.02698	0.118106	0.0241747	0.102589	0.0632746
z	0.00344251	0.000999449	0.0256505	0.137576	0.208672	0.108029	0.0633728	0.182377	0.0837665	0.115655	0.0704592
é	0.000853073	0.00029025	0.00902861	0.170684	0.33694	0.118725	0.0107577	0.0283559	0.0312043	0.214173	0.0789887
s	0.0168095	0.00852368	0.0712831	0.137803	0.262524	0.103236	0.0269586	0.121917	0.0762778	0.0350318	0.139636
i	0.0130123	0.00151987	0.0221826	0.118606	0.240757	0.0896151	0.018128	0.181145	0.0566347	0.131783	0.126617
í	0.00446574	0.000531614	0.0355211	0.0176553	0.0480155	0.093443	0.0441976	0.505461	0.128066	0.0199034	0.10274
d	0.00518409	0.00467778	0.0234137	0.0248492	0.0364783	0.00686665	0.014745	0.498549	0.315366	0.0418164	0.0280539
í	0.00107155	1.75051e-05	0.00552866	0.00297909	0.00778275	0.00583221	0.000810237	0.692471	0.152683	0.00977736	0.121046
i	0.00260786	1.79778e-05	0.00575703	0.0049255	0.018205	0.0494311	0.00357287	0.396912	0.278635	0.0144658	0.22547
y	0.00155328	0.000517271	0.00237743	0.0044371	0.00769781	0.0145789	0.00720813	0.110941	0.395018	0.138219	0.317452
ε	0.00110344	2.75631e-05	0.00809152	0.00595981	0.0121728	0.022646	0.000537016	0.154477	0.238084	0.437193	0.119708
l	0.00036513	1.79934e-05	0.00225234	0.000881736	0.00544374	0.00887403	0.003292	0.0853384	0.0930045	0.117376	0.683155
ε	0.00140577	0.00150968	0.00538069	0.00688449	0.0226148	0.0297626	0.0263659	0.117482	0.286812	0.04725	0.454533
m	0.00149688	3.93124e-05	0.00711126	0.00274269	0.00969975	0.0201179	0.00256176	0.126011	0.263624	0.0267644	0.539831
w	0.00226147	0.000289997	0.000724851	0.00559309	0.0105016	0.0150596	0.00100753	0.0159724	0.0768173	0.637853	0.233919
ε	0.00194761	8.0776e-06	0.000193608	0.00172136	0.00164669	0.016422	0.0124248	0.000957576	0.00314453	0.949107	0.0124264
</S>	0.000192718	4.67046e-05	4.40353e-05	0.00149912	0.00293404	0.000966423	0.00104554	0.00789925	0.0265525	0.106904	0.851915
