 	c'	est	ma	soeur	aînée	</S>
é	0.721536	0.221837	0.0301461	0.0161797	0.00831222	0.00198884
d	0.354414	0.528586	0.046867	0.0162267	0.0484112	0.00549487
i	0.142282	0.746821	0.0698768	0.00840294	0.0112475	0.0213694
b	0.0811707	0.304113	0.153784	0.0703428	0.0790691	0.31152
o	0.0166568	0.138604	0.198472	0.539299	0.0235018	0.0834654
l	0.0358025	0.119837	0.0425293	0.36628	0.0179633	0.417588
a	0.137588	0.209894	0.187798	0.198095	0.0330561	0.233569
b	0.0799833	0.107761	0.187145	0.295785	0.0796849	0.249641
á	0.0560676	0.113001	0.294252	0.373284	0.0910728	0.0723225
n	0.0760403	0.0734606	0.241396	0.375459	0.0822878	0.151357
g	0.038732	0.0497033	0.744077	0.0389156	0.0333992	0.0951733
á	0.00265105	0.0126635	0.792135	0.0662647	0.0326363	0.0936497
b	0.0228338	0.0318025	0.302674	0.167027	0.16638	0.309283
á	0.0360668	0.060457	0.19604	0.513732	0.0306361	0.163068
b	0.0114586	0.0110426	0.108813	0.345374	0.250979	0.272333
o	0.00216789	0.0079001	0.0347067	0.617645	0.282831	0.0547485
s	0.00162223	0.00708306	0.015498	0.359439	0.539846	0.0765117
ó	0.00360693	0.00914541	0.0197234	0.0705398	0.706886	0.190098
</S>	0.00329604	0.00501193	0.0266828	0.0926489	0.080859	0.791501
