 	c'	est	moi	qui	ai	construit	cette	maison	</S>
n	0.341373	0.419365	0.157284	0.0479496	0.0170194	0.00376446	0.00999414	0.000596762	0.00265355
g	0.120262	0.0843389	0.443852	0.0851804	0.0350053	0.0199179	0.0841957	0.123698	0.00355004
á	0.0230457	0.0859895	0.624247	0.0852569	0.0376409	0.0259927	0.0141063	0.102872	0.000849032
m	0.11332	0.390917	0.175687	0.170251	0.0619806	0.0111763	0.0310994	0.00686291	0.0387055
o	0.434019	0.345636	0.0369036	0.0906325	0.035507	0.00296962	0.0187827	0.00147406	0.0340757
r	0.299295	0.220345	0.119971	0.144927	0.102199	0.0220998	0.0130859	0.00500929	0.0730681
o	0.350299	0.310301	0.11821	0.0842161	0.0223673	0.00923212	0.0481468	0.00953147	0.0476961
y	0.060302	0.119366	0.276038	0.325463	0.137374	0.0268816	0.0158086	0.003862	0.0349048
e	0.421867	0.234527	0.0853562	0.125477	0.0809892	0.0083406	0.0282078	0.00582574	0.00940995
e	0.139637	0.0548627	0.164776	0.211599	0.213267	0.0492197	0.116251	0.0346333	0.0157541
t	0.00191758	0.00456526	0.00864964	0.0402734	0.212433	0.597449	0.0135129	0.0410615	0.0801374
ó	0.00116466	0.00540603	0.00441028	0.0406507	0.154822	0.740434	0.0084213	0.007362	0.0373285
n	0.00229903	0.00976714	0.00779479	0.0863628	0.237943	0.586695	0.0387812	0.00425237	0.0261039
g	0.0165704	0.0206357	0.0714044	0.142876	0.170442	0.437859	0.0201312	0.0216517	0.0984295
í	0.04989	0.0549619	0.134678	0.160167	0.0675713	0.364467	0.0739256	0.0588573	0.0354821
n	0.0097733	0.00436806	0.0476597	0.111625	0.100214	0.0610231	0.3846	0.229594	0.0511433
d	0.000638874	0.00106392	0.020145	0.0277653	0.0147625	0.0400376	0.101993	0.741466	0.0521277
é	0.00025756	0.000364305	0.00888183	0.0071762	0.00473158	0.0239938	0.0340678	0.841924	0.0786033
e	0.00157152	0.0019572	0.0542183	0.102047	0.0445205	0.0699893	0.124651	0.265352	0.335693
y	0.00750169	0.0067003	0.0100325	0.0518041	0.123563	0.0909566	0.189878	0.0965692	0.422995
í	0.0268948	0.0443736	0.0316035	0.15471	0.120982	0.0696289	0.371844	0.0421034	0.13786
i	0.0089233	0.0117258	0.0459703	0.253465	0.160292	0.0534468	0.247277	0.0272935	0.191607
</S>	0.00134237	0.00274662	0.00160197	0.00550473	0.0217899	0.0966184	0.0341565	0.111397	0.724843
