 	okomba	est	un	grand	imitateur	du	président	</S>
o	0.657981	0.312316	0.0121649	0.00735491	0.00302635	0.0038282	0.00287247	0.000455947
k	0.143908	0.723179	0.0432941	0.0141018	0.0223819	0.00958283	0.039026	0.00452658
ó	0.337745	0.426865	0.0458369	0.0105846	0.00865123	0.00522623	0.152392	0.0126987
m	0.222913	0.408233	0.0501323	0.0159254	0.0135603	0.00859602	0.218337	0.0623024
b	0.522287	0.190378	0.0731752	0.0432139	0.0473329	0.0137206	0.0475107	0.0623826
a	0.516565	0.144552	0.0655066	0.043119	0.0330212	0.0141654	0.0759275	0.107143
a	0.0694814	0.274877	0.48454	0.125581	0.0143011	0.0150665	0.000510938	0.0156415
d	0.00783193	0.0309404	0.509454	0.265525	0.115165	0.0344811	0.00290415	0.0336977
í	0.00272762	0.00978329	0.441253	0.256565	0.107546	0.0268258	0.000962139	0.154337
o	0.00224742	0.00788239	0.349465	0.375413	0.119391	0.058288	0.00240185	0.0849121
m	0.00103523	0.00117903	0.0385729	0.142921	0.570221	0.0769268	0.147985	0.0211587
e	0.00215724	0.00135364	0.0157228	0.0816638	0.657458	0.108818	0.0513327	0.0814936
s	0.000796992	0.00180275	0.0547084	0.0941457	0.51997	0.122672	0.0928562	0.113049
i	0.00222253	0.00126866	0.0325501	0.125777	0.33805	0.191961	0.0697703	0.238401
i	0.000626579	0.00292639	0.15851	0.20096	0.0716191	0.346139	0.015932	0.203287
o	0.00114834	0.00204357	0.0127781	0.036624	0.0138798	0.30057	0.305716	0.327241
k	0.000944559	0.000332549	0.00183747	0.00920014	0.040264	0.147477	0.736979	0.0629646
o	0.000157942	0.000174941	0.0013805	0.00222795	0.0074557	0.0239918	0.953641	0.0109703
n	0.000272383	8.70659e-05	0.003284	0.00903248	0.0350865	0.0345012	0.889209	0.0285274
d	0.000522071	0.000549864	0.00150607	0.00483842	0.00654221	0.00976732	0.935253	0.0410212
z	0.00065036	0.000499249	0.00247983	0.00707861	0.00314062	0.0109315	0.835203	0.140017
i	0.000118263	0.000399398	0.00512946	0.0108311	0.00428269	0.0156774	0.600101	0.363461
o	0.00271059	0.00506003	0.0344966	0.0824769	0.00775539	0.144542	0.192275	0.530683
n	0.00128307	0.00358476	0.0944721	0.102165	0.0435558	0.342874	0.0187742	0.393291
έ	0.0563716	0.00163487	0.0424408	0.31486	0.030739	0.193479	0.0280502	0.332425
</S>	0.000482505	0.000224706	0.00817868	0.0284573	0.00256305	0.0749272	0.0078239	0.877343
