 	je	m'	en	vais	chercher	le	notable	car	on	a	besoin	de	lui	à	la	veillée	mortuaire	</S>
n	0.792321	0.0890888	0.0662314	0.00227514	0.0177908	0.0132579	0.00409562	0.0049241	0.00382015	0.00327493	0.000175281	0.00113627	0.000276947	0.000743015	0.000316516	0.000150183	8.9392e-05	3.29235e-05
g	0.771984	0.223176	0.00235718	0.000419135	0.00147421	0.000303345	2.68001e-05	6.71863e-05	3.73217e-05	5.31797e-05	1.82711e-06	1.47917e-05	1.3427e-05	2.39819e-05	1.38382e-05	2.12584e-05	5.14893e-06	7.82358e-06
á	0.845056	0.144138	0.00598296	0.00347852	0.000578227	0.000324698	0.000129013	2.11474e-05	4.19177e-05	9.19483e-05	2.85929e-05	3.58706e-05	1.74645e-05	2.29282e-05	1.8709e-05	1.91103e-05	1.31073e-05	2.20925e-06
í	0.140237	0.439077	0.130044	0.0641538	0.0156305	0.0139544	0.0103741	0.00842187	0.0107589	0.0168942	0.00760466	0.011539	0.0137281	0.0145175	0.00882228	0.0139753	0.00118305	0.0790851
m	0.012613	0.0610468	0.54736	0.32118	0.0102306	0.00347486	0.00532364	0.00304785	0.00400057	0.00561097	0.00822534	0.00281831	0.00456941	0.00248087	0.00202617	0.00148065	0.000151002	0.00436055
o	0.000737643	0.0877597	0.624479	0.233165	0.0115398	0.00533402	0.0112367	0.0014072	0.00320641	0.00616395	0.00363092	0.00263064	0.00318944	0.00185619	0.00105029	0.00135252	7.09091e-05	0.0011896
d	0.000720801	0.00620727	0.273424	0.686023	0.00629614	0.00195003	0.00265259	0.000505316	0.00116803	0.00158211	0.0143938	0.00129558	0.000715971	0.000668486	0.000870744	0.000424183	8.31075e-05	0.00101925
z	0.000565046	0.00540434	0.300139	0.583367	0.0171244	0.00641706	0.00286396	0.000806582	0.00159938	0.00185113	0.068782	0.00300686	0.00156887	0.001178	0.00168637	0.000861477	7.175e-05	0.00270689
w	0.0228325	0.0402593	0.103444	0.8241	0.00478166	0.000740543	0.000729962	0.000101365	9.3066e-05	0.000185893	0.0024123	9.30948e-05	5.39345e-05	3.03117e-05	3.9268e-05	6.06523e-05	6.8021e-06	3.53878e-05
á	0.000831858	0.00714435	0.149586	0.297032	0.192715	0.0520707	0.0308091	0.0160627	0.0222661	0.0293392	0.0217344	0.0414492	0.0224123	0.0256954	0.0191525	0.0224483	0.000145387	0.0491051
o	0.00285062	0.0563793	0.111774	0.27144	0.404743	0.0636662	0.0120178	0.0108521	0.00972719	0.0102741	0.00556145	0.00926958	0.00593917	0.00733344	0.0061139	0.00757857	0.000900763	0.00357846
y	0.000897392	0.00337928	0.0403957	0.449857	0.316103	0.0802857	0.0728105	0.00426005	0.00405851	0.00349419	0.0159663	0.00231934	0.00121832	0.000977081	0.00091456	0.00109009	0.000277823	0.00169487
u	0.000574377	0.00747264	0.0323264	0.503461	0.38152	0.0408802	0.00467753	0.00389562	0.00193272	0.00232103	0.0098783	0.00164575	0.00113052	0.00115495	0.00148157	0.000648718	0.000885237	0.00411372
b	0.0261053	0.0187186	0.0347089	0.329904	0.371565	0.032634	0.0122747	0.00444691	0.00423344	0.0083672	0.034048	0.0106045	0.0060296	0.0120674	0.018977	0.0205753	0.000946495	0.0537939
h	0.00317555	0.00238539	0.0216252	0.0295924	0.512106	0.132881	0.0656599	0.0681615	0.0284934	0.0226033	0.00901579	0.0233358	0.0240513	0.0155563	0.0143848	0.00776389	0.00243215	0.0167763
á	0.000638242	0.000560046	0.0170131	0.0121136	0.273115	0.254294	0.0459303	0.16535	0.0288406	0.0160389	0.00525421	0.0226823	0.0222691	0.0151766	0.0103131	0.0117234	0.00106017	0.097628
m	0.0029643	0.0128821	0.0183451	0.0121722	0.296497	0.290321	0.102372	0.158571	0.0545782	0.022986	0.00358706	0.00677539	0.00349694	0.00294746	0.00198293	0.00229917	0.000173649	0.00704787
w	0.000148909	0.00120975	0.000586933	0.00147748	0.00871887	0.0913363	0.721147	0.0702467	0.0425977	0.0312139	0.00233014	0.00528409	0.0100668	0.00363437	0.00128868	0.00395652	8.01909e-05	0.00467532
e	2.47626e-05	0.000103026	6.26636e-05	0.000449907	0.00136376	0.0147253	0.963905	0.0072492	0.00311051	0.00274301	0.000904821	0.000888102	0.00190473	0.000533407	0.000374199	0.0010134	0.000166923	0.000477372
n	0.000298595	0.00100951	0.00286749	0.000915298	0.0114083	0.0883882	0.837505	0.0243814	0.0123234	0.00817969	0.000999181	0.00244746	0.00150742	0.00185837	0.00175071	0.00344819	2.4788e-05	0.000686766
έ	0.00405683	0.00114515	0.00429437	0.0209114	0.0787624	0.16042	0.523474	0.0395001	0.0321398	0.0308971	0.0270856	0.0142393	0.00746602	0.00881702	0.00963969	0.0239254	0.00011357	0.013113
t	0.000264733	0.00112291	0.00389936	0.00378807	0.102689	0.147065	0.076529	0.35206	0.151402	0.0859336	0.0184461	0.0146503	0.0076421	0.00542992	0.00353997	0.00274431	0.000131241	0.0226627
s	0.00957539	0.00182814	0.0034625	0.00211738	0.0806147	0.0865027	0.0939298	0.246453	0.134957	0.0801564	0.0491104	0.0416778	0.0305796	0.0142378	0.00942417	0.00592964	0.0554237	0.0540203
i	5.36073e-05	7.30909e-05	0.00138467	0.000697307	0.0388516	0.112924	0.104971	0.315887	0.140929	0.0426118	0.0214502	0.0357528	0.0304825	0.0238412	0.0232025	0.0178942	0.0142667	0.0747267
n	0.00111904	0.00169105	0.00441158	0.00157283	0.101278	0.18621	0.0793928	0.298251	0.117086	0.0446205	0.0271495	0.017476	0.011137	0.00779861	0.00862805	0.0090073	0.00337833	0.0797922
a	0.00499387	0.00322228	0.00271239	0.00278244	0.0619082	0.0996082	0.0922838	0.134153	0.09498	0.066535	0.0119	0.0222124	0.038967	0.033676	0.0235036	0.104149	0.0302928	0.17212
á	0.00114746	0.00224529	0.00339796	0.00162215	0.0205373	0.0342292	0.00895066	0.196675	0.270117	0.262287	0.0526822	0.0617229	0.0252849	0.0198502	0.0106708	0.0077146	0.000432324	0.0204333
m	0.000935083	0.000978446	0.00966172	0.012245	0.0255869	0.0182391	0.00300092	0.0361723	0.152689	0.194536	0.324606	0.116713	0.0342407	0.0314114	0.0196708	0.00574354	0.00192678	0.0116438
i	7.4364e-05	0.00360732	0.0065939	0.00335938	0.00542187	0.0146115	0.00767532	0.0248553	0.112282	0.248761	0.142518	0.142179	0.123308	0.0835655	0.0435413	0.023919	0.000502945	0.0132246
n	5.13917e-06	0.000106833	0.00410626	0.00519417	0.004072	0.00630083	0.00458753	0.00707758	0.0517674	0.087638	0.624326	0.103649	0.0257625	0.0335425	0.0296951	0.00626963	0.000495818	0.00540411
g	0.000804288	0.010844	0.00680125	0.0626441	0.0179578	0.0171315	0.015598	0.00902532	0.0428128	0.119094	0.434302	0.0975568	0.0397549	0.0385286	0.0337338	0.0351453	0.00315688	0.0151086
a	0.000243688	0.000714169	0.00213042	0.010477	0.0222121	0.0133826	0.00861063	0.00880629	0.0239791	0.0738862	0.366542	0.109212	0.060285	0.0650689	0.0509265	0.0321639	0.129202	0.0221569
a	1.58291e-05	6.52457e-05	0.000161703	0.000680456	0.0116296	0.0295063	0.00447906	0.034329	0.038182	0.0652883	0.180787	0.163546	0.109359	0.139711	0.10358	0.0565075	0.0452276	0.0169445
n	1.52306e-05	9.13868e-05	0.000303589	0.000203366	0.00387069	0.00575269	0.000761842	0.0142846	0.0347275	0.0660015	0.04227	0.248314	0.194687	0.220361	0.109112	0.0419961	0.00207093	0.0151775
d	0.00380709	0.00273575	0.00165171	0.00413794	0.0237562	0.0133631	0.00530589	0.0131843	0.0203563	0.0636794	0.0479987	0.116078	0.150113	0.164153	0.0979217	0.124957	0.0470752	0.0997259
á	0.00186786	0.00138157	0.000272147	0.00276612	0.00473443	0.0029477	0.00111366	0.00436752	0.0111279	0.0306119	0.0757623	0.103635	0.138229	0.153026	0.105671	0.108037	0.149274	0.105175
m	1.80981e-05	3.55408e-05	7.0355e-05	0.000179326	0.00114588	0.00233246	0.000548136	0.00830708	0.0200243	0.0373171	0.0811451	0.149934	0.174986	0.222062	0.159293	0.0680267	0.00817084	0.066404
ó	0.00014558	0.000483969	0.00049506	0.000917092	0.00123612	0.00530336	0.00700519	0.005402	0.0136134	0.036862	0.118173	0.154053	0.17374	0.152299	0.113913	0.138024	0.000570628	0.0777644
w	2.55269e-05	0.000201178	0.000784097	0.000506167	0.00360944	0.00350667	0.00103376	0.0069745	0.0117982	0.0207288	0.0624238	0.0728173	0.0569052	0.132778	0.272969	0.1273	0.150514	0.0751243
a	0.000258921	0.000400667	0.00134565	0.000467338	0.003984	0.0116406	0.00621584	0.029155	0.0232185	0.0219501	0.0252485	0.0869336	0.153648	0.118753	0.15522	0.119367	0.159512	0.0826814
e	0.000107763	0.000143494	0.0001206	9.32896e-05	0.000639146	0.00129314	0.000381702	0.00637679	0.00555193	0.00721625	0.0541427	0.0725835	0.113909	0.140603	0.245042	0.100365	0.0892601	0.162171
b	1.00399e-05	8.38703e-05	0.000568715	0.000570903	0.00327942	0.00151154	0.000835567	0.00303304	0.00582351	0.009613	0.0489168	0.069949	0.0695144	0.143706	0.224057	0.0993764	0.0626361	0.256514
é	8.57613e-06	5.16408e-05	0.000464384	0.000112068	0.00370746	0.00572228	0.00172597	0.0112036	0.0102449	0.0129057	0.0225549	0.0678648	0.0907305	0.153822	0.320665	0.124941	0.0689977	0.104277
e	4.05527e-06	3.46211e-05	0.000162344	4.54482e-05	0.00101107	0.00187079	0.00121642	0.0054385	0.00635341	0.00683795	0.0471928	0.0482843	0.0890385	0.098326	0.221163	0.19985	0.0674203	0.20575
