 	ces	deux	maisons	sont	identiques	</S>
a	0.644476	0.329679	0.0230889	0.00216334	0.00053208	6.04876e-05
n	0.122372	0.831239	0.0346874	0.00425788	0.005955	0.00148852
d	0.129409	0.75706	0.0775724	0.0100693	0.0139099	0.0119796
é	0.10337	0.73317	0.0946628	0.00946042	0.023123	0.0362137
e	0.246276	0.403983	0.19222	0.0306219	0.0373109	0.0895882
m	0.207133	0.173827	0.424069	0.146946	0.00906846	0.0389564
á	0.255107	0.0471832	0.458122	0.166407	0.0184492	0.0547313
á	0.646337	0.150413	0.148377	0.028923	0.0100481	0.015902
b	0.0791395	0.0836092	0.221486	0.37688	0.151938	0.0869476
a	0.0425804	0.26488	0.169825	0.26283	0.194057	0.0658282
á	0.0368413	0.0820496	0.182869	0.206571	0.170512	0.321157
á	0.0163339	0.00551683	0.076604	0.427645	0.241523	0.232378
d	0.00620296	0.0122371	0.0247805	0.261359	0.563515	0.131906
í	0.00333719	0.0010805	0.0101389	0.110973	0.480036	0.394435
i	0.0209364	0.00395613	0.0485006	0.110967	0.327428	0.488211
m	0.0198248	0.0122848	0.0120588	0.0410288	0.644547	0.270256
b	0.00192086	0.00208606	0.00758937	0.0308468	0.796997	0.16056
έ	0.00126961	0.00164912	0.0065925	0.033146	0.724239	0.233104
</S>	0.000994351	0.000499564	0.00402166	0.0163271	0.124682	0.853475
