 	l'	alima	est	un	affluent	du	fleuve	congo	</S>
l	0.511457	0.394188	0.0645786	0.0123084	0.0133863	0.00232822	0.00136822	0.000334185	5.13382e-05
i	0.393941	0.566208	0.025601	0.00780559	0.000832841	0.00115706	0.00288421	0.00133972	0.000230495
m	0.255915	0.685126	0.0328514	0.0167473	0.000667329	0.00132072	0.00263602	0.00178364	0.002953
á	0.11332	0.683181	0.159808	0.0185644	0.00148546	0.000918102	0.00286227	0.000104409	0.0197567
l	0.0773942	0.469236	0.326186	0.0805289	0.00529146	0.00879974	0.0125931	0.00270326	0.0172671
á	0.203963	0.485655	0.113958	0.0967361	0.00990773	0.00494292	0.0208654	0.000434838	0.0635365
a	0.0426258	0.137719	0.454751	0.197984	0.0786833	0.027959	0.0143011	0.00172416	0.044253
b	0.0100811	0.0190408	0.146081	0.409532	0.359438	0.0454734	0.00529514	0.00231687	0.00274112
v	0.00626248	0.0192053	0.0729185	0.239506	0.62384	0.0313035	0.00353442	0.000361045	0.00306835
á	0.0217548	0.0302722	0.0638658	0.202588	0.635034	0.0392674	0.00484843	0.000202131	0.00216826
á	0.0197331	0.125672	0.205965	0.320136	0.128394	0.0458507	0.0300628	0.00836517	0.115821
s	0.00351373	0.00400025	0.0322258	0.224524	0.605269	0.101046	0.0166144	0.00111753	0.0116892
á	0.00313537	0.00700155	0.0263794	0.352673	0.391115	0.097148	0.0349959	0.000416696	0.0871354
ε	0.0346521	0.0246273	0.0923368	0.244337	0.107712	0.241222	0.118648	0.0761859	0.0602788
b	0.00268552	0.0171149	0.0137364	0.0433522	0.122556	0.622229	0.0880239	0.0861917	0.00410982
a	0.00489794	0.00603263	0.00828854	0.0639029	0.135604	0.585402	0.077047	0.0959763	0.0228479
a	0.00117446	0.00302307	0.0105943	0.0304073	0.0986477	0.590799	0.104629	0.0709361	0.0897896
y	0.00427152	0.00115867	0.0160893	0.0479021	0.126625	0.448456	0.281406	0.00966747	0.0644235
á	0.0278155	0.00619135	0.0208504	0.0620541	0.0251707	0.208942	0.364035	0.0587133	0.226228
k	0.0211281	0.00594069	0.0101146	0.021776	0.0194021	0.119095	0.363966	0.386009	0.0525685
o	0.000356204	0.000579177	0.000220495	0.000957866	0.00125107	0.0348071	0.0399611	0.916979	0.00488754
n	0.00122109	0.00161624	0.00289606	0.0195118	0.0140052	0.150041	0.0840526	0.691725	0.034932
g	0.00739775	0.00334735	0.00986614	0.0276348	0.00754027	0.17407	0.352972	0.263205	0.153967
ó	0.00477201	0.00263869	0.00134411	0.00582645	0.00263346	0.0405076	0.116755	0.687382	0.13814
</S>	0.00702865	0.00173681	0.00683467	0.0171525	0.0274563	0.0852686	0.309767	0.0805146	0.464241
