 	j'	ai	mal	à	la	tête	</S>
n	0.666744	0.0388209	0.0996782	0.0823964	0.0448094	0.0605101	0.00704046
g	0.989058	0.00664788	0.0022069	0.000572204	0.00127845	0.000157067	7.90584e-05
á	0.91425	0.067614	0.0150992	0.00156944	0.0010127	0.0003512	0.000103457
i	0.0825362	0.249367	0.386136	0.0954874	0.100172	0.0494193	0.0368827
d	0.00631284	0.197501	0.539138	0.16425	0.01542	0.0279246	0.0494535
í	0.0530221	0.639007	0.210848	0.0486365	0.00799452	0.00117657	0.039315
l	0.0732965	0.183669	0.226691	0.227354	0.18379	0.00836007	0.096839
a	0.0138106	0.159241	0.126862	0.240344	0.13813	0.00969246	0.31192
i	0.00171113	0.0813238	0.139178	0.337457	0.140924	0.173775	0.125631
b	0.000288242	0.0165487	0.0881276	0.246569	0.0696942	0.312113	0.266659
o	0.000427183	0.00629096	0.0539135	0.182277	0.0215223	0.672673	0.0628965
ó	8.28329e-05	0.000768881	0.0360753	0.131328	0.0435807	0.681617	0.106548
b	0.00039265	0.00745014	0.0364793	0.106693	0.410982	0.138794	0.299209
v	0.0020761	0.00878312	0.0965043	0.200597	0.109186	0.252735	0.330118
ú	0.000472692	0.000571157	0.0377475	0.196204	0.14271	0.495679	0.126616
a	0.00268055	0.00149461	0.0334274	0.12501	0.183918	0.206906	0.446563
</S>	0.000686405	0.00679394	0.0398685	0.124871	0.374539	0.137828	0.315413
