 	l'	antilope	noire	a	une	tâche	jaune	au	niveau	de	l'	échine	</S>
b	0.703864	0.231838	0.0457256	0.00565558	0.0081646	0.000822068	0.000287854	0.000694846	0.000233687	0.000679457	0.00138494	0.000601605	4.70507e-05
e	0.122083	0.60219	0.157718	0.0884892	0.0119266	0.00133239	0.000294677	0.000511954	0.000442234	0.00213981	0.0108246	0.00160498	0.000442691
m	0.175432	0.339046	0.293002	0.0540198	0.0741083	0.0406735	0.00623771	0.00312784	0.000914328	0.00238535	0.00194009	0.00100281	0.00811101
b	0.460241	0.361373	0.0611016	0.0575544	0.0308164	0.0124392	0.00465737	0.00481466	0.000959807	0.000783105	0.000526031	9.8097e-05	0.0046352
a	0.171621	0.51591	0.0680697	0.0694821	0.0836398	0.0430343	0.0164045	0.00821099	0.00564031	0.00419453	0.00168296	0.000266819	0.0118434
í	0.0362374	0.00140351	0.190973	0.375115	0.226219	0.0997771	0.0515543	0.00916904	0.00174367	0.00127918	0.000378136	2.34053e-05	0.00612708
d	0.0295707	0.00197487	0.054424	0.312933	0.319067	0.139744	0.0809379	0.0180448	0.0115132	0.0154696	0.00878881	0.00149425	0.00603787
í	0.00673982	0.00632679	0.02243	0.594474	0.209282	0.0299095	0.0330267	0.040001	0.0244256	0.00911228	0.00175482	4.17087e-05	0.0224754
l	0.00813533	0.000983929	0.010302	0.0600476	0.100037	0.100925	0.43078	0.153871	0.0630708	0.0313526	0.0094473	0.00235417	0.0286926
e	0.0112226	0.00568753	0.0143613	0.0970898	0.117102	0.117356	0.132029	0.21498	0.10482	0.0426923	0.0144323	0.0057366	0.122492
b	0.00901144	0.00398341	0.013066	0.0631006	0.107422	0.200317	0.329064	0.1285	0.0659688	0.026426	0.00600511	0.0344248	0.0127111
a	0.0201609	0.00273736	0.0282322	0.0308846	0.144635	0.121786	0.249465	0.120155	0.0882953	0.0818888	0.0128495	0.0830885	0.0158213
l	0.00137357	0.000814738	0.013401	0.0139552	0.0323992	0.0360789	0.602849	0.117966	0.0630489	0.0605189	0.00766115	0.0143284	0.0356048
á	0.00136799	0.000501975	0.00510015	0.0063907	0.0161913	0.0220926	0.327378	0.22428	0.159024	0.121317	0.0187004	0.0101397	0.0875159
y	0.00316757	0.000868074	0.00325814	0.00629892	0.00517086	0.00238827	0.0207368	0.191071	0.382113	0.230341	0.0725012	0.0248154	0.0572708
á	0.00896739	0.000442108	0.00806442	0.0164124	0.0231758	0.0117569	0.0175959	0.0780854	0.44593	0.104295	0.0646788	0.0177941	0.202802
t	0.00353721	0.00069988	0.00147462	0.000800425	0.00224407	0.00107018	0.00342818	0.0213786	0.13926	0.0913722	0.0812549	0.634131	0.0193491
s	0.000805557	8.9593e-05	0.0016352	0.000528398	0.00298389	0.0200806	0.0324332	0.0358198	0.116776	0.123706	0.0451638	0.603324	0.0166544
ω	0.000176816	1.61417e-05	0.000307689	0.00011103	0.000704211	0.00149552	0.0102749	0.00994886	0.0430274	0.0671313	0.0551189	0.796745	0.0149418
m	4.4131e-05	6.0529e-06	0.000598512	0.000626154	0.00287236	0.00265222	0.0147278	0.0524114	0.143134	0.196502	0.245579	0.26751	0.0733365
ó	0.00163704	0.00034363	0.00105877	0.000732415	0.00201635	0.0082348	0.0027138	0.0458141	0.151571	0.0836892	0.0497505	0.0646781	0.58776
k	0.0062614	0.00102251	0.00215843	0.000803254	0.00193679	0.00346691	0.00592049	0.0348728	0.0604154	0.118171	0.0876756	0.268963	0.408332
ω	0.001001	0.000279397	0.00286771	0.000264459	0.00134113	0.0129329	0.0181762	0.0065889	0.0106497	0.0539515	0.0382516	0.816877	0.0368181
r	0.000180796	7.80747e-05	0.00011599	3.79962e-05	0.000286349	0.000576886	0.00118814	0.00107431	0.00449872	0.0214951	0.0173561	0.936701	0.0164106
ω	0.000457701	0.000525023	0.000694535	0.000416666	0.00217546	0.00501719	0.0023977	0.00525149	0.0137397	0.0642248	0.0806855	0.767829	0.0565851
</S>	0.00571183	0.000215774	0.00235815	0.00310552	0.00379848	0.00154672	0.0012552	0.012362	0.0373732	0.11947	0.244119	0.0587859	0.509899
