 	ondongo	est	en	train	de	diviser	le	bambou	</S>
o	0.823861	0.137429	0.0248423	0.0020503	0.00591288	0.00193975	0.00362411	0.000300384	3.96305e-05
n	0.84432	0.132305	0.0128732	0.00265409	0.00245416	0.00313885	0.00108913	0.000414457	0.000751217
d	0.877354	0.0943197	0.0144063	0.0014428	0.0032902	0.004902	0.000570621	0.000945283	0.00276939
ó	0.987642	0.0106731	0.000599457	0.000217761	0.000265932	0.000321849	1.66322e-05	9.80313e-05	0.000165111
n	0.967174	0.0226125	0.00559933	0.000940295	0.00128144	0.000624306	0.000323815	0.000444629	0.000999597
g	0.728918	0.159572	0.0462167	0.0353878	0.00847547	0.0106918	0.00154009	0.00137712	0.00782025
o	0.677994	0.163822	0.0603142	0.0544407	0.0173585	0.0174334	0.0015374	0.000882465	0.00621681
b	0.00884035	0.109316	0.56751	0.196194	0.0595792	0.00663568	0.034644	0.00784095	0.00943945
ó	0.0166979	0.037234	0.280612	0.305087	0.204591	0.0367807	0.061764	0.0204857	0.0367475
l	0.00344222	0.0311527	0.321974	0.284304	0.18921	0.0208093	0.126535	0.00636592	0.0162066
á	0.0132733	0.0360819	0.0339518	0.0456582	0.21862	0.0583718	0.108082	0.041005	0.444956
a	0.00941498	0.0637396	0.0955587	0.117088	0.2846	0.163545	0.160279	0.0577265	0.0480481
b	0.0503943	0.03913	0.00943433	0.00678722	0.325502	0.258656	0.180717	0.0509033	0.0784757
o	0.00554906	0.0222632	0.00747407	0.00796609	0.124008	0.727439	0.0446183	0.0364907	0.0241914
r	0.00848542	0.0145227	0.00446622	0.00570439	0.0835331	0.763917	0.0229973	0.006651	0.0897227
á	0.00589705	0.0216794	0.00670655	0.00485399	0.166642	0.223046	0.0505236	0.0326994	0.487952
m	0.000682199	0.00400858	0.00898563	0.00519232	0.0554534	0.035162	0.495253	0.330734	0.0645287
b	0.000279491	0.00372653	0.00337698	0.00135567	0.0127138	0.0198048	0.0577714	0.778018	0.122953
á	0.000387953	0.00256531	0.00792329	0.00448894	0.019342	0.0818705	0.0331062	0.801533	0.0487826
á	0.000238739	0.00225517	0.0166759	0.0203365	0.0239949	0.0161914	0.0521318	0.577381	0.290795
</S>	0.00368851	0.00648491	0.00919293	0.00549852	0.021546	0.0135405	0.11862	0.466602	0.354826
