 	dans	ce	village	on	parle	mal	de	ngala	parce	qu'	elle	a	fait	une	bonne	récolte	d'	ignames	</S>
p	0.491258	0.339838	0.0557675	0.0398085	0.00660153	0.0156091	0.0125452	0.00163875	0.0054432	0.00122045	0.00224288	0.0015348	0.00295417	0.0027971	0.00558372	0.0115534	0.00354188	4.56276e-05	1.67206e-05
o	0.0876948	0.101933	0.771968	0.0051097	0.00663398	0.00106153	0.000381571	0.000371366	0.000418885	0.000657527	0.00245151	0.00203033	0.00326636	0.00355701	0.00279669	0.00724905	0.000852211	0.00132455	0.00024192
o	0.0216516	0.0248567	0.937123	0.00273269	0.00450522	0.000735632	0.000376707	0.000262975	0.000629098	0.000291751	0.000684706	0.000354613	0.000484956	0.000436604	0.000213334	0.00192655	0.000153855	0.000954156	0.00162604
y	0.113093	0.557616	0.0315542	0.263225	0.00427277	0.00835266	0.00219328	0.000422601	0.00296386	0.00463095	0.00225752	0.0017887	0.00168952	0.00101704	0.00026768	0.00113754	0.0011489	0.000153742	0.00221468
é	0.167163	0.347723	0.295038	0.0889546	0.00152289	0.0101849	0.020397	0.0088864	0.0242037	0.00366537	0.00168541	0.000843891	0.000536155	0.00190971	0.00137374	0.00656557	0.00752058	0.00723734	0.00458959
b	0.174716	0.226328	0.09427	0.264341	0.0081715	0.0348835	0.035457	0.0329522	0.0197666	0.00864601	0.0023282	0.00223818	0.0019327	0.00701002	0.00415506	0.00580344	0.0434964	0.0106653	0.022839
á	0.154914	0.184067	0.03698	0.186767	0.145388	0.139387	0.0219555	0.000529168	0.00765332	0.00800989	0.0105316	0.00933195	0.0060143	0.00604698	0.0222856	0.0520436	0.0057293	0.000338816	0.00202573
a	0.123639	0.249634	0.0225634	0.167795	0.138899	0.0397978	0.0142309	0.00877772	0.0168222	0.0356874	0.032923	0.0170322	0.0161038	0.0146659	0.0142239	0.0258765	0.00988512	0.0129125	0.0385302
y	0.0093775	0.0266484	0.0135142	0.524936	0.220953	0.0360613	0.00865119	0.00587953	0.0127123	0.0541408	0.0223704	0.0109176	0.00824144	0.00421996	0.000504101	0.00906929	0.0086144	0.00559003	0.0175985
o	0.0300716	0.0734396	0.0770628	0.124501	0.159573	0.0997423	0.0756022	0.0706716	0.038288	0.0326841	0.0147337	0.00921272	0.00824053	0.020965	0.00454219	0.0373767	0.0171546	0.0407313	0.0654063
b	0.0365953	0.0562829	0.00921486	0.162334	0.0175902	0.243353	0.112835	0.020089	0.0223795	0.0256072	0.00912222	0.00651449	0.00439904	0.0196226	0.00321056	0.011407	0.0369408	0.0686797	0.133822
h	0.0119325	0.0228408	0.002782	0.062046	0.604762	0.153684	0.0135928	0.00333408	0.0257138	0.0312246	0.0183452	0.00617734	0.0100856	0.00638029	0.00672383	0.0159839	0.000884117	0.00028712	0.00322021
á	0.0145653	0.0100066	0.0115877	0.0501439	0.287738	0.402986	0.0365673	0.00453756	0.0114998	0.023494	0.0227593	0.011135	0.0187843	0.0120457	0.00680356	0.0287895	0.00234989	0.00290917	0.0412981
n	0.00253849	0.0068615	0.000520422	0.0857006	0.0375303	0.32468	0.196614	0.0207812	0.080945	0.0886581	0.029869	0.0119448	0.0108408	0.0116879	0.008148	0.0531074	0.017325	0.00119342	0.0110539
g	0.00348691	0.00453694	0.000163295	0.0195519	0.00186111	0.0984262	0.249227	0.481956	0.0428263	0.0112635	0.00325208	0.00313816	0.00295807	0.0251222	0.0219131	0.0090256	0.0159242	0.00115389	0.00421349
a	0.000265535	0.000588958	0.000132808	0.00571646	0.00145568	0.0130066	0.0350333	0.88438	0.0051623	0.00532494	0.00223825	0.00210977	0.00105704	0.00960901	0.0217758	0.00491814	0.00486381	0.000609063	0.00175209
l	0.000468389	0.00368155	0.000838115	0.0125778	0.0016725	0.0207057	0.0573418	0.522293	0.0213834	0.00978193	0.00588155	0.0078518	0.00539266	0.0417859	0.147646	0.0898593	0.0361177	0.00554198	0.00917915
a	0.000593827	0.0034063	0.00032682	0.0284768	0.0126607	0.0591227	0.113788	0.0779026	0.242025	0.156427	0.0835652	0.0426391	0.028004	0.0269206	0.0212503	0.0617279	0.0280789	0.00272667	0.0103574
m	0.00154282	0.00352477	0.00032188	0.00772891	0.00540734	0.0290748	0.0342371	0.0191181	0.0789265	0.130108	0.0640996	0.0677161	0.0533612	0.0424609	0.0338298	0.219924	0.150609	0.0324613	0.0255474
í	0.00462746	0.00707798	0.000120824	0.00346202	0.000249873	0.0192958	0.0589757	0.00095224	0.0300854	0.0255674	0.0273657	0.0236968	0.0119549	0.022595	0.0357419	0.279153	0.39869	0.0395318	0.0108566
d	0.00141315	0.00268668	0.000503572	0.00388742	0.00276821	0.011627	0.00909958	0.00262195	0.0215519	0.031499	0.0317218	0.0510935	0.0309467	0.0335734	0.0384282	0.2652	0.23235	0.20327	0.0257575
z	0.00350736	0.00123666	0.000235297	0.00197395	0.00210941	0.0105013	0.00396487	0.00100991	0.00731132	0.0246507	0.0167173	0.0345546	0.0343916	0.0425313	0.0231406	0.0701405	0.157651	0.482867	0.0815056
á	0.000984941	0.000486203	0.00200991	0.000346517	0.000392992	0.00205537	0.00297523	0.0013374	0.00492562	0.00741041	0.00978011	0.0108451	0.0096976	0.0308812	0.00348948	0.103153	0.0598434	0.70731	0.0420757
á	0.00171616	0.00153777	0.000205272	0.000960869	0.000425487	0.00417033	0.00522694	0.000814282	0.0104727	0.0287809	0.0227885	0.0192327	0.0327453	0.0299523	0.0346779	0.086596	0.0689185	0.343736	0.307043
g	0.000774176	0.000618534	0.000229668	0.00245862	0.000467486	0.00341664	0.00323311	0.000933559	0.0139869	0.0128503	0.00744558	0.0144181	0.0203531	0.0231456	0.0227516	0.0234555	0.61508	0.149469	0.0849122
h	0.00103557	0.00117328	5.42173e-05	0.00349023	0.00116895	0.0131197	0.00819969	0.00031717	0.017379	0.0217214	0.0122637	0.015015	0.0287882	0.0462936	0.0204871	0.026943	0.10261	0.44185	0.238089
á	0.000164491	5.17526e-05	5.45491e-05	8.37707e-05	6.17428e-05	0.00171497	0.00240158	0.000780459	0.00325643	0.00581288	0.00313946	0.0056295	0.00767894	0.033717	0.0520901	0.0446552	0.157977	0.45839	0.22234
</S>	7.67724e-05	5.71416e-05	1.6188e-05	0.000116095	5.1308e-05	0.000460096	0.000602169	3.55834e-05	0.00271983	0.00653662	0.00457365	0.00659236	0.0128004	0.0126081	0.00780496	0.00863157	0.0499172	0.270978	0.615422
