 	je	vais	chercher	du	bois	pour	faire	du	feu	</S>
n	0.98968	0.00340343	0.00103514	0.00330249	0.00163225	0.000381464	0.000178024	0.000300801	7.52018e-05	1.11442e-05
g	0.991055	0.00518887	0.000641354	0.00254875	0.000180331	0.000155506	2.17895e-05	0.00017207	2.65548e-05	9.64341e-06
á	0.934684	0.0591498	0.00215739	0.00209784	0.000528023	0.000298994	0.000136025	0.000336577	0.000595254	1.6023e-05
l	0.342859	0.438565	0.0572897	0.0210894	0.00714413	0.00875906	0.00465278	0.00570132	0.00956079	0.104379
í	0.449617	0.261526	0.0757592	0.0437429	0.0148051	0.029869	0.0259054	0.0121408	0.0242563	0.062378
i	0.0620551	0.161625	0.368431	0.104776	0.0583332	0.0422399	0.0381679	0.0474975	0.034428	0.0824458
d	0.00785165	0.394553	0.553165	0.0193448	0.00755905	0.00290651	0.00446166	0.000921298	0.00176446	0.00747293
z	0.00079839	0.280628	0.702018	0.0111838	0.00215511	0.000479997	0.000923731	7.81937e-05	0.000401506	0.00133292
w	0.011389	0.36705	0.562864	0.0436975	0.00598543	0.00270732	0.00225287	0.000350757	0.00160351	0.00209964
á	0.00496278	0.244037	0.255597	0.366915	0.0285935	0.0312891	0.0125357	0.0154837	0.00610629	0.0344795
o	0.000546342	0.00640971	0.199453	0.534078	0.127883	0.0546813	0.0171001	0.0301606	0.0139665	0.0157222
y	0.000246806	0.00684956	0.350897	0.242081	0.305819	0.0436289	0.0219656	0.00357637	0.0162847	0.00865183
é	0.00019594	0.0202697	0.60303	0.187435	0.139362	0.0109474	0.0132117	0.00544821	0.00442757	0.0156719
n	9.40802e-05	0.0175982	0.303631	0.280546	0.291646	0.0185481	0.0172501	0.00831363	0.00388004	0.058493
g	5.87859e-05	0.01006	0.514352	0.242492	0.141623	0.0400025	0.0254129	0.00410192	0.00131101	0.0205864
á	0.00139171	0.00227801	0.094662	0.266422	0.500251	0.0672213	0.0166343	0.0111918	0.00696114	0.0329866
k	0.000444077	0.00248899	0.0132995	0.106009	0.210689	0.412633	0.129393	0.0761312	0.0298539	0.0190591
ó	0.000212106	4.81152e-05	0.00375386	0.0279776	0.204258	0.105171	0.574181	0.0365346	0.024659	0.0232046
n	4.9382e-05	3.98721e-05	0.00517705	0.0238782	0.280253	0.0981237	0.497227	0.0189698	0.0282687	0.0480127
y	0.000482016	0.000233857	0.00801522	0.0409703	0.202527	0.203584	0.346837	0.0601135	0.0278482	0.109388
i	0.000131201	0.000332776	0.00565493	0.0271835	0.147189	0.18863	0.406205	0.0840231	0.0201645	0.120487
m	0.000444358	0.000940686	0.00231965	0.0147736	0.0276971	0.284878	0.214404	0.247614	0.119409	0.0875193
ó	0.000268592	0.000940796	0.000302469	0.010699	0.013119	0.133812	0.101279	0.246958	0.179052	0.313569
i	0.000441763	0.00103191	0.00134578	0.00801172	0.0122586	0.0257039	0.0375003	0.240222	0.618784	0.0547002
t	7.88539e-05	0.000869658	0.00392695	0.00424879	0.0108943	0.0163097	0.0925852	0.102941	0.660875	0.107271
u	3.98727e-05	0.00019862	0.0027465	0.00792593	0.0236392	0.0205512	0.20813	0.126385	0.568552	0.0418313
m	1.27375e-05	2.3901e-05	0.000640726	0.00425357	0.0086446	0.0243153	0.215009	0.148154	0.270259	0.328687
b	0.000111947	1.17463e-05	3.93249e-05	0.00172069	0.00324789	0.0228244	0.0817272	0.141073	0.465632	0.283611
a	0.00154049	0.000102041	0.000298547	0.006387	0.0121477	0.0386662	0.106647	0.0769507	0.452814	0.304447
l	0.00108462	0.000864375	0.0020267	0.00790298	0.0105714	0.0348452	0.0418424	0.169914	0.220855	0.510093
á	0.000395358	0.0014539	0.0195392	0.0172851	0.0210298	0.0469829	0.104731	0.170196	0.226214	0.392173
m	0.00171175	0.00194969	0.00423074	0.02243	0.0104239	0.0270665	0.0186557	0.396221	0.359803	0.157508
í	0.000167415	0.00286417	0.000779436	0.00893893	0.0061768	0.0409868	0.0143083	0.182434	0.586848	0.156496
á	0.000145913	0.000198464	0.000127095	0.00568539	0.00374792	0.0213445	0.0176155	0.192496	0.590017	0.168622
</S>	0.00171233	0.00276754	0.00471713	0.00571935	0.00612951	0.0388404	0.032271	0.0362672	0.162873	0.708702
