 	enlève	les	miettes	de	pain	qui	sont	sur	la	table	</S>
t	0.567316	0.301464	0.0479012	0.0497227	0.00875777	0.0029416	0.00706997	0.00493919	0.00609441	0.00360564	0.000188183
έ	0.524385	0.052287	0.364185	0.0177276	0.0265756	0.00172947	0.00311184	0.00368856	0.00217559	0.00122428	0.00291008
έ	0.0437707	0.217161	0.614917	0.0179563	0.0579448	0.00410025	0.00554773	0.00752951	0.00154964	0.000234053	0.0292882
s	0.0288782	0.220299	0.352933	0.254945	0.0241614	0.0209822	0.0111501	0.00881377	0.0181258	0.00315585	0.0565556
έ	0.0288999	0.705029	0.0641684	0.112842	0.0133629	0.0188597	0.00627164	0.00731578	0.0102266	0.00683866	0.0261854
p	0.0196541	0.231667	0.305664	0.219016	0.0297699	0.0180932	0.012347	0.0165495	0.0204314	0.0460585	0.0807491
f	0.122635	0.168522	0.499614	0.06893	0.0982652	0.00441115	0.00796418	0.00586747	0.0034962	0.00571626	0.0145779
u	0.0182937	0.1754	0.483414	0.15484	0.133328	0.00386028	0.00771875	0.00921901	0.0076067	0.000542663	0.00577599
s	0.0176136	0.0809122	0.523955	0.170277	0.08903	0.029595	0.017483	0.0241595	0.0220065	0.00153474	0.0234329
u	0.0315651	0.247938	0.37453	0.175195	0.10581	0.0179795	0.00619993	0.0102492	0.016008	0.0037451	0.0107801
u	0.00724858	0.101109	0.0731306	0.437594	0.0980124	0.138672	0.028813	0.0458008	0.0283597	0.0100734	0.0311871
y	0.0127117	0.0568924	0.0627825	0.278816	0.245009	0.21685	0.0597002	0.0268796	0.00729858	0.00199199	0.0310681
á	0.00473026	0.0976092	0.0377008	0.189966	0.19935	0.297349	0.0393225	0.023063	0.044042	0.0473116	0.0195554
p	0.007422	0.0543192	0.0320726	0.252515	0.259792	0.182573	0.0563323	0.0244912	0.0706261	0.0444755	0.0153814
i	0.00333515	0.00902983	0.0963245	0.0301421	0.747397	0.0178876	0.0483867	0.0172237	0.00787964	0.00780094	0.0145932
m	0.000864599	0.0048214	0.0662999	0.120879	0.383568	0.170744	0.117475	0.0454792	0.043508	0.00742645	0.0389336
a	0.0061819	0.0250691	0.00409049	0.121129	0.251246	0.068218	0.11194	0.0787865	0.220093	0.0609797	0.0522662
y	0.00121024	0.00524556	0.00258083	0.0387704	0.0270063	0.0963373	0.141928	0.182919	0.303616	0.0793887	0.120998
é	0.00305271	0.0281353	0.00769431	0.0190977	0.0339882	0.0784898	0.130125	0.163027	0.190115	0.168852	0.177423
é	0.000848872	0.0108652	0.0030567	0.0412961	0.0146853	0.133708	0.069608	0.119599	0.367508	0.129417	0.109408
d	0.012477	0.0249885	0.0094968	0.0145935	0.0168513	0.0540891	0.129682	0.267724	0.208066	0.103792	0.158241
i	0.000807839	0.00585698	0.00164519	0.0026296	0.00704559	0.0205924	0.0612829	0.234446	0.161985	0.171688	0.33202
ó	0.000150906	0.00142206	0.000260334	0.00315531	0.00322299	0.0310452	0.0799957	0.289752	0.512601	0.0163602	0.0620346
m	0.00461703	0.0151841	0.0107647	0.00298468	0.00433371	0.00573264	0.0390938	0.270063	0.299563	0.222798	0.124866
é	0.00235674	0.0168427	0.010823	0.00597597	0.00540641	0.0111021	0.0380371	0.175032	0.207671	0.395113	0.13164
s	0.000215916	0.00190484	0.000805437	0.00371328	0.0043355	0.0119004	0.0456427	0.270461	0.304568	0.0555927	0.30086
á	0.000178185	0.00102244	0.00262968	0.000624524	0.00304083	0.00476514	0.0280895	0.153484	0.0872787	0.146651	0.572236
</S>	0.000646657	0.00220541	0.00455284	0.00897319	0.00629102	0.00941185	0.0110525	0.03809	0.13797	0.0556231	0.725183
