 	le	chef	est	en	voyage	</S>
o	0.710207	0.281396	0.00587705	0.000879426	0.00135438	0.000285445
k	0.0153057	0.981746	0.00122	0.000487841	0.000923428	0.000317478
o	0.00203472	0.994812	0.000873984	0.00035339	0.00152	0.000406373
n	0.00195774	0.990119	0.00432221	0.00143482	0.0011933	0.000972991
d	0.0533418	0.91574	0.00891223	0.00307396	0.00769218	0.0112393
z	0.0272131	0.93216	0.0156063	0.00146372	0.00203675	0.0215204
i	0.0665614	0.85992	0.0295746	0.00353044	0.00592905	0.0344847
á	0.102423	0.000935116	0.617388	0.253247	0.0112036	0.0148027
m	0.0151681	0.00418837	0.208243	0.566939	0.140277	0.0651852
i	0.00576823	0.000778248	0.0650542	0.367625	0.223417	0.337357
b	0.000244095	0.00141933	0.035371	0.343017	0.461493	0.158456
h	0.000358659	0.000625484	0.0484035	0.571328	0.273465	0.105819
é	0.000151946	0.000516979	0.0559896	0.229617	0.469719	0.244005
m	0.000196685	8.65201e-05	0.0418556	0.315508	0.394602	0.247751
b	0.00132781	2.12271e-05	0.0164399	0.140744	0.43245	0.409016
a	0.0202747	0.000488567	0.0327153	0.123501	0.323194	0.499827
</S>	0.00553194	0.00030093	0.0403073	0.263025	0.23677	0.454065
