 	avec	tout	son	courage	il	est	resté	pauvre	</S>
l	0.554377	0.34088	0.0708062	0.0200133	0.00890911	0.00158776	0.00311608	4.15888e-06	0.00030632
a	0.426573	0.349222	0.130828	0.0747957	0.0116626	0.00193082	0.00282686	0.000172711	0.00198848
ω	0.209195	0.431551	0.21362	0.0816272	0.0329269	0.00392149	0.00186227	0.00482174	0.0204741
n	0.117707	0.315922	0.22864	0.153409	0.0223005	0.0532393	0.0122719	0.0114969	0.0850134
g	0.0917476	0.170509	0.0564277	0.601334	0.00798625	0.013902	0.00838614	0.0168116	0.0328951
á	0.0186189	0.0367386	0.0361582	0.888579	0.00568393	0.00235865	0.00153641	0.00372242	0.00660406
n	0.0674868	0.112382	0.569812	0.0988642	0.0565246	0.0156912	0.00648645	0.00418476	0.0685682
d	0.148048	0.14513	0.335605	0.255389	0.0410229	0.017197	0.00958931	0.00118508	0.0468342
z	0.0213922	0.0307189	0.166158	0.632924	0.0443379	0.00656351	0.00159124	0.0510955	0.0452194
i	0.039823	0.0501471	0.0779517	0.631562	0.0289318	0.0148571	0.0045286	0.0210842	0.131115
m	0.0717002	0.125324	0.326204	0.158581	0.14802	0.0578487	0.013627	0.00226836	0.0964266
á	0.28304	0.108383	0.175119	0.0395782	0.29756	0.0447235	0.0261766	7.35962e-05	0.0253468
w	0.0656909	0.0440236	0.376353	0.115717	0.280082	0.0681595	0.0324264	0.0041493	0.0133988
a	0.0212915	0.0443309	0.27643	0.0545858	0.422175	0.0979437	0.0606589	0.00128885	0.0212957
ώ	0.00736371	0.00946588	0.138699	0.0226289	0.532481	0.174721	0.0640605	0.00268108	0.0478978
t	0.00892602	0.0196834	0.0351098	0.0281815	0.0614997	0.525367	0.177213	0.105167	0.0388518
s	0.00126075	0.00462369	0.0225737	0.0280277	0.0417103	0.473463	0.148533	0.202372	0.0774354
ω	0.00369803	0.00920732	0.0311545	0.048635	0.0754919	0.410242	0.251435	0.0815358	0.0886002
a	0.000788502	0.00289494	0.0219189	0.0216114	0.091883	0.251913	0.148129	0.0730473	0.387813
b	0.00432151	0.00528512	0.0107917	0.00833749	0.0175288	0.187507	0.385508	0.205479	0.175241
v	0.00596215	0.00369492	0.00326141	0.00126194	0.00342188	0.185206	0.714396	0.0187437	0.0640514
u	0.00437035	0.00157025	0.0019042	0.00135431	0.00468529	0.118023	0.844749	0.00447878	0.0188651
ú	0.00247374	0.00183433	0.0118891	0.0150969	0.0319476	0.163719	0.172648	0.0456212	0.554771
e	0.0050734	0.00342031	0.00772703	0.00700781	0.0235044	0.0846405	0.0628364	0.147837	0.657953
y	0.00655065	0.00667278	0.00941478	0.0062533	0.00747785	0.0798054	0.0523243	0.469712	0.361789
o	0.000230776	0.000574762	0.00274746	0.00110916	0.000440488	0.012558	0.0196491	0.884746	0.0779439
ó	0.000131638	0.000203171	0.000662561	0.000370321	0.000506336	0.0106533	0.0326601	0.711147	0.243665
</S>	0.0005358	0.00079661	0.0015505	0.000648845	0.00154472	0.0284582	0.075211	0.327932	0.563323
