 	l'	oisillon	du	moineau	n'	est	pas	fort	</S>
e	0.79111	0.111941	0.0288199	0.00356221	0.0200687	0.0143895	0.0252322	0.00261003	0.00226647
l	0.133903	0.656236	0.0387962	0.0172547	0.0282827	0.0337269	0.0193546	0.0693008	0.00314441
ε	0.00824933	0.929497	0.0169712	0.0122917	0.00696819	0.00389868	0.00132615	0.000792477	0.0200052
ε	0.0240688	0.619851	0.089796	0.0289876	0.0196411	0.0113436	0.0112289	0.00397772	0.191105
y	0.102799	0.132746	0.535085	0.0727408	0.0203751	0.0150634	0.0197572	0.00275427	0.0986781
é	0.0570832	0.077855	0.318458	0.309131	0.0794221	0.0252618	0.0136293	0.00310058	0.116058
s	0.064033	0.0156033	0.365835	0.440541	0.0324782	0.00737391	0.00533054	0.00133583	0.0674697
w	0.0050193	0.0165188	0.0939047	0.775406	0.0380736	0.00844806	0.00223576	0.00132456	0.0590687
ώ	0.00197512	0.00522225	0.0785044	0.834155	0.0365222	0.0100278	0.00298265	0.00278334	0.0278272
ω	0.00323842	0.00903031	0.25519	0.440337	0.155376	0.0258578	0.0197946	0.00393697	0.0872383
r	0.00895341	0.00341078	0.188781	0.228382	0.394027	0.0972766	0.0629203	0.00461342	0.0116346
ώ	0.0204496	0.0320131	0.130404	0.457668	0.13452	0.0557211	0.0360982	0.00253093	0.130595
é	0.0147361	0.0018089	0.216041	0.160445	0.395974	0.114382	0.0768618	0.00260112	0.0171499
d	0.0142741	0.00987949	0.0492903	0.0411256	0.206566	0.42869	0.157391	0.0715889	0.0211949
i	0.000889923	0.000318464	0.00737734	0.0181049	0.0643621	0.215244	0.161316	0.0123563	0.520031
p	0.00140547	0.000203163	0.00849304	0.0125324	0.0454566	0.224629	0.490174	0.0606189	0.156487
á	0.00117528	0.002468	0.00492438	0.0342733	0.0694461	0.145509	0.0609939	0.555837	0.125374
m	0.000628475	0.000600327	0.0121909	0.00483576	0.0710508	0.197595	0.0609903	0.538247	0.113861
i	0.00271132	0.000694678	0.0085413	0.0149866	0.0339298	0.218112	0.20261	0.21915	0.299264
k	0.00183645	0.0010654	0.0140315	0.0158404	0.0429588	0.139899	0.18335	0.138041	0.462977
a	0.0014633	0.0008411	0.00298656	0.00163327	0.00785891	0.0703377	0.0825971	0.786363	0.0459192
á	0.000204531	0.000206111	0.00079617	0.000899748	0.00822036	0.0511586	0.0290401	0.365011	0.544463
</S>	0.00367099	0.00158783	0.0135966	0.00594563	0.012155	0.0464162	0.14113	0.0430219	0.732476
