 	il	est	en	train	de	jouer	au	tam-tam	</S>
w	0.828057	0.0441108	0.0879517	0.0251416	0.00886475	0.00288039	0.0024419	0.000416942	0.000134474
a	0.772484	0.0333001	0.0887354	0.0496463	0.021648	0.00945577	0.0195425	0.00499485	0.000193511
b	0.10853	0.331096	0.317351	0.206728	0.0164397	0.00460407	0.0100589	0.00053149	0.00466064
ó	0.112451	0.148471	0.387714	0.158919	0.170455	0.0128816	0.00180578	0.000152774	0.00715012
l	0.0458873	0.0851342	0.286242	0.434544	0.0569537	0.0206178	0.0153424	0.00714315	0.0481357
á	0.236606	0.137312	0.167198	0.125652	0.0628185	0.0459205	0.0459787	0.0168735	0.161641
a	0.255319	0.130905	0.181616	0.0495175	0.159868	0.0645318	0.0744294	0.0535618	0.0302523
b	0.0238774	0.418373	0.059848	0.0605223	0.251714	0.122953	0.0253483	0.0177444	0.0196206
é	0.025672	0.467333	0.043299	0.0128268	0.140399	0.212848	0.0686345	0.0122785	0.0167093
r	0.00742334	0.340221	0.0739447	0.0115849	0.138185	0.276846	0.0778912	0.0333508	0.0405539
έ	0.0082583	0.119069	0.045853	0.00353024	0.316726	0.338447	0.0907537	0.0106552	0.0667074
e	0.00442794	0.0163729	0.0367041	0.0044801	0.149188	0.457021	0.281486	0.0205991	0.0297214
n	0.00138933	0.00337272	0.00130089	0.00117787	0.0483088	0.269708	0.0992116	0.552596	0.0229347
d	0.000993173	0.00285742	0.00253521	0.00205084	0.0119488	0.0573522	0.115487	0.695115	0.111661
o	0.000487181	0.00116569	0.0015333	0.0022844	0.00490098	0.0344651	0.0621306	0.827467	0.0655661
m	4.61412e-05	0.000208984	0.00037196	0.00119903	0.00387295	0.010049	0.0163255	0.761162	0.206764
b	0.00956752	0.00233804	0.00339821	0.00213747	0.0310575	0.0878402	0.121689	0.0924948	0.649477
a	0.00546874	0.0038128	0.00483456	0.00280251	0.0871334	0.098503	0.103264	0.305624	0.388557
</S>	0.000588108	0.00244622	0.00213568	0.000364913	0.0162077	0.114461	0.167228	0.0865767	0.609991
