 	le	matin	je	balaie	la	cour	</S>
l	0.891293	0.0959688	0.00902329	0.000904115	0.00263276	9.32052e-05	8.47788e-05
o	0.452315	0.438879	0.103783	0.000198354	0.00364672	0.00068754	0.000489603
y	0.167994	0.794586	0.0209893	0.00584214	0.000404684	0.00603539	0.00414839
ó	0.309171	0.621319	0.0436421	0.00304722	0.00539888	0.00659847	0.0108234
l	0.122299	0.432014	0.279348	0.0561423	0.0145734	0.0263651	0.0692571
o	0.156752	0.27724	0.459676	0.0485863	0.036072	0.00392202	0.0177523
n	0.0620058	0.343233	0.472773	0.085894	0.0249843	0.00307299	0.00803646
g	0.13069	0.19047	0.4754	0.138094	0.0118362	0.00389696	0.0496133
á	0.0848196	0.132079	0.731187	0.0261328	0.00497818	0.00337045	0.0174327
l	0.0560016	0.0185345	0.509375	0.178767	0.179877	0.0127955	0.04465
í	0.00858345	0.00623359	0.62549	0.0625598	0.0624056	0.0156453	0.219082
i	0.166462	0.0310854	0.188574	0.129854	0.338599	0.0541831	0.091242
w	0.00219514	0.00343234	0.0114375	0.930054	0.0242903	0.012007	0.0165835
ώ	0.000489886	0.00226362	0.00299416	0.944339	0.0200643	0.0208594	0.00898966
m	0.00297933	0.00678695	0.0155591	0.680223	0.162911	0.062888	0.0686527
b	0.00389773	0.000753347	0.00316216	0.382201	0.192446	0.0540515	0.363488
ώ	0.000942077	0.000159328	0.00141486	0.305302	0.139783	0.0341996	0.5182
ώ	0.0079941	0.000764625	0.0122847	0.0519522	0.541839	0.126337	0.258828
l	0.0108222	0.00571717	0.00920715	0.0236045	0.212581	0.611047	0.127021
e	0.0043986	0.00349588	0.00586625	0.0100102	0.0496787	0.790859	0.135692
b	0.00082781	0.00114254	0.00172265	0.00164521	0.0351277	0.534525	0.425009
ó	0.00426466	0.00269259	0.00175268	0.0553544	0.130639	0.617756	0.187541
o	0.00326024	0.00459141	0.00401207	0.0805198	0.120648	0.340386	0.446583
</S>	0.00601721	0.00288987	0.00294873	0.0325518	0.0906381	0.118245	0.746709
