 	le	mouon	bêle	</S>
e	0.866633	0.131937	0.00130632	0.000123895
n	0.225116	0.705808	0.0660303	0.00304489
d	0.00833	0.930115	0.0567402	0.00481507
ω	0.00311612	0.949893	0.043766	0.00322528
m	0.00308464	0.905908	0.0740662	0.0169408
b	0.10018	0.218748	0.0531537	0.627918
ω	0.187402	0.574342	0.0527682	0.185488
y	0.754589	0.0630943	0.060305	0.122011
é	0.889834	0.0222203	0.0363358	0.0516099
e	0.955944	0.00406269	0.015487	0.0245061
l	0.0266743	0.0134383	0.31577	0.644118
e	0.00767636	0.00341476	0.21048	0.778429
a	0.0164008	0.0019239	0.0820636	0.899612
</S>	0.0394181	0.00540157	0.084785	0.870395
