 	la	femme	qu'	il	est	allé	épouser	est	sourde-muette	</S>
o	0.911369	0.0443229	0.0227809	0.00750936	0.00674932	0.0012635	0.00539737	0.000383693	0.000139516	8.43528e-05
y	0.0614807	0.927386	0.00365453	0.000536335	0.000561745	0.000966597	0.00444504	0.000255345	0.000417232	0.000296705
ú	0.909266	0.0820977	0.00198483	0.001182	0.0024097	0.00120517	8.77061e-05	0.000227454	0.00103759	0.000501995
r	0.924906	0.0349267	0.00153355	0.000884877	0.00652141	0.0016452	0.000350472	0.00113628	0.0111446	0.0169513
u	0.8158	0.140452	0.012351	0.00801464	0.00508949	0.00584765	0.00240373	0.00227789	0.00224739	0.00551595
y	0.0905313	0.0320576	0.496913	0.210475	0.0841137	0.0257852	0.000663052	0.0125088	0.00271018	0.0442424
é	0.437304	0.0809807	0.18029	0.133759	0.0649778	0.0378426	0.00104083	0.0154285	0.0106089	0.0377674
é	0.28371	0.007733	0.400932	0.176282	0.0882032	0.0191742	0.0015549	0.00495958	0.00194674	0.015504
d	0.0312444	0.0162893	0.0397474	0.244609	0.254311	0.291884	0.0391208	0.0205315	0.00880195	0.0534601
z	0.0528104	0.0030125	0.00702137	0.11704	0.300166	0.286997	0.00367056	0.0238173	0.00781713	0.197648
w	0.322534	0.0194102	0.00321504	0.0405382	0.0501713	0.552692	0.00198831	0.00282953	0.000573147	0.00604837
e	0.0951727	0.00163059	0.02898	0.104947	0.252753	0.342661	0.0486257	0.0595057	0.0100901	0.0556344
w	0.00684137	0.000103732	0.0779178	0.173489	0.607709	0.0592266	0.00666726	0.0230368	0.00270836	0.0422999
á	0.00953461	0.000166722	0.202457	0.418964	0.0798396	0.0437847	0.0839899	0.102777	0.0129591	0.0455267
o	0.0306975	0.000196535	0.0589252	0.122718	0.133745	0.0763426	0.432496	0.0465867	0.0183608	0.0799307
b	0.00175491	0.00114811	0.000607475	0.00271045	0.0439784	0.216954	0.659558	0.0497668	0.0134252	0.0100958
a	0.000208359	0.000268668	0.000511798	0.00136813	0.00612808	0.0113712	0.969831	0.00712143	0.000880753	0.00231025
n	0.000315178	0.000182226	0.000534303	0.00214634	0.00776725	0.0397463	0.920134	0.0140737	0.0086692	0.00643145
d	0.00435724	0.000147494	0.00369662	0.00622005	0.0310991	0.0532034	0.717523	0.0849059	0.0201838	0.0786632
a	0.00857201	0.000182556	0.0119044	0.0145789	0.0301763	0.0561749	0.524613	0.101321	0.0437259	0.208751
a	0.0105835	0.000157643	0.0357654	0.0354071	0.1687	0.014995	0.0285268	0.376275	0.0561769	0.273413
d	0.0120635	0.000533501	0.0105179	0.0183941	0.0738536	0.0115426	0.02188	0.545306	0.181009	0.1249
í	0.00349332	0.000122215	0.000480234	0.00137051	0.0215826	0.00775663	0.00179907	0.30174	0.308503	0.353153
e	0.00399663	7.41865e-05	0.0012892	0.00169265	0.0225283	0.00539576	0.0113611	0.183052	0.38724	0.383369
k	0.00107865	7.72473e-05	0.00116453	0.00169498	0.00665158	0.00364761	0.00832235	0.129029	0.580395	0.267939
í	0.000512289	0.000193719	0.00241412	0.00440292	0.0155257	0.0039794	0.0357904	0.216011	0.670358	0.0508119
n	0.00293505	0.000232711	0.00433911	0.00703993	0.00796477	0.00905809	0.0797593	0.163685	0.500424	0.224562
á	0.00201047	7.41433e-05	0.00883888	0.00907808	0.0105091	0.00167948	0.0360582	0.207958	0.474825	0.248968
</S>	0.0136799	0.000177882	0.0180732	0.010448	0.0259592	0.00397812	0.00402464	0.179938	0.211019	0.532702
