 	de	la	manière	dont	mon	coeur	palpite	je	ne	tiendrai	pas	jusqu'	à	demain	</S>
e	0.455553	0.284754	0.0904062	0.0273374	0.0410086	0.0138201	0.0163716	0.0122812	0.0190135	0.00520271	0.0175579	0.00193445	0.0138549	0.000293024	0.000611152
l	0.0403676	0.126774	0.0127851	0.0104014	0.073042	0.347811	0.094444	0.0395025	0.0385954	0.119161	0.0237549	0.0165022	0.00779354	0.0477069	0.0013585
y	0.00964221	0.0828496	0.0104912	0.00490015	0.0119785	0.334211	0.171748	0.0369976	0.0307305	0.145187	0.0116282	0.0111893	0.00438104	0.0357423	0.0983231
é	0.0135372	0.0848347	0.0308215	0.0187517	0.0355938	0.29519	0.281603	0.0489373	0.0150521	0.0573073	0.00374122	0.00608095	0.00640539	0.0713986	0.0307447
n	0.191798	0.311601	0.091566	0.0367192	0.0498537	0.0665194	0.0273983	0.0181757	0.020072	0.0228062	0.0238379	0.0232689	0.046319	0.00940521	0.06066
g	0.262249	0.287922	0.0707376	0.0619315	0.0479179	0.0223967	0.0467364	0.0318401	0.00915859	0.00846923	0.0122413	0.00570317	0.0125843	0.011121	0.108991
í	0.0806801	0.177303	0.136316	0.134854	0.041885	0.0238152	0.0939554	0.0435946	0.0121386	0.00410666	0.00747461	0.00153378	0.0137023	0.0399701	0.188669
l	0.0624545	0.0534276	0.219586	0.122606	0.150935	0.165961	0.0501662	0.0247671	0.0195067	0.00507011	0.0180057	0.0110556	0.0294956	0.00102606	0.0659367
í	0.0423248	0.0369681	0.132301	0.110032	0.0631119	0.0858843	0.0676754	0.0443971	0.0130163	0.0135361	0.018985	0.00616487	0.0176657	0.00424503	0.343692
y	0.0375733	0.0243656	0.366827	0.22852	0.138015	0.0781244	0.0484656	0.0296531	0.00356438	0.00106146	0.00151683	0.000346292	0.00428295	0.00359735	0.0340857
o	0.0184902	0.0396323	0.177834	0.306619	0.189228	0.160376	0.0616584	0.0246487	0.00115737	0.000721027	0.000844858	0.000667479	0.000449574	0.00239199	0.0152812
t	0.0321779	0.0203195	0.170833	0.321382	0.237248	0.108664	0.0634701	0.0278547	0.00120344	0.000805456	0.000817433	0.00035932	0.000513378	0.00159166	0.0127598
é	0.0145155	0.0304553	0.0495169	0.111737	0.0775123	0.51443	0.110462	0.0194851	0.00749329	0.00564225	0.00302364	0.00542114	0.00200466	0.0151371	0.0331636
m	0.00921544	0.0082013	0.0391546	0.0810542	0.0472899	0.610214	0.0626407	0.0155772	0.0140639	0.00782262	0.0143485	0.0227315	0.0159564	0.00599547	0.045734
a	0.0855327	0.0296671	0.0550451	0.150481	0.206555	0.255897	0.0952783	0.078395	0.013995	0.00286762	0.00581429	0.00230468	0.00321628	0.00284761	0.012104
m	0.0112044	0.00566216	0.0309827	0.08225	0.214978	0.190956	0.213711	0.12176	0.0463815	0.00992757	0.0184682	0.00527062	0.0186923	0.00209208	0.0276633
á	0.036382	0.0168478	0.0422904	0.0339186	0.184131	0.164787	0.0791176	0.35451	0.0551568	0.00618491	0.00948898	0.000809574	0.00597464	0.00290523	0.00749541
n	0.00892226	0.00378783	0.0123315	0.0276494	0.251905	0.0784422	0.151217	0.330248	0.0576286	0.0166364	0.0191466	0.00284263	0.0149642	0.00215339	0.0221248
g	0.000514496	0.00163206	0.00671138	0.0519835	0.353474	0.00394006	0.339616	0.236484	0.00152499	0.000316628	0.000253269	3.04166e-05	0.000395804	0.000571823	0.0025507
á	7.06552e-05	0.000680389	0.00302897	0.0438962	0.17434	0.0124556	0.570035	0.182078	0.00180528	0.00149717	0.000733029	9.49969e-05	0.000307419	0.00466915	0.004308
w	0.00159933	0.000640255	0.00327512	0.0084553	0.105733	0.0446539	0.169968	0.27509	0.197869	0.0444322	0.0898991	0.00808551	0.0384393	0.0025688	0.0092915
á	0.00377143	0.00402303	0.00896163	0.0175724	0.103202	0.128979	0.17324	0.169041	0.113672	0.0597626	0.103855	0.0246608	0.0283929	0.0045908	0.0562751
r	0.00317468	0.000998538	0.00357172	0.00911581	0.0666055	0.0378467	0.102366	0.235223	0.170526	0.118863	0.103938	0.0564979	0.0440665	0.00475132	0.0424542
é	0.000670837	0.00185287	0.00264712	0.0129334	0.0909795	0.00708087	0.337005	0.45962	0.0272243	0.0219489	0.00636074	0.000663023	0.00280563	0.00532655	0.0228812
i	0.000201725	0.000259636	0.00272663	0.0124036	0.121837	0.0573841	0.228253	0.297785	0.079981	0.0507072	0.0713913	0.00614752	0.0239953	0.0082668	0.0386596
d	0.000893841	0.000881839	0.00101885	0.00180822	0.0109913	0.0122726	0.0659841	0.070493	0.273177	0.219935	0.103956	0.108649	0.0501987	0.024318	0.0554221
í	0.00196009	0.00780171	0.00627995	0.00344581	0.0471792	0.0125593	0.0703922	0.222606	0.131943	0.263538	0.0169715	0.0304445	0.0177627	0.0267639	0.140353
