 	mes	parents	m'	ont	trahi	car	ils	ont	refusé	de	m'	aider	pour	mon	mariage	</S>
i	0.169916	0.700544	0.0468526	0.0248723	0.0162071	0.0186633	0.0150674	0.0026622	0.00114147	0.00130284	0.000579962	0.00077438	0.000293047	0.00108614	3.45739e-05	2.56893e-06
t	0.0265556	0.658219	0.0179918	0.0549685	0.176187	0.00360696	0.001722	0.00568815	0.0132493	0.00588837	0.0056793	0.00581846	0.00787006	0.00391716	0.0015857	0.0110528
á	0.00845596	0.73516	0.0199563	0.0269576	0.12068	0.0321312	0.00725794	0.0141582	0.00816454	0.0075659	0.00265721	0.00512852	0.0030443	0.000849807	0.00304108	0.00479209
á	0.0187712	0.389163	0.0479612	0.0665094	0.176372	0.0388334	0.0212508	0.019549	0.034306	0.0179218	0.014076	0.00751941	0.0143958	0.00371231	0.00858326	0.121075
l	0.312034	0.195159	0.296127	0.0564331	0.00813634	0.0200986	0.0205169	0.0209045	0.0077001	0.0122666	0.0119928	0.0095712	0.00840354	0.00182166	0.00251813	0.0163167
i	0.493393	0.0967008	0.0646513	0.0459678	0.0184554	0.0137346	0.00563896	0.017956	0.0387676	0.0220348	0.039119	0.0120761	0.017925	0.0165804	0.0110677	0.0859318
n	0.196245	0.217543	0.271077	0.0600207	0.0101398	0.034143	0.00894564	0.0172076	0.0142691	0.0163591	0.0329882	0.0178642	0.00974834	0.0185183	0.00849879	0.0664321
g	0.756489	0.0775194	0.0829629	0.0112747	0.00319266	0.00283281	0.00207688	0.00226103	0.0168176	0.00351877	0.0198669	0.00186723	0.00228978	0.00649602	0.000755414	0.00977894
ó	0.293437	0.35621	0.21966	0.0391012	0.0158357	0.00455764	0.000809211	0.0014227	0.0275732	0.00339502	0.0203404	0.00208565	0.00262981	0.00726171	0.00106049	0.00462044
o	0.207783	0.25636	0.221925	0.0880934	0.0172222	0.036134	0.00399759	0.0114353	0.031318	0.0102276	0.0403568	0.00978228	0.00415852	0.0327747	0.00584395	0.0225872
l	0.024926	0.0663631	0.292944	0.384293	0.153347	0.0246367	0.00641408	0.0100346	0.00757436	0.00668078	0.0037408	0.0053707	0.00592813	0.00154512	0.00297122	0.0032307
á	0.177409	0.0147272	0.118027	0.224405	0.100561	0.027807	0.00590414	0.0199805	0.0296128	0.0240088	0.0259957	0.0143687	0.0256665	0.00606668	0.0155465	0.169915
n	0.218877	0.0155331	0.450919	0.168513	0.0265641	0.0380973	0.0158107	0.0107543	0.00593934	0.00610759	0.00999769	0.00642684	0.00464486	0.00609959	0.00565438	0.010062
g	0.560657	0.0184081	0.269586	0.0538594	0.0218568	0.0036899	0.00100819	0.00279207	0.0253027	0.00254425	0.0177217	0.00132562	0.00138057	0.0121129	0.00103937	0.00671571
á	0.113921	0.0585283	0.566251	0.104125	0.0368983	0.0147269	0.00103427	0.00319531	0.0424856	0.00333923	0.0259043	0.00200619	0.00174932	0.0159064	0.0011452	0.00878364
á	0.0134094	0.00561101	0.0897933	0.232352	0.192553	0.268593	0.0437482	0.0464445	0.0161421	0.0172525	0.0133316	0.0163715	0.0137635	0.00968894	0.00863414	0.0123113
d	0.00185531	0.0031321	0.00920913	0.156068	0.662023	0.0385457	0.00542072	0.0278313	0.0550535	0.0106625	0.00473466	0.00340703	0.0111683	0.00128063	0.00115766	0.00845103
í	0.000993203	0.000231675	0.00525236	0.138916	0.690599	0.0221567	0.0045778	0.0119624	0.0233185	0.0118459	0.00768692	0.00433313	0.0139631	0.00141791	0.00114508	0.0616004
l	0.0232776	0.000720593	0.0309241	0.0910917	0.32202	0.168133	0.087616	0.0516189	0.0258843	0.0370942	0.0156932	0.0184781	0.0365693	0.0158393	0.00771304	0.0673268
e	0.00294507	0.00137798	0.0200361	0.0469515	0.161477	0.264035	0.0559807	0.109113	0.0460546	0.0387114	0.0313874	0.0266825	0.0350903	0.00916229	0.0185078	0.132487
w	0.00735711	0.00144404	0.00597098	0.0178878	0.182133	0.361407	0.0733104	0.0664876	0.0493864	0.042162	0.0237132	0.0282994	0.0387753	0.0147897	0.0483764	0.0385001
ε	0.00281251	0.00200441	0.0152001	0.0184829	0.0880527	0.197214	0.118396	0.11723	0.0608888	0.0774301	0.0515787	0.0689945	0.0722904	0.0179211	0.0514551	0.0400486
l	0.00114435	0.00128778	0.010982	0.0345633	0.0655012	0.453752	0.0725195	0.0906067	0.0260381	0.0486188	0.0180514	0.0448709	0.0463278	0.0155663	0.0311192	0.039051
ε	0.00156734	0.001254	0.00383945	0.0148266	0.0738497	0.250944	0.0561067	0.0997982	0.0706878	0.0742075	0.0259711	0.0393498	0.0789886	0.0281761	0.0713216	0.109111
t	0.00197658	0.000813449	0.00311962	0.00774811	0.0219898	0.23733	0.14936	0.208108	0.114721	0.097096	0.0300149	0.0340639	0.0372645	0.00607377	0.0142611	0.0360597
s	0.0024472	0.00656308	0.00315111	0.00472816	0.0326771	0.298757	0.069089	0.160744	0.0700587	0.116926	0.0130183	0.0628394	0.0510465	0.00470993	0.0475659	0.055678
í	0.000302581	0.00117818	0.000856662	0.00208985	0.0617781	0.184131	0.0387507	0.0535613	0.115538	0.137777	0.0281496	0.0857045	0.0993624	0.0144973	0.08197	0.0943532
n	0.00849279	0.00446796	0.0314899	0.00635935	0.0322504	0.127519	0.17773	0.134136	0.191299	0.0573575	0.0196154	0.0120784	0.0169339	0.00481968	0.0196875	0.155763
a	0.0465113	0.0203889	0.0464154	0.0054243	0.00675375	0.0507757	0.0521966	0.047011	0.168143	0.0284629	0.0548672	0.0115156	0.015988	0.0403752	0.0559791	0.349192
b	0.000961439	0.00186652	0.00840618	0.00584429	0.0023349	0.0420098	0.0997822	0.310855	0.203629	0.144629	0.0736527	0.0408722	0.0212063	0.0145202	0.00780835	0.021622
á	0.00668847	0.00692934	0.0207161	0.00612173	0.00706615	0.150199	0.187482	0.215919	0.0617349	0.125966	0.0365017	0.0483626	0.0363102	0.00925011	0.0497855	0.0309666
a	0.00410494	0.00585997	0.038934	0.00500088	0.00255072	0.0277592	0.0544835	0.0739168	0.104934	0.195586	0.104454	0.0796676	0.0549117	0.0113787	0.1188	0.117658
á	0.000407305	0.000409936	0.00356611	0.00675046	0.00338577	0.0113673	0.0134109	0.142485	0.269263	0.281097	0.10481	0.0523468	0.0484311	0.00973305	0.011344	0.0411917
t	0.000766713	0.00147386	0.00261804	0.0113471	0.0193394	0.00308555	0.00239262	0.0382082	0.319297	0.252349	0.107109	0.07736	0.104124	0.0113485	0.0202322	0.0289488
ó	1.25813e-05	0.000123121	0.000387951	0.00114951	0.00694348	0.00609191	0.00274276	0.0427286	0.30628	0.233247	0.0614989	0.108544	0.113356	0.0173829	0.0486291	0.0508818
n	4.65623e-05	0.000128989	0.000148435	0.000758372	0.00713826	0.0214547	0.0046102	0.0425497	0.256952	0.240512	0.0644867	0.113337	0.0714214	0.0540927	0.0415953	0.0807678
i	0.000630897	0.00103649	0.00168385	0.00331764	0.00697933	0.0383294	0.0198618	0.0550138	0.173297	0.161562	0.10268	0.114671	0.076233	0.0433379	0.0643902	0.136975
o	0.000226576	0.000492002	0.00257214	0.000905522	0.000440321	0.0152308	0.0210841	0.0384176	0.0274407	0.121842	0.286141	0.226107	0.0674279	0.101617	0.076525	0.0135312
p	0.000273484	0.000461888	0.000964079	0.00341391	0.00580733	0.00229629	0.00167668	0.00443827	0.0700684	0.112882	0.158485	0.143997	0.311326	0.0432702	0.0787907	0.0618484
έ	9.7221e-06	0.000487984	0.000253418	0.000995523	0.00422351	0.0028145	0.00113961	0.00797691	0.0751713	0.1441	0.0649947	0.211224	0.26188	0.0122936	0.114831	0.0976043
n	0.00848453	0.011067	0.010905	0.00185309	0.00912371	0.0516352	0.0886249	0.0939491	0.109182	0.187866	0.0905107	0.132457	0.0554215	0.0414272	0.0628365	0.0446573
g	0.0211328	0.0170815	0.0104838	0.00300367	0.00636199	0.0429825	0.142281	0.0695683	0.165332	0.136107	0.154081	0.0481761	0.0243282	0.113345	0.034298	0.0114374
á	0.0383483	0.0183695	0.0315234	0.00218625	0.00284068	0.0596647	0.0997507	0.05193	0.189894	0.0930513	0.134697	0.0389325	0.0120723	0.154775	0.0385424	0.0334217
a	0.000105732	0.00010212	0.000134388	0.000218666	0.000691592	0.00742036	0.00284001	0.00211344	0.00769357	0.0571339	0.122443	0.217053	0.187297	0.227886	0.110737	0.05613
b	0.000342103	0.000171146	0.00100944	0.00200042	0.00391466	0.0037384	0.00360615	0.00422081	0.0183287	0.0442986	0.108671	0.114788	0.336362	0.099243	0.150222	0.109084
ώ	0.000291211	0.00116886	0.00218595	0.00559488	0.0112635	0.00702786	0.0453485	0.0194228	0.0300835	0.0907869	0.0688614	0.0923296	0.417642	0.0305332	0.115395	0.0620649
ω	8.58242e-05	0.000174715	0.000296808	0.000209418	0.00123373	0.00496019	0.00669374	0.0100254	0.0391819	0.0806938	0.107575	0.118448	0.244013	0.0547668	0.175038	0.156602
m	0.000414334	8.20431e-05	0.00027318	0.000424263	0.000446217	0.00272379	0.00248622	0.00459567	0.00720145	0.0446747	0.0764846	0.167349	0.239428	0.151407	0.127456	0.174553
í	0.000516855	0.00154194	0.00306285	0.00528125	0.00222087	0.0112481	0.0126971	0.00953577	0.00281447	0.0641159	0.0790746	0.29511	0.347613	0.0273921	0.0416395	0.0961348
b	0.000154997	0.000220996	0.000332782	0.000566549	0.000508703	0.00347728	0.00302464	0.00268481	0.00877143	0.0379073	0.0918471	0.10078	0.174934	0.128606	0.205016	0.241167
a	0.000751639	0.00235547	0.00402086	0.00257635	0.00504129	0.00653227	0.0582282	0.026587	0.02412	0.0659849	0.0796371	0.0751701	0.330846	0.0637971	0.147675	0.106677
n	0.00043937	0.00111015	0.00300503	0.000423946	0.00109841	0.00292512	0.0163654	0.00678202	0.013618	0.0363258	0.0715224	0.0775472	0.157711	0.0539672	0.264648	0.292511
d	0.000364565	0.000309605	0.000186234	0.000529049	0.00468412	0.00363384	0.00185061	0.00483878	0.0313574	0.0483547	0.0896863	0.0978594	0.169344	0.0763337	0.129102	0.341565
a	0.000891114	0.00117108	0.000852229	0.000594974	0.00196984	0.0067746	0.00186411	0.00588191	0.0546526	0.0412899	0.107544	0.0513693	0.0584033	0.115495	0.0954387	0.455807
l	0.000614013	0.000309182	0.000932446	0.000661982	0.000920758	0.00246191	0.00204626	0.00395521	0.0184625	0.0304665	0.0572068	0.0955309	0.093102	0.228528	0.127879	0.336922
á	0.00116924	0.00175887	0.00155664	0.00224566	0.00166631	0.00632831	0.00320411	0.00765262	0.0100313	0.020947	0.0418335	0.0523217	0.108081	0.134469	0.181329	0.425406
m	0.000806705	0.00199798	0.004815	0.00133132	0.000638198	0.0130133	0.0099304	0.00672595	0.00674142	0.0150045	0.114334	0.0845314	0.0452487	0.467769	0.142057	0.0850557
w	0.000226571	0.000213115	0.0025081	0.00815458	0.00180654	0.00806848	0.0299669	0.00727211	0.00530548	0.0426555	0.239674	0.205672	0.156432	0.0820424	0.0703021	0.1397
á	0.000663896	0.00158315	0.00376164	0.00889079	0.00480543	0.00245025	0.0597931	0.00874302	0.00869981	0.0256322	0.104879	0.0925251	0.152442	0.0233594	0.135067	0.366704
s	0.00350551	0.00527312	0.00368262	0.00776393	0.0151259	0.00790115	0.21165	0.0169259	0.0178007	0.0827879	0.157646	0.105197	0.111855	0.183743	0.0272738	0.0418689
í	0.000539937	0.000316042	0.000175961	0.000180706	0.000757211	0.00360714	0.00201853	0.000594201	0.00298983	0.0150697	0.0791383	0.0741202	0.125145	0.140828	0.28359	0.27093
</S>	0.00210295	0.00120478	0.00212904	0.00111157	0.00049411	0.00524594	0.00348305	0.00531367	0.00629478	0.0221774	0.0654047	0.084534	0.102	0.220382	0.158572	0.319551
