 	les	gens	sont	en	train	de	huer	le	voleur	</S>
b	0.552694	0.413887	0.0166877	0.00251041	0.00495261	0.00094929	0.00139628	0.00103151	0.0058065	8.44234e-05
a	0.0693577	0.906705	0.0105259	0.00409369	0.0033997	0.000518305	0.000398112	0.000311064	0.00445288	0.000237743
r	0.0192357	0.956402	0.0200979	0.00335487	0.00038092	1.44806e-05	1.33089e-05	1.92772e-05	0.000465855	1.61086e-05
e	0.70184	0.11161	0.142549	0.0278209	0.00121904	0.000106386	2.40735e-05	0.000424274	0.0101688	0.00423843
b	0.173252	0.0352082	0.419686	0.319014	0.0355549	0.00806649	0.00118792	0.00174317	0.000191319	0.00609604
ó	0.06558	0.0214923	0.166722	0.447667	0.141562	0.0626585	0.017089	0.0164449	0.00422695	0.0565579
b	0.088828	0.0147313	0.440219	0.342762	0.0552948	0.0392675	0.00546893	0.00501454	0.000212708	0.00820123
á	0.382567	0.0474538	0.128131	0.181499	0.094699	0.101516	0.0163679	0.0188583	0.0200133	0.00889579
a	0.2684	0.0391632	0.312608	0.271122	0.045532	0.0406757	0.00512373	0.00394575	0.00918941	0.00424078
y	0.0133677	0.0021122	0.0608952	0.130187	0.0728698	0.205119	0.399771	0.0181276	0.00140035	0.0961504
i	0.0135608	0.000424988	0.0585567	0.205902	0.0202073	0.0797297	0.541206	0.0396298	0.00476733	0.0360158
r	0.0515911	0.000404716	0.0573328	0.173696	0.00706692	0.149658	0.286417	0.170604	0.025081	0.0781486
á	0.117369	0.00132059	0.11079	0.308922	0.00316592	0.167424	0.0736064	0.132756	0.0107301	0.073915
m	0.00510093	0.000932149	0.00909627	0.0167696	0.00392673	0.166639	0.118586	0.406382	0.230596	0.0419703
ú	0.00153351	0.00020641	0.000675551	0.00136118	2.34423e-05	0.00117282	0.00094113	0.054381	0.925883	0.013822
b	0.000737011	5.81321e-05	0.000488752	0.00104148	9.74445e-06	0.0041984	0.0153335	0.111904	0.805154	0.0610753
h	0.0376146	0.00123962	0.00687583	0.00941694	0.000398411	0.0328525	0.0847025	0.270704	0.187859	0.368336
u	0.0104277	0.000212912	0.00259572	0.00598295	0.000332149	0.0101464	0.0172801	0.54503	0.267069	0.140923
</S>	0.000539271	1.08881e-05	0.000426304	0.000831953	3.83033e-05	0.00464564	0.018779	0.44096	0.0559173	0.477852
