 	l'	enfant	est	malade	depuis	avant-hier	</S>
m	0.825174	0.120738	0.0141465	0.0169382	0.0209586	0.00120259	0.000842181
w	0.0240051	0.90602	0.0275064	0.0107512	0.0150003	0.00219715	0.0145203
á	0.0159473	0.980845	0.000686225	0.000767438	0.000649162	0.000956772	0.000148048
n	0.233995	0.744059	0.00305294	0.00144936	0.008509	0.00132152	0.00761348
a	0.140334	0.652902	0.0412789	0.00682873	0.0124151	0.00589781	0.140344
a	0.640446	0.06049	0.173893	0.0449511	0.0371092	0.00893532	0.0341754
d	0.141369	0.0915096	0.61345	0.0736226	0.0131269	0.00972487	0.0571968
í	0.0434243	0.0152978	0.583754	0.0449324	0.0075803	0.0128759	0.292135
l	0.056442	0.0216709	0.336665	0.106473	0.0375382	0.0335645	0.407647
a	0.0224646	0.0111179	0.238448	0.123538	0.111785	0.0737973	0.418848
i	0.0302364	0.0225384	0.0854232	0.455787	0.107142	0.20094	0.0979339
k	0.00509304	0.0116863	0.0628025	0.787839	0.0401561	0.0537824	0.038641
ω	0.00102421	0.000602828	0.0311685	0.916752	0.0190891	0.0159361	0.015427
n	0.000661992	0.000694447	0.0137866	0.936463	0.032608	0.00610123	0.00968476
í	0.0102734	0.00601593	0.0683954	0.569561	0.219523	0.0240714	0.10216
w	0.0118916	0.00303564	0.0595096	0.120797	0.689613	0.03658	0.0785729
ú	0.050056	0.0113271	0.13373	0.103264	0.435267	0.176968	0.089387
r	0.0190181	0.00436111	0.0276651	0.106941	0.514887	0.253297	0.073831
á	0.0278777	0.00468161	0.0551771	0.456053	0.314702	0.0988284	0.0426798
y	0.0107824	0.00147628	0.0115568	0.0222019	0.264833	0.522163	0.166986
á	0.0121652	0.00135024	0.0145051	0.0139466	0.038838	0.811337	0.107858
n	0.0122135	0.000656032	0.00652203	0.00836292	0.0425566	0.847349	0.0823402
á	0.0458378	0.0134889	0.00371577	0.0160142	0.0346733	0.829282	0.0569878
</S>	0.00185013	0.000165443	0.00638923	0.0109298	0.106375	0.177816	0.696475
