 	il	est	brave	au	combat	</S>
w	0.871873	0.0959416	0.00117204	0.0186496	0.01209	0.000273541
a	0.738184	0.0520169	0.000151381	0.105118	0.104464	6.57826e-05
a	0.349526	0.600176	0.0100313	0.0276339	0.00146856	0.0111643
d	0.0863993	0.685542	0.0774264	0.042135	0.0260169	0.0824802
í	0.0335039	0.618217	0.190376	0.00528957	0.00303515	0.149578
l	0.00795109	0.071829	0.356369	0.111271	0.0393769	0.413204
o	0.0845771	0.0816744	0.389826	0.0791659	0.0117501	0.353006
n	0.0518409	0.0845712	0.56956	0.0360751	0.120726	0.137227
d	0.00108201	0.010498	0.953286	0.00521995	0.0190135	0.0109007
z	0.0149591	0.0429148	0.805794	0.0150585	0.0292361	0.0920375
a	0.0115522	0.023152	0.902457	0.0138608	0.0166769	0.032301
n	0.0131203	0.00740787	0.81295	0.0565908	0.01927	0.0906607
g	0.0230306	0.0592042	0.311768	0.233636	0.231191	0.14117
á	0.0891309	0.0563249	0.268904	0.0727528	0.15917	0.353718
s	0.0173058	0.0126404	0.0737544	0.300588	0.153992	0.44172
á	0.0112882	0.0204843	0.0428345	0.756398	0.0994059	0.0695891
b	0.0104987	0.00415237	0.0120807	0.490533	0.460544	0.0221913
i	0.00097961	0.000331646	5.40403e-05	0.0606642	0.937429	0.000541303
r	0.00146033	0.00106995	0.0020752	0.266144	0.695482	0.0337686
á	0.0036557	0.0124336	0.238595	0.127787	0.152911	0.464617
</S>	0.00584922	0.00780614	0.0136852	0.0802382	0.00717582	0.885245
