 	cette	femme	aime	porter	de	nouveaux	habits	</S>
o	0.928073	0.0461894	0.00416567	0.00390762	0.012276	0.00289615	0.00222396	0.0002687
y	0.0625619	0.912925	0.00621338	0.00439556	0.00546752	0.00298712	0.00465836	0.00079105
u	0.73492	0.22808	0.00965607	0.0218714	0.00178455	0.0014882	0.000987057	0.00121267
r	0.326539	0.0333896	0.055579	0.121096	0.0646978	0.0661379	0.131654	0.200907
u	0.6018	0.0312864	0.0530878	0.0415542	0.161927	0.0383559	0.0467354	0.0252532
w	0.612644	0.16449	0.120675	0.0186066	0.0247404	0.0167748	0.00524643	0.0368226
o	0.189285	0.0339528	0.245854	0.103039	0.151324	0.0741517	0.022265	0.180128
á	0.0770296	0.0209645	0.731078	0.029082	0.040744	0.0192862	0.0115376	0.0702786
d	0.0119785	0.0401248	0.691975	0.140873	0.0302698	0.0194092	0.00781332	0.0575566
i	0.0140364	0.0228436	0.401244	0.334283	0.0293018	0.0356591	0.00764963	0.154983
í	0.048511	0.0114957	0.557122	0.202604	0.043073	0.0593741	0.00601264	0.0718083
l	0.0118062	0.0113247	0.303311	0.529688	0.0742948	0.032851	0.0119072	0.0248169
a	0.0074841	0.00344736	0.17632	0.232918	0.114915	0.106006	0.0647293	0.29418
p	0.0064997	0.00110465	0.208059	0.452293	0.12459	0.0686462	0.0434	0.0954073
ó	0.00572575	0.000199111	0.607593	0.112768	0.123388	0.0277643	0.0520752	0.0704858
s	0.00165159	0.00019278	0.563408	0.1807	0.0827964	0.04242	0.0372002	0.0916311
á	0.00593138	0.000130525	0.308506	0.243239	0.176953	0.0654694	0.046365	0.153406
o	0.017361	0.00176974	0.0361519	0.296698	0.361169	0.232931	0.0264972	0.0274218
l	0.000636377	0.00217989	0.0275838	0.329563	0.334608	0.174103	0.116499	0.0148269
á	0.00276261	0.00805348	0.0329637	0.579473	0.134292	0.106791	0.0542145	0.08145
r	0.00101782	0.000182648	0.0186368	0.203739	0.123013	0.300977	0.101937	0.250497
á	0.000357046	5.19987e-05	0.0157395	0.538836	0.155014	0.180181	0.0325221	0.0772983
i	0.00149983	0.000217515	0.0118833	0.0586953	0.254589	0.563688	0.0534606	0.0559669
k	0.00120336	0.000785938	0.00779717	0.020092	0.149608	0.295134	0.397999	0.12738
á	0.000165156	4.22244e-05	0.00469384	0.00722167	0.158117	0.117965	0.653847	0.0579492
n	0.00433868	0.00020579	0.0160261	0.0311801	0.162376	0.108482	0.412635	0.264756
d	0.000319288	2.35387e-05	0.00705068	0.0232472	0.182197	0.355843	0.252534	0.178785
á	0.00179957	0.000591944	0.00493027	0.0630042	0.0981615	0.178973	0.515348	0.137192
m	0.00157985	0.000157566	0.0037515	0.00855747	0.0730232	0.204251	0.350488	0.358191
á	0.0075994	0.00380535	0.00912287	0.00430229	0.166791	0.14764	0.322643	0.338096
p	0.00820608	0.000818239	0.00457931	0.0131813	0.0746894	0.178352	0.560616	0.159558
á	0.00135878	0.000100439	0.00670558	0.00821871	0.0537277	0.148494	0.657282	0.124112
r	0.00168244	5.71601e-05	0.00635335	0.0105028	0.0394845	0.0726772	0.474258	0.394985
á	0.000330053	1.51408e-05	0.00426746	0.00547107	0.0352429	0.117328	0.551374	0.285971
a	0.00218207	0.00028965	0.00799849	0.0119002	0.0654716	0.144406	0.171515	0.596237
d	0.00898216	0.00182129	0.0202836	0.07099	0.10789	0.22951	0.113991	0.446532
í	0.00260793	0.00312354	0.0169508	0.120352	0.0639119	0.162577	0.0635441	0.566932
</S>	0.00141096	0.00033436	0.0024908	0.0160445	0.0287148	0.161442	0.0954117	0.694151
