 	son	infirmité	est	apparente	</S>
ω	0.874352	0.0923954	0.0319909	0.0010058	0.000255852
s	0.191225	0.709665	0.0239483	0.0489725	0.0261894
έ	0.00896785	0.938933	0.00582101	0.0064836	0.0397945
l	0.0626402	0.109854	0.0707677	0.00884165	0.747897
ε	0.276995	0.499304	0.0382893	0.027149	0.158263
b	0.214874	0.232866	0.332052	0.00989097	0.210317
á	0.764064	0.14068	0.0571463	0.010051	0.0280587
w	0.300244	0.117667	0.178963	0.327693	0.075433
a	0.436763	0.0678122	0.273911	0.142644	0.0788693
ó	0.120725	0.100045	0.505786	0.177149	0.0962962
d	0.0235147	0.0876114	0.517994	0.294077	0.0768028
í	0.00300509	0.00303017	0.0437494	0.0253895	0.924826
ω	0.0203783	0.0157844	0.296588	0.0477206	0.619529
t	0.0175814	0.104517	0.153292	0.304609	0.420001
á	0.00369255	0.144155	0.0399812	0.417921	0.394251
á	0.00825095	0.527762	0.106855	0.283687	0.0734454
m	0.0324606	0.021533	0.465846	0.237628	0.242532
á	0.0831706	0.0201185	0.208209	0.549852	0.13865
t	0.0548029	0.0229592	0.212974	0.541065	0.168199
a	0.0206809	0.0672581	0.096281	0.62125	0.19453
a	0.00139182	0.0101044	0.0236574	0.144537	0.82031
m	0.0393214	0.067346	0.188354	0.0281965	0.676782
a	0.0260061	0.0268019	0.270798	0.0502722	0.626122
</S>	0.0141447	0.0665239	0.374437	0.049382	0.495512
