 	il	m'	a	demandé	de	le	dédommager	pour	son	assiette	que	j'	ai	cassée	</S>
w	0.794878	0.125228	0.0238627	0.00845708	0.0123514	0.00969247	0.00733689	0.00167797	0.00387761	0.00459057	0.000511486	0.00354982	0.00373415	0.000199789	5.19129e-05
a	0.603076	0.231042	0.0176771	0.00742597	0.0506701	0.054757	0.00193815	0.00411687	0.0189071	0.00105021	0.000425156	0.000620952	0.00183108	0.0064371	2.43651e-05
á	0.0419059	0.258928	0.510169	0.133328	0.0230353	0.0103688	0.00396576	0.00719852	0.00444153	0.000242274	0.0011498	0.00114885	0.00360254	0.000279505	0.000236578
y	0.00871224	0.0365071	0.484048	0.346145	0.0126747	0.00650112	0.0236641	0.0135407	0.00527542	0.00747773	0.006694	0.00673752	0.0164177	0.00238981	0.0232143
i	0.00132836	0.0427704	0.139367	0.446963	0.00906247	0.00849057	0.235562	0.0070506	0.00984885	0.0593907	0.00129839	0.0240871	0.00406678	0.000167506	0.0105467
r	0.000698067	0.0100215	0.268301	0.613392	0.0376265	0.0211044	0.0262669	0.00433152	0.00638065	0.00149854	0.000959249	0.00217677	0.00110974	0.000187836	0.00594581
i	0.0118342	0.0641167	0.210518	0.39903	0.0766295	0.0876881	0.0738502	0.0112458	0.0315843	0.0118688	0.00195679	0.00400644	0.00387051	0.000805119	0.0109961
i	0.0464399	0.245623	0.107576	0.0980733	0.137126	0.142571	0.102191	0.0252106	0.0374689	0.00967375	0.0146872	0.00658366	0.0062775	0.00177824	0.0187191
n	0.00284453	0.0341283	0.0345513	0.0777921	0.410241	0.179212	0.135745	0.028984	0.0364518	0.0377295	0.00656914	0.00423002	0.00172179	0.00570915	0.00409093
g	9.45677e-05	0.0191733	0.00410662	0.0710587	0.109995	0.0732169	0.560586	0.0125379	0.0137568	0.112479	0.000266288	0.0189931	0.00284454	0.000112206	0.000779393
á	0.00118691	0.0889069	0.0137272	0.140543	0.138985	0.0489075	0.378949	0.0105716	0.0104571	0.0990716	0.00118585	0.0558651	0.00474137	0.00175465	0.00514727
s	0.00112947	0.00249003	0.0171868	0.0222151	0.233199	0.395694	0.020431	0.113061	0.0845646	0.00795918	0.0507727	0.00749529	0.0243777	0.00353614	0.0158875
a	0.000333932	0.00273926	0.00545866	0.042229	0.111574	0.208208	0.186384	0.106834	0.149095	0.164489	0.00490659	0.00569312	0.00412791	0.000862772	0.00706372
á	0.00115399	0.0019392	0.0103414	0.0108943	0.0315714	0.145867	0.0141299	0.257802	0.327839	0.0186669	0.110112	0.00898793	0.0128475	0.00270822	0.0451394
n	0.000212483	0.000796858	0.00806511	0.0162275	0.0345092	0.0470671	0.0781045	0.29791	0.141222	0.201944	0.129501	0.0185581	0.0132213	0.00446902	0.00819217
i	0.000264392	0.0117808	0.00312169	0.0127883	0.0299769	0.027303	0.205457	0.095924	0.0853559	0.407646	0.00580006	0.0752857	0.0191036	0.00124553	0.0189466
l	5.39781e-05	0.00168138	0.015635	0.0385812	0.0424972	0.0757832	0.0288959	0.22409	0.163182	0.0576552	0.176958	0.093288	0.0439398	0.00899015	0.0287692
á	0.000351592	0.000522344	0.00396771	0.00819841	0.0330472	0.0414163	0.00925233	0.405925	0.188205	0.0380722	0.166659	0.0315371	0.0209665	0.00485711	0.047022
w	0.00123661	0.00220704	0.00522922	0.00394686	0.0162066	0.0352316	0.00263274	0.130901	0.242212	0.0154768	0.338287	0.0834064	0.0833947	0.0220816	0.0175499
a	0.00118673	0.00115594	0.00426828	0.00162161	0.011363	0.0151546	0.00263833	0.116579	0.154839	0.0295543	0.536424	0.0297735	0.0159205	0.0143055	0.0652148
l	0.000163198	0.000122777	0.000932106	0.000620876	0.0029636	0.00783791	0.000788134	0.0559822	0.0638011	0.00196379	0.748453	0.0382542	0.0301332	0.00408824	0.0438961
í	0.000479387	0.000743741	0.00336053	0.00306309	0.00511376	0.00513078	0.0024328	0.0964654	0.0699567	0.0492078	0.320787	0.112545	0.0696317	0.011976	0.249106
í	0.000624842	0.00125162	0.00259272	0.0015557	0.00519654	0.00785077	0.000214497	0.0518766	0.0962983	0.00472279	0.338387	0.124831	0.179143	0.0877872	0.0976682
b	0.000525386	0.00167438	0.0189677	0.0202782	0.0178468	0.00985459	0.00180472	0.0620634	0.0451435	0.0191423	0.154894	0.110127	0.324667	0.0909174	0.122093
o	0.000275352	0.00115903	0.00824947	0.00463534	0.013362	0.0100022	0.000500284	0.0424543	0.0615926	0.00790587	0.180107	0.0070726	0.0456638	0.54508	0.0719408
n	1.11588e-05	6.84853e-05	0.00200076	0.00479235	0.0126148	0.0140291	0.000434766	0.0226735	0.0255626	0.00716184	0.0408122	0.0071986	0.0196007	0.562065	0.280974
d	8.7639e-05	0.000193823	0.0021652	0.00366085	0.01216	0.0137399	0.000645843	0.0581627	0.043354	0.0128503	0.0285881	0.029194	0.0490155	0.474834	0.271348
z	0.000156793	0.000416043	0.000908466	0.00168301	0.00395298	0.00537388	0.000620888	0.0281769	0.0394602	0.0104371	0.021287	0.024478	0.0312332	0.502405	0.32941
í	3.19439e-05	2.59038e-05	0.000230603	0.000308044	0.0051321	0.00768771	3.86744e-05	0.0260402	0.0304185	0.000352476	0.0509443	0.0127114	0.0152728	0.477293	0.373512
l	0.000199134	0.000355657	0.00152293	0.000878201	0.00479319	0.00937614	0.000148319	0.0345472	0.0441016	0.000943183	0.058178	0.0379496	0.120831	0.0605223	0.625653
a	0.000254077	0.000265692	0.00141637	0.00257087	0.0123148	0.0160578	0.000642287	0.0563602	0.0793673	0.00346026	0.0558299	0.118465	0.139153	0.124718	0.389125
n	0.000419619	0.00104812	0.0012323	0.000982334	0.00208419	0.00437385	0.000357749	0.0171667	0.0179776	0.00174806	0.0377267	0.115589	0.479291	0.0321898	0.287813
g	0.000144702	0.00339315	0.000352832	0.0025445	0.00576321	0.00491298	0.00668302	0.0100933	0.0188459	0.0410798	0.00267175	0.652561	0.201146	0.0159054	0.0339026
á	2.24076e-05	0.00158707	7.80491e-05	0.000788796	0.000665179	0.000617137	0.0109225	0.00157699	0.00194171	0.118778	0.00124919	0.764825	0.060249	0.00702037	0.0296791
</S>	0.000435958	0.000319699	0.0009121	0.00102778	0.005925	0.00488802	9.42331e-05	0.0150049	0.0100197	0.000478866	0.0165255	0.0393812	0.215483	0.168512	0.520993
