 	cette	femme	a	pris	l'	habitude	de	taper	ses	enfants	</S>
o	0.710598	0.173934	0.0394961	0.0157572	0.0205762	0.0100535	0.0105919	0.00917889	0.00900544	0.00069251	0.000116129
y	0.0432599	0.941468	0.0047659	0.00403921	0.00103754	0.0011643	0.000971805	0.00111071	0.000517616	0.00112336	0.000541554
ú	0.811947	0.172023	0.0026211	0.00624502	0.0022774	0.00188537	0.00133284	0.000407483	0.000417794	0.00034534	0.000498076
r	0.845023	0.0463792	0.00547268	0.0101326	0.0222999	0.0188069	0.0328196	0.00689148	0.00356663	0.00105236	0.00755617
u	0.670232	0.236631	0.0146664	0.0184204	0.0184237	0.0128268	0.0105304	0.00449651	0.00443995	0.00360138	0.00573096
w	0.114904	0.0455313	0.594664	0.0861116	0.0397325	0.0167241	0.0201413	0.0105258	0.0214556	0.00355999	0.0466503
ó	0.383289	0.0159262	0.135367	0.0939061	0.0640069	0.0457562	0.058108	0.0514251	0.0347588	0.018201	0.0992559
á	0.0254893	0.00248605	0.649965	0.171662	0.0653338	0.0235211	0.0173488	0.00649784	0.012678	0.00429525	0.0207223
m	0.00262149	0.00210401	0.176391	0.508939	0.112002	0.0640905	0.0286504	0.00671215	0.00622004	0.00239944	0.0898695
i	0.0185155	0.00742041	0.183098	0.274741	0.267497	0.121496	0.0495333	0.00751415	0.0172629	0.00352958	0.0493907
k	0.00252124	0.00148547	0.0210344	0.73752	0.117563	0.086504	0.0170273	0.00160725	0.00142166	0.000249481	0.0130665
o	0.00061617	0.000199364	0.0120541	0.679214	0.123597	0.128549	0.0335956	0.00196035	0.00252821	0.000560118	0.0171252
b	0.00185143	0.000187893	0.0199071	0.574421	0.158556	0.195279	0.0353787	0.00278096	0.00203074	0.000222321	0.00938543
h	0.0685341	0.000149775	0.0207014	0.20805	0.210246	0.239823	0.158705	0.0386999	0.0270415	0.00500836	0.0230404
á	0.00911106	0.000234923	0.0251922	0.0839277	0.13221	0.169082	0.168726	0.117358	0.151617	0.014902	0.127638
e	0.00320303	0.000260389	0.0237831	0.0380132	0.222006	0.264308	0.242074	0.0678275	0.119314	0.00848662	0.010725
y	0.000901307	0.000356396	0.00269368	0.019153	0.072352	0.363068	0.359034	0.0869348	0.07046	0.0162255	0.00882131
u	0.0168812	0.000387941	0.00458173	0.0192423	0.112705	0.354161	0.355306	0.0484318	0.0675857	0.00144062	0.0192763
ú	0.024684	0.000229561	0.00344422	0.0113738	0.110916	0.261831	0.420068	0.0269562	0.0626445	0.00285583	0.0749969
y	0.000579163	1.39561e-05	0.00422986	0.0108273	0.0567784	0.243619	0.456441	0.059888	0.131772	0.00424154	0.0316095
í	0.0135605	0.000245856	0.0101329	0.0173397	0.0786704	0.233447	0.338939	0.0829051	0.142604	0.00680565	0.0753494
b	0.00383862	8.00132e-05	0.00120222	0.0017681	0.0146249	0.0419666	0.157545	0.114884	0.514464	0.11089	0.0387369
έ	0.000433865	0.000617523	0.000903268	0.00140525	0.00405711	0.0138724	0.0360164	0.377979	0.121657	0.427221	0.0158367
r	0.00012123	3.84075e-06	0.000749674	0.0010479	0.00696054	0.0161443	0.0472368	0.649412	0.0919461	0.151679	0.0346982
ε	0.00061339	7.44061e-06	0.000835723	0.00232611	0.01762	0.0560264	0.143211	0.650493	0.0709143	0.0255017	0.032451
l	0.00287994	3.8338e-05	0.00235676	0.00189767	0.0163647	0.0543213	0.208157	0.101699	0.356589	0.034307	0.22139
á	0.00406358	0.000143903	0.00991718	0.010704	0.0202091	0.0476608	0.175623	0.196362	0.150303	0.0421036	0.34291
b	0.00257796	8.38711e-05	0.00630122	0.00374755	0.0106315	0.0218337	0.0812652	0.160482	0.314524	0.188208	0.210345
á	0.000157933	0.00013329	0.0060901	0.00579693	0.00941343	0.0181693	0.0809409	0.394912	0.229436	0.218333	0.0366171
n	0.000623829	3.81689e-05	0.00181048	0.00127639	0.0041829	0.00670453	0.0249003	0.285446	0.112831	0.482339	0.0798475
a	0.00119398	0.00022495	0.00180954	0.00148329	0.00329437	0.0032704	0.0192898	0.085427	0.110245	0.616456	0.157306
</S>	0.000577238	0.000145999	0.00592431	0.0030818	0.00709938	0.0162285	0.102184	0.213694	0.153284	0.0948909	0.40289
