 	cette	femme	élève	ses	enfants	par	ses	propres	moyens	</S>
o	0.792277	0.147632	0.00472314	0.0374506	0.0101517	0.00165481	0.00261696	0.00323049	0.00014535	0.000118503
y	0.0408021	0.955902	0.00204864	0.000234469	6.47683e-05	0.000123815	0.000102312	0.000186995	0.00036643	0.000168072
ú	0.875986	0.12195	0.000738899	0.000485283	0.000231194	0.000125919	9.5612e-05	9.39622e-05	0.000199348	9.39898e-05
r	0.882339	0.0581661	0.00939389	0.00638944	0.00117873	0.00322043	0.00495691	0.00292247	0.00287056	0.0285627
u	0.835252	0.0638999	0.0100508	0.0364176	0.0161291	0.00564458	0.00620538	0.0090114	0.00926728	0.00812184
w	0.421923	0.144577	0.243877	0.114653	0.00922585	0.0161572	0.0137281	0.0109004	0.00707591	0.0178826
á	0.205444	0.0681509	0.280647	0.0666759	0.0245565	0.0750446	0.0415673	0.0310759	0.0512761	0.155561
l	0.147716	0.0110839	0.372759	0.0758789	0.0544755	0.0487044	0.0330686	0.0218006	0.0336861	0.200828
á	0.0200894	0.00270835	0.295417	0.0563886	0.0134953	0.0611781	0.0398869	0.0523476	0.088828	0.369661
a	0.271017	0.0150175	0.214167	0.225028	0.12194	0.0331711	0.0231058	0.0167713	0.0293631	0.0504189
y	0.00607583	0.00356174	0.938	0.0158453	0.00276211	0.00593219	0.00284654	0.0023466	0.00444942	0.0181806
ώ	0.0317822	0.00277513	0.883228	0.0372304	0.00287697	0.00524478	0.00354364	0.00234715	0.00513065	0.0258415
ώ	0.00465822	0.000225045	0.826135	0.0266974	0.0013417	0.0197371	0.0220685	0.013163	0.00802484	0.0779494
b	0.00704554	3.70694e-05	0.130673	0.700002	0.0768332	0.0465476	0.0225103	0.00623031	0.00137562	0.00874537
á	0.000541063	6.16354e-05	0.017057	0.247012	0.708519	0.013445	0.00944355	0.00104608	0.00234754	0.000527186
n	0.000485587	1.78057e-05	0.0141326	0.235963	0.680959	0.0262554	0.0127855	0.00566557	0.0127927	0.0109424
a	0.000971139	7.29379e-05	0.0074521	0.128635	0.825914	0.00612206	0.00514869	0.00472827	0.00953157	0.0114243
m	0.000494119	6.78122e-05	0.359662	0.267451	0.0504814	0.223086	0.0693626	0.0155684	0.00345708	0.0103698
ó	0.0102694	0.000264426	0.0482489	0.0794691	0.0916981	0.188511	0.303535	0.0744371	0.0546303	0.148937
p	0.00657114	0.000200986	0.0154197	0.0840774	0.055787	0.343927	0.20966	0.134343	0.121073	0.0289413
á	0.00662944	6.79073e-05	0.0217687	0.0394598	0.0168175	0.39611	0.244495	0.188745	0.0577182	0.0281886
m	0.00717343	7.29955e-05	0.0711351	0.1194	0.0588509	0.253296	0.1466	0.130629	0.0824638	0.130378
i	0.00248789	4.72324e-05	0.0044923	0.0441408	0.0720913	0.168394	0.410035	0.189742	0.0849874	0.0235821
y	0.0131438	0.000108432	0.0109354	0.0174591	0.00962618	0.110668	0.191663	0.4243	0.100562	0.121534
á	0.00950306	0.000108162	0.0291542	0.0359993	0.00324913	0.189191	0.211683	0.312989	0.173743	0.0343806
w	0.0164917	0.000153368	0.00469585	0.090077	0.0165907	0.0809993	0.148039	0.330375	0.293445	0.0191326
a	0.00356875	4.6864e-05	0.0128108	0.0455782	0.0214521	0.200947	0.337871	0.204952	0.132154	0.0406202
m	0.000508643	1.91565e-05	0.00391384	0.0102249	0.00318252	0.139414	0.185683	0.381584	0.117132	0.158337
έ	0.00283399	0.000281528	0.00721627	0.0172036	0.00298454	0.0718965	0.324351	0.24865	0.187173	0.13741
n	0.00035834	1.32913e-05	0.00384417	0.0129414	0.00172547	0.0701431	0.182991	0.215403	0.346421	0.166159
ε	0.0047622	8.23444e-05	0.00673865	0.0212549	0.016714	0.0288165	0.0598299	0.191177	0.423162	0.247462
</S>	6.0933e-05	2.92756e-05	0.00401917	0.00361702	0.00151509	0.0649142	0.0454061	0.0994031	0.146721	0.634314
